[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr
w_melee_dragon_knights_flail|Dragon Knight's Flail|Lohikäärmeritarin varsta|Mangual do Cavaleiro Dragão|Цеп Рыцаря-дракона|龙骑士的连枷|ドラゴンナイトフレイル|드래곤 나이트의 도리깨|Drachenritterflegel|Fléau du chevalier dragon
w_melee_rift_commanders_axe|Rift Commander's Axe|Repemäkomentajan Kirves|Machado do Comandante da Fenda|Топор командира Разлома|裂谷指挥官的斧头|裂け目の司令官の斧|리프트 사령관의 도끼|Axt des Risskommandanten|Hache du commandant de la faille
w_melee_the_undying|The Undying|Kuolematon|O Imortal|Бессмертный|不死族|不死の者|죽지 않는 자|Das Unsterbliche|Impérissable
w_melee_shattered_dimensions|Shattered Dimensions|Pirstoutunut Ulottuvuus|Dimensões Estilhaçadas|Разрушенные Измерения|破碎空间|崩壊した次元|부서진 차원|Zerbrochene Dimensionen|Dimensions déchirées
w_melee_ashbringer|Ashbringer|Tuhkantuoja|Portadora das Cinzas|Несущий Пепел|灰烬使者|アッシュブリンガー|애쉬브링어|Aschebringer|Porte-cendres
w_melee_deaths_mirror|Death's Mirror|Kuoleman peili|Espelho da Morte|Зеркало смерти|死亡之镜|死の鏡|죽음의 거울|Todesspiegel|Miroir de la Mort
w_melee_odins_battle_axe|Odin's Battle Axe|Odinin sotakirves|Machado de Batalha de Odin|Боевой топор Одина|奥丁的战斧|オーディンのバトル・アックス|오딘의 전투 도끼|Odins Streitaxt|Hache de combat d'Odin
w_melee_gurags_stone_crusher|Gurag's Stone Crusher|Guragin kivimurskain|Esmagadora de Pedras de Gurag|Камнедробилка Gurag's|古拉格的碎石机|グーラグのストーン・クラッシャー|구라그의 스톤 크러셔|Gurags Steinzermalmer|Broyeur de pierre de Gurag
w_melee_deaths_scythe|Death's Scythe|Kuoleman viikate|Foice da Morte|Коса смерти|死神的镰刀|死の大鎌|죽음의 낫|Todessense|Faux de la Mort
w_melee_hiyokis_vorpal_katana|Hiyoki's Vorpal Katana|Hiyokin sähkökatana|Katana Vorpal de Hiyoki|Катана Ворпала Хийоки|希约基的刺穿武士刀|ヒヨキの首切りカタナ|히요키의 보팔 카타나|Hiyokis Tödliches Katana|Katana vorpal de Hiyoki
w_melee_hanzos_flaming_katana|Hanzo's Flaming Katana|Hanzon liekkikatana|Katana Flamejante de Hanzo|Пылающая Катана Ханзо|汉佐的火焰武士刀|ハンゾーの炎のカタナ|한조의 불타는 카타나|Hanzos Flammendes Katana|Katana enflammé de Hanzo
w_melee_genjis_sword_of_fate|Genji's Sword of Fate|Genjin kohtalon miekka|Espada do Destino de Genji|Меч судьбы Гэндзи|根吉的命运之剑|ゲンジの運命の剣|겐지의 운명의 검|Genjis Schicksalsschwert|Épée du destin de Genji
w_melee_wind_guardians_gladius|Wind Guardian's Gladius|Tuulenvartijan Gladius|Gládio do Guardião do Vento|Гладиус Хранителя Ветра|风守护者的短剑|風の番人のグラディウス|바람 수호자의 글라디우스|Gladius des Windwächters|Glaive du gardien du vent
w_melee_sand_crusaders_scimitar|Sand Crusader's Scimitar|Hiekkaristiretkeilijän Sapeli|Cimitarra do Cruzado da Areia|Ятаган Песчаного крестоносца|沙漠十字军的弯刀|サンド・クルセーダーのシミター|모래 수호자의 글라디우스|Krummsäbel des Kreuzritters der Sande|Cimeterre du croisé des sables
w_melee_azurewrath|Azure's Wrath||Fúria Azul|Гнев Лазури|||Azure의 분노||Irebleu
w_melee_holy_warriors_phase_blade|Holy Warrior's Phase Blade|Pyhän Soturin Valomiekka|Lâmina de Fase do Guerreiro Sagrado|Фазный клинок Святого Воина|圣战士的幻化之刃|聖なる戦士の位相の刃|신성한 전사의 페이즈 블레이드|Phasenklinge des Heiligen Kriegers|Lame de phase du guerrier saint
w_melee_steves_mighty_sword|Steve's Mighty Sword|Teemun mahtimiekka|Espada Poderosa de Steve|Могучий Меч Стива|史蒂夫的威剑|スティーブの偉大な剣|스티브의 신성한 검|Steves Mächtiges Schwert|Épée puissante de Steve
w_melee_st_gabriels_retribution|St. Gabriel's Retribution|Pyhän Gabrielin rangaistus|Castigo de St. Gabriel|Возмездие святого Гавриила|圣加布里埃尔的报应|聖ガブリエルの報復|성 가브리엘의 보복|St. Gabriels Strafe|Châtiment de Saint-Gabriel
w_melee_thors_battle_sword|Thor's Battle Sword|Odinin sotakirves|Espada de Batalha de Thor|Боевой Меч Тора|奥丁的战斗剑|オーディンのバトル・ソード|오딘의 전투 검|Odins Kriegsschwert|Épée de combat de Thor
w_melee_vikings_sacred_axe|Viking's Sacred Axe|Viikingin pyhä kirves|Machado Sagrado do Viking|Священный топор викинга|维京人的圣斧|バイキングの神聖な斧|바이킹의 신성한 도끼|Heilige Wikingeraxt|Hache sacrée de Viking
w_melee_nomads_sandslicer|Nomad's Sandslicer|Vaeltajan hiekkapeitsi|Fatiador de Areia do Nômade|Песочница Кочевника|流浪者的沙切割机|ノマドのサンドスライサー|노마드의 샌드슬라이서|Sandschneider des Nomaden|Trancheur de sable de Nomad
w_melee_nobunagas_battle_slicer|Nobunaga's Battle Slicer|Nobunagan Taisteluleikkuri|Fatiador de Batalha de Nobunaga|Боевой нож Нобунаги|织田信长的战斗切片机|信長のバトルスライサー|노부나가의 배틀 슬라이서|Kampfschneider des Nobunaga|Trancheur de Nobunaga
w_melee_molten_dagger|Molten Dagger|Sula Tikari|Adaga Fundida|Расплавленный Кинжал|熔化的匕首|モルテンダガー|녹은 단검|Geschmolzener Dolch|Dague en fusion
w_melee_icy_shank|Icy Shank|Jäinen pistäjä|Haste Gelada|Ледяной Черенок|冰冷的柄|アイシーシャンク|아이시 생크|Eisiges Bein|Tige de glace
w_melee_darkness|Darkness|Pimeys|Escuridão|Тьма|黑暗|ダークネス|어둠|Dunkelheit|Ténèbres
w_melee_gladiators_wrecking_ball|Gladiator's Wrecking Ball|Gladiaattorin Purkukuula|Bola de Demolição do Gladiador|Бал-крушение Гладиатора|角斗士的破碎球|グラディエーターのレッキングボール|글라디에이터의 파괴용 공|Abrissbirne des Gladiators|Boulet de démolition de gladiateur
w_melee_dantes_demon_blade|Dante's Demon Blade||Espada Demoníaca de Dante|Демонический клинок Данте|||단테의 악마의 검||Lame démoniaque de Dante
w_melee_shadow_carver|Shadow Carver|Varjoleikkaaja|Entalhadora das Sombras|Резчик Теней|影子卡佛|シャドウカーバー|그림자 조각가|Schattenschneider|Sculpteur d'ombres
w_melee_sacred_whip|Sacred Whip|Siunattu Ruoska|Chicote Sagrado|Священный Хлыст|神圣的鞭子|聖なる鞭|신성한 채찍|Heilige Peitsche|Fouet sacré
w_melee_nightmare_slasher|Nightmare Slasher|Painajaisviiltäjä|Fatiadora de Pesadelo|Кошмарный Убийца|噩梦杀人狂|ナイトメアスラッシャー|악몽 슬래셔|Alptraummesserstecher|Tueur cauchemardesque
w_melee_frozen_carver|Frozen Carver|Jäinenleikkaaja|Entalhadora Congelada|Замороженный Резчик|冻结卡佛|フローズンカーバー|냉동 조각가|Gefrorener Schlitzer|Sculpteur de glace
w_melee_unholy_gods_flail|Unholy God's Flail|Epäpyhän Jumalan Varsta|Mangual do Deus Profano|Цеп Нечестивого Бога|邪恶的神的连枷|不浄な神のフレイル|부정한 신의 도리깨|Flegel des unheiligen Gottes|Fléau du dieu impie
w_melee_molten_hammer|Molten Hammer|Sula Vasara|Martelo Fundido|Молоток для расплавления|熔融锤|モルテンハンマー|녹은 망치|Geschmolzener Hammer|Marteau en fusion
w_melee_icy_crusher|Icy Crusher|Jäämurskain|Triturador Gélido|Дробилка льда|冰冷的破碎机|アイシークラッシャー|아이시 크러셔|Eisiger Zerstörer|Broyeur de glace
w_melee_light_of_dawn|The Light of Dawn|Aamunkajo|A Luz do Amanhecer|Свет рассвета|黎明的曙光|夜明けの光|새벽의 빛|Licht des Sonnenaufgangs|La lumière de l'aube
w_melee_gladiators_skullcrusher|Gladiator's Skullcrusher|Gladiaattorin Kallonmurskain|Esmagador de Caveiras do Gladiador|Сокрушитель черепов гладиатора|角斗士的碎颅机|グラディエーターのスカルクラッシャー|글라디에이터의 스컬크러셔|Schädelzerstörer des Gladiators|Écrase-crânes de gladiateur
w_melee_masamune|Masamune|Masamune|Masamune|Масамуне|正宗|政宗|마사무네|Masamune|Masamune
w_melee_muramasa|Muramasa|Muramasa|Muramasa|Мурамаса|村正|村正|무라마사|Muramasa|Muramasa
w_melee_crystal_infused_axe|Crystal Infused Axe|Kristalliin upotettu kirves|Machado Infundido de Cristal|Топор , Настоянный на Кристаллах|水晶斧|クリスタル注入斧|수정이 주입 된 도끼|Kristall-infundierte Axt|Hache infusée de cristal
w_melee_crystal_infused_sword|Crystal Infused Sword|Kristalliin upotettu miekka|Espada Infundido de Cristal|Меч , Наполненный Кристаллами|水晶剑|クリスタルインフューズドソード|수정이 주입 된 검|Kristallgetränktes Schwert|Épée infusée de cristal
w_melee_sung_lees_destroyer_flail|Sung Lee's Destroyer Flail|Sung Leen tuhoaja Flail|Mangual Destruidor de Sung Lee|Цеп Эсминца Сун Ли|李成的毁灭者连il|ソンリーの駆逐艦フレイル|이성 파괴자 Flail|Sung Lees Zerstörer-Dreschflegel|Fléau destructeur de Sung Lee
w_melee_revenants_lasher|Revenant's Lasher|Revenant's Lasher|Chicoteador Fantasma|Лэшер Ревенанта|Revenant's Lasher|レヴナントラッシャー|레버넌트의 덩굴손|Revenant's Lasher|Fouet de Revenant
w_melee_bonettis_rapier|Bonetti's Rapier|Bonetti's Rapier|Rapieira de Bonetti|Рапира Бонетти|博内蒂的长剑|ボネッティのレイピア|보네티의 레이피어|Bonettis Rapier|Rapière de Bonetti
w_melee_eternal_glaive|Eternal Glaive|Eternal Glaive|Gládio Eterno|Вечная Глефа|永恒之刃|エターナル・グレイブ|이터널 글레이브|Ewige Klinge|Glaive éternel
w_melee_guts_bfs|Gut's BFS|Gutin Vitun Iso Miekka|Espada Grande pra Caralho de Gut|BFS Кишечника|古特的大剑|ガットの大剣|거트의 대검|Guts großes Schwert|BFS de Gut
w_melee_st_rexis_sundering_axe|St. Rexis Sundering Axe|Pyhän Rexin Repivä Kirves|Machado Divisor de St. Rexis|Разделяющий Топор Святого Рексиса|圣雷克西斯断斧|セントレクシスサンダーアックス|세인트 렉시스 분리 도끼|St. Rexis Brechbeil|Hache d'estoc de St. Rexis
w_melee_sand_dagger|Sand Dagger|Hiekkatikari|Adaga de Areia|Песчаный Кинжал|沙匕首|サンドダガー|샌드 대거|Sanddolch|Dague de sable
w_melee_thunder_dagger|Thunder Dagger|Thunder Dagger|Adaga do Trovão|Громовой Кинжал|雷霆匕首|サンダーダガー|썬더 대거|Donnerdolch|Poignard de tonnerre
w_melee_riftmasters_dirge|Riftmaster's Dirge|Riftmaster's Dirge|Punhal do Mestre de Fendas|Панихида по Рифтмастеру|裂缝大师的哀歌|リフトマスターのダージュ|리프트마스터의 만가|Spaltmeisters Dirge|Poignard du maître de la faille
w_melee_st_mikas_zweihander|St. Mika's Zweihänder|St. Mika's Zweihänder|Zweihänder de St. Mika|St. Mika's Zweihänder|圣米卡双子座|聖ミカのツヴァイヘンダー|성 미카의 장검|St. Mika's Zweihänder|Zweihänder de St. Mika
w_melee_sanguine_blade|Sanguine Blade|Sanguine Blade|Lâmina Sanguínea|Сангвинический Клинок|血刃|サングインブレード|핏빛 칼날|Sanguinische Klinge|Lame sanglante
w_melee_pillar_of_niflheim|Pillar of Niflheim|Pillar of Niflheim|Pilar de Niflheim|Столп Нифльхейма|尼夫海姆之柱|ニヴルヘイムの柱|니플하임의 기둥|Säule von Niflheim|Pilier de Niflheim
w_melee_grimbones_scythe|Grimbone's Scythe|Grimbone's Scythe|Foice de Grimbone|Коса Гримбона|格里伯恩的镰刀|グリムボーンの大鎌|그림본의 낫|Grimbones Sense|Faux de Grimbone
w_melee_ceremonial_dagger|Ceremonial Dagger|Seremoniallinen Tikari|Adaga Cerimonial|Церемониальный Кинжал|仪式剑|儀式のダガー|의식 단검|Zeremoniendolch|Dague de cérémonie
w_melee_spiritus|Spiritus||Spiritus|Spiritus|||||Esprit
w_melee_guts_hfs|Gut's HFS||Espada Grande da Porra de Gut|HFS кишечника|||Gut의 HFS||BFS de Guts
w_melee_sahkopuimuri|Sähköpuimuri||Sähköpuimuri||||전기 콤바인||
w_melee_arch_angels_phase_blade|Arch Angel's Phase Blade||Lâmina Fásica do Arcanjo||||대천사의 페이즈 블레이드||
w_melee_gem_kings_cleaver|Gem King's Cleaver||Cutelo do Rei das Gemas||||보석 왕의 큰칼||
w_melee_winters_bite|Winter's Bite||Mordida do Inverno||||겨울의 이빨||
w_melee_wraith_forged_cleaver|Wraith Forged Cleaver||Cutelo Forjado do Espectro||||망령이 만든 클레버||
w_melee_aurelion_fury|Aurelion Fury||Fúria de Aurelion||||아우렐리온의 분노||
w_melee_abominations_gut_ripper|Abomination's Gut Ripper||Estripadora de Vísceras da Abominação||||혐오의 창자 절단기||
w_melee_rakhuls_legion_crusher|Rakhul's Legion Crusher||Esmagadora de Legiões de Rakhul||||라쿨의 군단 분쇄기||
w_melee_daisy|Daisy||Daisy||||||
w_melee_dawn_bringer|The Dawn Bringer||O Precursor do Alvorecer||||새벽의 전령||
w_melee_gabriels_broken_resolve|Gabriel's Broken Resolve||Resolução Quebrada de Gabriel||||가브리엘의 깨진 결의||
w_melee_the_hope_ender|The Hope Ender||A Destruidora de Esperanças||||희망의 종결자||
w_melee_lucis_day|Luci's Day||Dia da Luci||||루시의 날||
w_melee_glowstick_estoc|Glowstick Estoc||Estoque Luminoso||||발광 검||
w_melee_kings_executioner|Headsman´s Bloodthirster||Sanguinária do Chefe||||처형인의 피의 갈망자||
w_melee_shishkebab|Shishkebab||Shishkebab||||시시케밥||
w_melee_warlock|Warlock||||||흑마법사||
w_melee_blood_moon_crescent|Blood Moon Crescent||||||피의 달 초승달||
w_melee_stofflix_cooking_cleaver|Stofflix Cooking Cleaver||||||스톨플릭스 요리용 식칼||
w_melee_doom_cutter|Doom Cutter||||||둠 커터||
|||||||||
lore_w_melee_st_mikas_zweihander|Over the ages, Saint Mika's Zweihander became a relic passed down through the generations to those deemed worthy of its immense power. Many sought the sword for their own ambitions, but only those who held wisdom in their hearts and remained humble in the face of its might could unlock its true potential.||Ao longo do tempo, a Zweihänder de St. Mika se tornou uma relíquia passada pelas gerações para aqueles considerados dignos de seu imenso poder. Muitos procuraram a espada para suas próprias ambições, mas apenas aqueles que carregavam sabedoria em seus corações e permaneceram humildes diante de seu poder poderiam liberar seu verdadeiro potencial.|На протяжении веков Цвайхандер святого Мики становился реликвией, передаваемой из поколения в поколение тем, кого считали достойными его огромной силы. Многие искали меч для своих собственных амбиций, но только те, кто хранил мудрость в своих сердцах и оставался смиренным перед лицом его мощи, могли раскрыть его истинный потенциал.|||오랜 세월 동안 성 미카의 츠바이헨더는 그 엄청난 힘을 인정받는 사람들에게 대대로 전해져 내려오는 유물이 되었습니다. 많은 사람들이 자신의 야망을 위해 이 검을 찾았지만, 오직 마음에 지혜를 품고 그 힘 앞에서 겸손한 자들만이 그 진정한 잠재력을 발휘할 수 있었습니다.||Au fil du temps, la légendaire Zweihander de Saint Mika est devenue une relique transmise de génération en génération à ceux jugés dignes de son immense pouvoir. Beaucoup recherchaient l'épée pour leurs propres ambitions, mais seuls ceux qui portaient la sagesse dans leur cœur et restaient humbles face à sa puissance pouvaient révéler son véritable potentiel.
lore_w_melee_st_rexis_sundering_axe|This axe does not belong to a saint in the traditional sense, for he did not follow the path of divinity or devotion to a particular deity. Instead, Saint Rexi was a warrior of unparalleled skill and valor, revered by the people as a guardian and protector.||Este machado não pertence a um santo no sentido tradicional, pois ele não seguiu o caminho da divindade ou devoção a uma entidade específica, em vez disso, St. Rexi foi um guerreiro de poder e valor inigualável, reverenciado pelo povo como um guardião e protetor.|Этот топор не принадлежит святому в традиционном смысле этого слова, поскольку он не следовал по пути божественности или преданности какому-то определенному божеству. Вместо этого святой Рекси был воином с непревзойденным мастерством и доблестью, почитаемым народом как хранитель и защитник.|||이 도끼는 전통적인 의미의 성인에게 속하지 않습니다. 그는 신성함이나 특정 신에 대한 헌신의 길을 따르지 않았습니다. 대신, 성인 렉시는 비할 데 없는 기술과 용맹을 지닌 전사로서, 사람들로부터 수호자이자 보호자로 숭배받았습니다.||Cette hache n'appartient pas à un saint au sens strict du terme, car il n'a pas suivi la voie de la divinité ou de la dévotion à une divinité particulière. Au contraire, Saint Rexi était un guerrier d'une habileté et d'une bravoure inégalées, vénéré par le peuple comme un gardien et un protecteur.
lore_w_melee_riftmasters_dirge|The mysterious wizard at the edge of the universe enchanted this blade at the expense of a black hole.||O mago misterioso no limite do universo encantou esta lâmina às custas de um buraco negro.|Таинственный волшебник на краю вселенной заколдовал этот клинок за счет черной дыры.|||우주의 끝에 있는 신비로운 마법사가 블랙홀의 대가로 이 검에 마법을 걸었다.||Le mystérieux magicien des confins de l'univers a enchanté cette lame aux abords d'un trou noir.
lore_w_melee_sung_lees_destroyer_flail|Brutal weapon of the warlord Sung Lee to bring carnage and death to anyone on it's path.||Arma brutal do mestre de guerra Sung Lee para trazer carnificina e morte para qualquer um em seu caminho.|Жестокое оружие военачальника Сун Ли, несущее резню и смерть любому на своем пути.|||전쟁 군주 성 리의 잔혹한 무기, 그의 길을 가로막는 모든 이에게 학살과 죽음을 가져온다.||L'arme brutale du seigneur de guerre Sung Lee, qui provoque le carnage et la mort de tous ceux qui se trouvent sur son chemin.
lore_w_melee_light_of_dawn|As the first light of dawn fills the vision of a hero after a night of terror, hope fills his heart as he presses on.||Enquanto a primeira luz do amanhecer preenche a visão de um herói após uma noite de terror, a esperança preenche seu coração enquanto ele segue em frente.|Когда первые лучи рассвета озаряют образ героя после ужасной ночи, надежда наполняет его сердце, когда он идет дальше.|||새벽의 첫 빛이 공포의 밤을 보낸 영웅의 시야를 채우면서, 희망이 그의 가슴을 채우고 그는 계속 나아간다.||Alors que les premières lueurs de l'aube éclairent la silhouette d'un héros après une nuit de terreur, l'espoir emplit son cœur et il poursuit sa route.
lore_w_melee_st_gabriels_retribution|Beware those who follow the path of the wicked and sin, as the punishment is coming from above.||Cuidado com aqueles que seguem o caminho da maldade e pecado, pois a punição virá de cima.|Остерегайтесь тех, кто следует путем нечестивых и грешит, поскольку наказание приходит свыше.|||악의와 죄의 길을 따르는 자들을 조심하라, 위로부터 벌이 내려올 것이다.||Gare à ceux qui suivent le chemin des impies et des pécheurs, car le châtiment vient d'en haut.
lore_w_melee_bonettis_rapier|Tarethiel's finest swordsman's arsenal is believed to be buried with them during the siege of Damien.||Acredita-se que o arsenal dos melhores espadachins de Tarethiel esteja enterrado com eles durante o cerco de Damien.|Считается, что арсенал лучшего фехтовальщика Таретиэля был похоронен вместе с ними во время осады Дамиена.|||타레티엘 최고의 검투사의 무기고는 다미엔 공성전 중에 그들과 함께 묻힌 것으로 믿어집니다.||On pense que le meilleur équipement des plus grands épéistes de Tarethiel a été enterré avec eux lors du siège de Damien.
lore_w_melee_grimbones_scythe|A grim death awaits the victims of this scythe, as it reaps the soul from the corpse.||Uma morte sombria aguarda as vítimas desta foice, enquanto colhe a alma de seus cadáveres.|Жертв этой косы ждет суровая смерть, поскольку она извлекает душу из трупа.|||이 낫의 희생자들에게는 음울한 죽음이 기다리고 있으며, 시체에서 영혼을 수확합니다.||Un sombre destin attend les victimes de cette faux, car elle arrache l'âme du défunt.
lore_w_melee_shadow_carver|The Scythe of death so vicious and sharp it is rumored to cut shadows in half.||A foice da morte é tão cruel e afiada que há rumores de que ela corta sombras ao meio.|Коса смерти настолько порочна и остра, что, по слухам, разрезает тени пополам.|||죽음의 낫은 너무나도 사악하고 날카로워서 그림자를 반으로 자른다는 소문이 있습니다.||La faux de la mort, si vicieuse et tranchante qu'on dit qu'elle coupe les ombres en deux.
lore_w_melee_sahkopuimuri|Harvennustyökalu vailla vertaa.||Harvennustyökalu vailla vertaa.||||비할 데 없는 수확 도구.||
lore_w_melee_arch_angels_phase_blade|Ascended from the heavens to be wielded by the worthy.||Ascendida dos céus para ser manejada pelos dignos.||||천상에서 내려와서 선택된 자에게 주어졌다.||
lore_w_melee_gem_kings_cleaver|In a hall bedecked with jewels, the king, consumed by greed, bestows his blessings at a cost.Insert Pristine Gems to unlock ancient powers.||Em um salão repleto de joias, o rei, consumido pela ganância, concede suas bênçãos a um custo. Insira Gemas Primordiais para desbloquear poderes antigos.||||보석으로 장식된 홀에서, 탐욕에 사로잡힌 왕은 대가를 치르고 축복을 내립니다. 고대의 힘을 해방하려면 순수한 보석을 삽입하십시오.||
lore_w_melee_winters_bite|The only axe able to endure the lowest of sub zero conditions frostforged by an ancient god of war..||O único machado capaz de suportar as mais baixas condições abaixo de zero, forjado a frio por um antigo deus da guerra.||||고대 전쟁의 신이 얼음으로 단련한 유일한 도끼, 가장 낮은 영하의 조건을 견딜 수 있다.||
lore_w_melee_wraith_forged_cleaver|Wielded by the shadowy creatures lurking in the depths of Helheim..||Empunhado pelas criaturas sombrias que espreitam nas profundezas de Helheim.||||헬하임의 깊은 곳에 숨어 있는 그림자 생명체들이 휘두르는 무기..||
lore_w_melee_aurelion_fury|Once wielded by Koios, eternal god of the cosmos.. Approach with caution..||Uma vez empunhada por Koios, o deus eterno do cosmos... Aproxime-se com cuidado...||||코스모스의 영원한 신 코이오스가 한때 휘둘렀던... 조심해서 다가가세요...||
lore_w_melee_abominations_gut_ripper|Stitched together from 7 fallen warrior's who performed deadly sins.. An ancient monstrosity forged this blood infused weapon of death..||Costurado a partir de 7 guerreiros caídos que realizaram pecados mortais... Uma antiga monstruosidade forjou esta arma da morte infundida com sangue...||||7명의 죽은 전사들의 죄악으로부터 봉합된… 고대의 괴물이 이 피가 스며든 죽음의 무기를 만들었다…||
lore_w_melee_rakhuls_legion_crusher|Imbued by the blood of fallen gladiators within King Rakhul's colosseum..||Imbuído pelo sangue de gladiadores mortos no coliseu do Rei Rakhul...||||왕 라쿨의 콜로세움에서 쓰러진 검투사들의 피에 물들다..||
lore_w_melee_daisy|The bond shared between Daisy and the Butcher is bloody eternal.. Beautiful like a pile of corpses on a rainy morning..||O vínculo compartilhado entre Daisy e o Açougueiro é eternamente sangrento... Lindo como uma pilha de cadáveres em uma manhã chuvosa...||||데이지와 도살자가 공유하는 유대는 피로 영원하다.. 비오는 아침의 시체 더미처럼 아름답다..||
lore_w_melee_dawn_bringer|Wielded by the fallen angel Lucifer.. A divine flail fueled by eternal hatred.||Empunhada pelo anjo caído Lúcifer. Um mangual divino alimentado pelo ódio eterno.||||타락한 천사 루시퍼가 사용하던 무기.. 영원한 증오로 가득 찬 신성한 철퇴.||
lore_w_melee_gabriels_broken_resolve|An unholy tool of execution, wielded by the fallen angel Gabriel..||Uma ferramenta profana de execução, empunhada pelo anjo caído Gabriel..||||타락한 천사 가브리엘이 휘두르는 불경한 처형 도구..||
lore_w_melee_the_hope_ender|A cursed sword enhanced by rage and forged from pure hatred..||Uma espada amaldiçoada, reforçada pela raiva e forjada com puro ódio...||||분노로 강화되고 순수한 증오로 만들어진 저주받은 검...||
lore_w_melee_lucis_day|Eeny.. Meeny.. Miny.. Moe..||Minha.. mãe.. mandou.. eu escolher..||||||
lore_w_melee_kings_executioner|You can still hear the sound of the King’s Executioner sharpening his blade, waiting for the next poor soul to meet their fate.||Você ainda pode ouvir o som do Carrasco do Rei afiando sua lâmina, esperando a próxima pobre alma encontrar seu destino.||||당신은 아직도 왕의 집행자가 칼날을 갈고 있는 소리를 들을 수 있습니다. 다음 희생자가 운명을 맞이할 때를 기다리며.||
lore_w_melee_shishkebab|Fresh and tasty, but very hot!!||Fresco e saboroso, mas muito quente!!||||신선하고 맛있지만, 매우 뜨거워요!!||
lore_w_melee_warlock|Signed by bard..||||||음유시인이 서명함..||
lore_w_melee_blood_moon_crescent|An ancient sword used to rule the masses by summoning and siphoning the blood moons presence painting the lands and sky red..||||||고대의 검은 피의 달의 기운을 소환하고 흡수하여 대지를 붉게 물들이며 군중을 지배하던 무기입니다.||
