Unnamed: 0|en|[fi]|pt|ru|zh|ja|ko|de|fr
subDescVikingSeismicSlam01|Increases the area of effect radius of seismic slam.||||||지진 강타의 효과 범위를 증가시킵니다.||
subDescVikingSeismicSlam02|Increases the damage dealt by seismic slam.||||||지진 강타의 피해량이 증가합니다.||
subDescVikingSeismicSlam03|Increases critical strike damage dealt by seismic slam.||||||지진 강타로 입히는 치명타 피해가 증가합니다.||
subDescVikingSeismicSlam04|Increases damage dealt to stunned targets.||||||기절한 대상에게 가하는 피해가 증가합니다.||
subDescVikingSeismicSlam05|Targets have a chance to slam the ground on death dealing area of effect damage.||||||대상은 죽을 때 지면을 강타하여 범위 피해를 입힐 확률이 있습니다.||
subDescVikingSeismicSlam06|Knocks targets back dealing increased damage.||||||대상을 밀어내며 추가 피해를 입힙니다.||
subDescVikingSeismicSlam07|Chance to root targets in place on hit dealing additional damage over time.||||||적을 맞추면 일정 확률로 그 자리에 고정시키고 시간이 지남에 따라 추가 피해를 입힙니다.||
subDescVikingSeismicSlam08|Chance on hit to increase your attack speed for a short duration.||||||공격 시 일정 시간 동안 공격 속도가 증가할 확률이 있습니다.||
subDescVikingSeismicSlam09|Hitting a corpse with seismic slam causes it to explode dealing increased area of effect damage to nearby targets.||||||지진 강타로 시체를 타격하면 폭발하여 주변 목표물에 넓은 범위 피해를 입힙니다.||
subDescVikingSeismicSlam10|Chance to strike target with an earth pillar on hit knocking them airborne dealing additional damage.||||||공격 시 대지 기둥으로 적을 타격하여 공중으로 띄우고 추가 피해를 입힐 확률이 있습니다.||
subDescVikingSeismicSlam11|Leap a short distance to smash the ground with massive force dealing increased damage with huge aoe. ||||||짧은 거리를 도약하여 지면을 강력한 힘으로 내리쳐 넓은 범위에 큰 피해를 입힙니다.||
subDescVikingSeismicSlam12|Slam multiple waves on a short distance increasing damage with each wave.||||||짧은 거리에서 여러 파동을 내리쳐 각 파동마다 피해를 증가시킵니다.||
subDescVikingSeismicSlam13|Now smash in front of you in a long narrow line knocking monsters in air causing them to unleash an aoe pulse upon landing.||||||이제 앞에 있는 좁고 긴 선을 따라 몬스터를 공중으로 날려보내 착지 시 광역 펄스를 방출하게 만드세요.||
subDescVikingSeismicSlam14|Smashing the ground now drops a massive asteroid from the sky sending a huge tsunami dealing increased damage. Seismic Slam now has a cooldown.||||||지면을 강타하면 하늘에서 거대한 소행성이 떨어져 큰 쓰나미를 일으켜 더 많은 피해를 줍니다. 지진 강타는 이제 재사용 대기시간이 있습니다.||
|||||||||
subVikingThrow01|Home Run||||||홈런||
subVikingThrow02|Raging Power||||||분노의 힘||
subVikingThrow03|Power Throw||||||강력 투척||
subVikingThrow04|Colossal Liftoff||||||거대한 발사||
subVikingThrow05|Flipper||||||플리퍼||
subVikingThrow06|Power Fall||||||파워 폴||
subVikingThrow07|Breaking Fall||||||낙하 방지||
subVikingThrow08|Bouncing Around||||||튀어다니기||
subVikingThrow09|Bulls Eye||||||명중||
subVikingThrow10|Dive Bomb||||||급강하 폭격||
subVikingThrow11|Ragesling||||||Ragesling||
subVikingThrow12|Vacuum Pitch||||||진공 피치||
subVikingThrow13|Dimensional Pitch||||||차원의 구장||
subVikingThrow14|Echoing Throw||||||메아리 던지기||
subDescVikingThrow01|Increases the range of throw.||||||던지기의 범위가 증가합니다.||
subDescVikingThrow02|Increases the damage dealt by throw.||||||던지기 공격력을 증가시킵니다.||
subDescVikingThrow03|Increases the projectile speed of throw.||||||투사체 속도가 증가합니다.||
subDescVikingThrow04|Increases throw's damage by a portion of your maximum life.||||||던지기의 피해량이 최대 생명력의 일부만큼 증가합니다.||
subDescVikingThrow05|Thrown monsters bounce off of walls increasing damage dealt with every bounce.||||||던져진 몬스터가 벽에 부딪힐 때마다 데미지가 증가합니다.||
subDescVikingThrow06|Thrown monsters smash into the ground with force causing ground fragments to fly around dealing damage.||||||던져진 몬스터가 땅에 강하게 부딪히며 파편이 날아다니며 피해를 입힙니다.||
subDescVikingThrow07|Thrown monsters inflict arcane break on hit.||||||던진 몬스터가 명중 시 비전 파괴를 입힙니다.||
subDescVikingThrow08|Thrown monster bounce off the ground dealing increased damage with every bounce.||||||던진 몬스터가 땅에 튕기면서 매번 튕길 때마다 더 큰 피해를 입힙니다.||
subDescVikingThrow09|When directly hitting another monster, cause the monster to be knocked up dealing area of effect damage when landing.||||||다른 몬스터를 직접 타격할 때, 몬스터가 공중에 뜨고 착지할 때 범위 피해를 입힙니다.||
subDescVikingThrow10|Increases landing area of effect radius of throw.||||||던지기 착지 효과 반경 증가||
subDescVikingThrow11|Throws the monster faster, dealing massively increased damage to it and causing it to explode into meat chunks that deal damage to nearby monsters if it dies from the throw.||||||몬스터를 더 빠르게 던져, 대폭 증가된 피해를 입히고 던지기로 인해 죽으면 고기 덩어리로 폭발하여 근처의 다른 몬스터들에게 피해를 줍니다.||
subDescVikingThrow12|When thrown monster lands it pulls nearby monsters towards it.||||||던진 몬스터가 착지하면 근처의 몬스터들을 끌어당깁니다.||
subDescVikingThrow13|Additionally throw shadow copies of the monster with increased damage.||||||몬스터의 그림자 복사본을 추가로 던져서 피해를 증가시킵니다.||
subDescVikingThrow14|When thrown monster lands it shocks the ground multiple times with increased damage.||||||던져진 몬스터가 착지하면 땅을 여러 번 충격하여 피해를 증가시킵니다.||
|||||||||
subVikingZeal01|Rapid Striking||||||속사||
subVikingZeal02|Fatal Blows||||||치명타||
subVikingZeal03|Weapon Marksman||||||무기 명사수||
subVikingZeal04|Brutal Slashes||||||잔혹한 베기||
subVikingZeal05|Axes, More Axes!||||||도끼, 더 많은 도끼!||
subVikingZeal06|Slicing Perfection||||||완벽한 베기||
subVikingZeal07|Hemorrhaging Blows||||||출혈의 일격||
subVikingZeal08|Bleeding Out||||||출혈 상태||
subVikingZeal09|Finish Them!||||||끝내라!||
subVikingZeal10|Cleaving Zeal||||||열정의 참격||
subVikingZeal11|Throwing Fury||||||난투 폭발||
subVikingZeal12|Blood Ripple||||||피의 물결||
subVikingZeal13|Sundering Strikes||||||파괴의 일격||
subVikingZeal14|Zealing Blow||||||제일링 블로우||
subDescVikingZeal01|Increases the amount of attacks done by zeal.||||||열정으로 인한 공격 횟수가 증가합니다.||
subDescVikingZeal02|Increases the damage dealt by zeal.||||||열정으로 인한 피해량 증가||
subDescVikingZeal03|Zeal now works with throwing weapons gaining increased attack range and damage.||||||열정이 이제 투척 무기와 함께 작동하여 공격 범위와 피해가 증가합니다.||
subDescVikingZeal04|Increases critical strike damage dealt by zeal.||||||열정으로 인한 치명타 피해가 증가합니다.||
subDescVikingZeal05|Chance to summon an orbiting axe around the target on hit.||||||적중 시 대상 주위에 도끼를 소환할 확률.||
subDescVikingZeal06|Increases attack rating when using zeal.||||||열정을 사용할 때 명중률이 증가합니다.||
subDescVikingZeal07|Chance to inflict bleeding on hit.||||||공격 시 출혈 효과를 줄 확률.||
subDescVikingZeal08|Increases damage dealt to bleeding targets.||||||출혈 중인 대상에게 가하는 피해가 증가합니다.||
subDescVikingZeal09|Zeal now executes targets below a certain percentage of life.||||||열정은 이제 특정 생명 비율 이하의 대상을 처형합니다.||
subDescVikingZeal10|Zeal now always hits multiple targets with increased attack area of effect.||||||열의가 이제 항상 여러 대상을 공격하며 공격 범위가 증가합니다.||
subDescVikingZeal11|Zeal now throws multiple projectiles with increased damage when using throwing weapons.||||||질주는 이제 투척 무기를 사용할 때 다수의 투사체를 던지며 피해량이 증가합니다.||
subDescVikingZeal12|Each strike has a chance to unleash a ripple of blood dealing area of effect damage.||||||각 타격마다 범위 피해를 입히는 피의 파동을 방출할 확률이 있습니다.||
subDescVikingZeal13|Zeal inflicts stacking armor break on the target increasing with each strike.||||||열정은 타격할 때마다 대상에게 중첩되는 방어력 감소를 부여합니다.||
subDescVikingZeal14|Your last zeal strike deals increased damage stunning the target taunting nearby monsters.||||||마지막 열정 공격은 대상에게 더 큰 피해를 주고 기절시키며 주변 몬스터를 도발합니다.||
|||||||||
subVikingYmirsChampion01|Viking´s Carnage||||||바이킹의 학살||
subVikingYmirsChampion02|Raging Sustain||||||분노의 지속||
subVikingYmirsChampion03|Slashing Cleavers||||||도끼 휘두르기||
subVikingYmirsChampion04|Rimeforged Hatchet||||||서리로 벼려진 손도끼||
subVikingYmirsChampion05|Ymir´s Focus||||||이미르의 집중||
subVikingYmirsChampion06|Expanding Territory||||||영토 확장||
subVikingYmirsChampion07|Rapid Spinning||||||빠른 회전||
subVikingYmirsChampion08|Frosted Blow||||||서리 바람||
subVikingYmirsChampion09|Rending Hatchet||||||난도질 도끼||
subVikingYmirsChampion10|Power of Multitude||||||다수의 힘||
subVikingYmirsChampion11|Collateral Damage||||||부수적 피해||
subVikingYmirsChampion12|Chainslicing Tomahawk||||||체인 슬라이싱 토마호크||
subVikingYmirsChampion13|Scattering Battlegear||||||전투 장비 흩뿌리기||
subVikingYmirsChampion14|Shattering Axes||||||부서지는 도끼||
subDescVikingYmirsChampion01|Increases the damage dealt by ymir's champion.||||||이미르의 챔피언이 가하는 피해량이 증가합니다.||
subDescVikingYmirsChampion02|Increases the duration of axes.||||||도끼의 지속 시간을 증가시킵니다.||
subDescVikingYmirsChampion03|Increases the size of axes.||||||도끼의 크기를 증가시킵니다.||
subDescVikingYmirsChampion04|Increases damage dealt to frozen targets.||||||얼어붙은 적에게 가하는 피해량 증가||
subDescVikingYmirsChampion05|Increases attack rating when using ymir's champion.||||||이미르의 챔피언을 사용할 때 명중률이 증가합니다.||
subDescVikingYmirsChampion06|Increases the orbit radius of axes.||||||도끼의 궤도 반경을 증가시킵니다.||
subDescVikingYmirsChampion07|Increases the projectile speed of axes.||||||도끼의 발사체 속도를 증가시킵니다.||
subDescVikingYmirsChampion08|Chance to unleash an ice nova on hit.||||||적중 시 얼음 폭발을 일으킬 확률.||
subDescVikingYmirsChampion09|Increases critical strike damage dealt by ymir's champion.||||||이미르의 챔피언이 가하는 치명타 피해 증가.||
subDescVikingYmirsChampion10|Increases axes amount but damage dealt is split between axes summoned.||||||도끼의 수를 증가시키지만, 소환된 도끼들 간에 피해가 분산됩니다.||
subDescVikingYmirsChampion11|Whenever the axes hit a target they send another piercing axe outwards in a straight line towards the target.||||||도끼가 목표물에 맞을 때마다 직선으로 목표물을 향해 또 다른 관통 도끼를 발사합니다.||
subDescVikingYmirsChampion12|Axes now chain through monsters and then return back to you dealing damage to monsters in its path.||||||도끼가 이제 몬스터를 관통하고 다시 돌아와 경로에 있는 몬스터에게 피해를 줍니다.||
subDescVikingYmirsChampion13|Axes now fly into a random spot in a cone in front of you and start spinning on the ground dealing increased damage.||||||도끼가 이제 앞에 있는 원뿔 형태의 무작위 지점에 날아가 땅에 떨어져 회전하며 더 큰 피해를 줍니다.||
subDescVikingYmirsChampion14|At the end of their duration the axes shatter into weapon shards dealing additional damage.||||||지속 시간이 끝나면 도끼가 무기 조각으로 부서져 추가 피해를 입힙니다.||
|||||||||
subVikingWhirlwind01|Sharp Winds||||||날카로운 바람||
subVikingWhirlwind02|Wounding Spin||||||상처 회전||
subVikingWhirlwind03|Deadly Blow||||||치명타||
subVikingWhirlwind04|Typhoon||||||태풍||
subVikingWhirlwind05|Airborne Debris||||||공중 파편||
subVikingWhirlwind06|Cycloning Step||||||회오리 발걸음||
subVikingWhirlwind07|Second Wind||||||재도전||
subVikingWhirlwind08|Burning Air||||||불타는 공기||
subVikingWhirlwind09|Trail of Fire||||||불의 흔적||
subVikingWhirlwind10|Scorching Heat||||||타오르는 열기||
subVikingWhirlwind11|Sharpened Blades||||||날카로운 칼날||
subVikingWhirlwind12|Detonation||||||폭발||
subVikingWhirlwind13|Negative Pressure||||||부정적 압력||
subVikingWhirlwind14|Airborne||||||공중||
subDescVikingWhirlwind01|Increases attack rating when using whirlwind.||||||회오리바람 사용 시 명중률 증가.||
subDescVikingWhirlwind02|Increases the damage dealt by whirlwind.||||||회오리 바람으로 입히는 피해가 증가합니다.||
subDescVikingWhirlwind03|Increases critical strike damage when using whirlwind.||||||회오리바람 사용 시 치명타 피해 증가||
subDescVikingWhirlwind04|Increases the area of effect radius of whirlwind.||||||회오리의 효과 범위 반경이 증가합니다.||
subDescVikingWhirlwind05|Increases the critical strike chance when using whirlwind.||||||회오리바람 사용 시 치명타 확률이 증가합니다.||
subDescVikingWhirlwind06|Increases your movement speed while using whirlwind.||||||회오리바람을 사용할 때 이동 속도가 증가합니다.||
subDescVikingWhirlwind07|Chance on hit to unleash a twister.||||||공격 시 회오리를 일으킬 확률.||
subDescVikingWhirlwind08|Convert a portion of your damage to fire damage.||||||피해의 일부를 화염 피해로 변환합니다.||
subDescVikingWhirlwind09|Leave a trail of fire behind you inflicting monsters with burning.||||||불길을 남겨 괴물들에게 화상을 입히세요.||
subDescVikingWhirlwind10|Increases damage dealt to burning targets.||||||불타는 대상에게 가하는 피해 증가.||
subDescVikingWhirlwind11|Greatly increases area of effect radius dealing increased damage at the outer edge. ||||||범위 효과 반경이 크게 증가하며 외곽에서 더 높은 피해를 입힙니다.||
subDescVikingWhirlwind12|Store damage dealt to monsters unleashing it when whirlwind ends dealing damage on a large radius around you.||||||회오리바람이 끝날 때 주위에 큰 반경으로 몬스터에게 입힌 피해를 방출하여 피해를 줍니다.||
subDescVikingWhirlwind13|monsters at the edge of the whirlwind radius are sucked within the whirlwind.||||||회오리바람 반경 가장자리에 있는 몬스터들이 회오리바람 안으로 빨려 들어갑니다.||
subDescVikingWhirlwind14|Knock monsters high into air causing them to take increased damage upon landing.||||||몬스터를 공중으로 날려 착지 시 추가 피해를 입힙니다.||
|||||||||
subVikingShockwave01|Richter Scale||||||리히터 규모||
subVikingShockwave02|Earth Shaker||||||대지의 진동자||
subVikingShockwave03|Ground Fissure||||||지면 균열||
subVikingShockwave04|Shocking Crust||||||충격의 껍질||
subVikingShockwave05|Multi Trail||||||멀티 트레일||
subVikingShockwave06|Cracked Earth||||||갈라진 대지||
subVikingShockwave07|Meteorology||||||기상학||
subVikingShockwave08|Duck and Cover||||||엎드려!||
subVikingShockwave09|Afterquake||||||애프터퀘이크||
subVikingShockwave10|Land Mass||||||대륙||
subVikingShockwave11|Trembling Trail||||||떨리는 길||
subVikingShockwave12|Cataclysmic Smash||||||재앙의 강타||
subVikingShockwave13|Forking Crust||||||포킹 크러스트||
subVikingShockwave14|Earthen Maelstrom||||||대지의 소용돌이||
subDescVikingShockwave01|Increases shockwave travel distance.||||||충격파 이동 거리가 증가합니다.||
subDescVikingShockwave02|Increases the damage dealt by shockwave.||||||충격파로 인한 피해량이 증가합니다.||
subDescVikingShockwave03|Chance on hit to knockup monsters dealing additional damage.||||||타격 시 몬스터를 공중에 띄우고 추가 피해를 입힐 확률.||
subDescVikingShockwave04|Increases critical strike damage dealt by shockwave.||||||충격파에 의한 치명타 피해량 증가.||
subDescVikingShockwave05|Adds an additional trail but decreases damage dealt by each shockwave.||||||추가 경로를 추가하지만 각 충격파의 피해가 감소합니다.||
subDescVikingShockwave06|Chance to inflict armor break on hit.||||||적중 시 방어구 파괴 확률.||
subDescVikingShockwave07|Chance on hit to drop a meteor on the target dealing additional damage.||||||타격 시 일정 확률로 대상에게 운석을 떨어뜨려 추가 피해를 입힙니다.||
subDescVikingShockwave08|Increases damage dealt to stunned targets.||||||기절한 대상에게 가하는 피해 증가.||
subDescVikingShockwave09|Chance on cast to unleash an additional shockwave.||||||시전 시 추가 충격파를 발산할 확률.||
subDescVikingShockwave10|Increases the area of effect radius of shockwave.||||||충격파의 효과 반경을 증가시킵니다.||
subDescVikingShockwave11|Smash the ground in front of you creating a shockwave that travels a short distance and then splits into all directions.||||||앞에 있는 땅을 내리쳐 짧은 거리로 이동한 후 모든 방향으로 갈라지는 충격파를 생성합니다.||
subDescVikingShockwave12|Smashing the ground now creates shockwaves in every direction. Shockwave now has a cooldown.||||||지면을 강타하면 모든 방향으로 충격파가 생성됩니다. 충격파는 이제 쿨타임이 있습니다.||
subDescVikingShockwave13|Each wave has a chance to fork into a new trail.||||||각 웨이브는 새로운 경로로 분기될 가능성이 있습니다.||
subDescVikingShockwave14|Shockwaves twirl outwards around you dealing increased damage.||||||충격파가 주변으로 퍼져나가며 피해량이 증가합니다.||
|||||||||
subVikingBerserk01|Insanity||||||||
subVikingBerserk02|Restless Feet||||||안절부절 못하는 발||
subVikingBerserk03|Dual Swing||||||이중 휘두르기||
subVikingBerserk04|Fearless Focus||||||두려움 없는 집중||
subVikingBerserk05|Brutalize||||||잔혹 행위||
subVikingBerserk06|Axe Throw||||||도끼 던지기||
subVikingBerserk07|Bursting Madness||||||광기의 폭발||
subVikingBerserk08|Berserker´s Reach||||||광전사의 도달||
subVikingBerserk09|Heavy Hitter||||||강타자||
subVikingBerserk10|Bring Me Another One!||||||다른 걸 가져와!||
subVikingBerserk11|Berserker´s Insanity||||||광전사의 광기||
subVikingBerserk12|Deadly Advantage||||||치명적인 이점||
subVikingBerserk13|GRAAAAAGH!||||||으아아아악!||
subVikingBerserk14|Giant´s Grasp||||||거인의 손아귀||
subDescVikingBerserk01|Increases the damage dealt by berserk.||||||광폭화로 인한 피해량이 증가합니다.||
subDescVikingBerserk02|Increases the movement speed bonus from berserk.||||||광폭화 상태에서 이동 속도 보너스를 증가시킵니다.||
subDescVikingBerserk03|Chance on attack to perform an additional attack.||||||공격 시 추가 공격을 할 확률이 있습니다.||
subDescVikingBerserk04|Increases attack rating when using berserk.||||||광폭화 사용 시 명중률 증가.||
subDescVikingBerserk05|Chance to strike the monster with force causing pieces of it to scatter around and damage nearby targets.||||||몬스터를 강하게 타격하여 조각이 흩어지고 주변의 타겟에 피해를 입힐 확률||
subDescVikingBerserk06|Chance on hit to throw a piercing axe towards your target inflicting armor break to all monsters hit.||||||공격 시 일정 확률로 목표를 향해 관통하는 도끼를 던져 맞은 모든 몬스터의 방어력을 감소시킵니다.||
subDescVikingBerserk07|Every strike now stacks to an additional buff unleashing a powerful area of effect pulse when reaching max stacks.||||||모든 공격이 추가 버프를 쌓아 최대 스택에 도달하면 강력한 범위 효과 펄스를 발산합니다.||
subDescVikingBerserk08|Chance on berserk attack to increase its area of effect.||||||광폭화 공격 시 효과 범위 증가 확률.||
subDescVikingBerserk09|Increases critical strike damage dealt when using berserk.||||||광폭화 사용 시 치명타 피해량 증가.||
subDescVikingBerserk10|Pull nearby monsters to the targets corpse on kill.||||||처치 시 근처의 몬스터를 대상의 시체로 끌어당깁니다.||
subDescVikingBerserk11|Increases berserk stat bonuses and max stacks.||||||광폭화 상태 보너스와 최대 중첩 수 증가||
subDescVikingBerserk12|Berserk no longer requires a melee weapon dealing increased damage.||||||광폭화는 더 이상 근접 무기를 사용하여 추가 피해를 입히지 않습니다.||
subDescVikingBerserk13|Every time you reach full stacks unleash a trembling pulse dealing increased damage scaling with full stat scaling consuming all stacks.||||||풀 스택에 도달할 때마다 모든 스택을 소모하여 증가된 피해를 주는 떨리는 파동을 발산합니다.||
subDescVikingBerserk14|Increases the power of attack damage from berserk stacks lowering attack speed scaling.||||||광폭화 스택으로 인해 공격 속도 증가율이 감소하면서 공격력 피해가 증가합니다.||
|||||||||
subPyromancerBlazingTrail01|Timed Fire||||||타임드 파이어||
subPyromancerBlazingTrail02|Scorch||||||||
subPyromancerBlazingTrail03|Expanded Flames||||||확장된 불꽃||
subPyromancerBlazingTrail04|Flaming Steps||||||불타는 발자국||
subPyromancerBlazingTrail05|Agonizing Heat||||||고통스러운 열기||
subPyromancerBlazingTrail06|Combusting Flames||||||타오르는 불꽃||
subPyromancerBlazingTrail07|Burning Veins||||||불타는 혈관||
subPyromancerBlazingTrail08|Paralyzing Fire||||||마비의 불꽃||
subPyromancerBlazingTrail09|Crackling Heat||||||||
subPyromancerBlazingTrail10|Fueled Flames||||||불타는 불꽃||
subPyromancerBlazingTrail11|Forking Flames||||||분기하는 불꽃||
subPyromancerBlazingTrail12|Circle of Fire||||||화염의 원||
subPyromancerBlazingTrail13|Trail of Comets||||||혜성의 흔적||
subPyromancerBlazingTrail14|Detonation Field||||||폭발 지대||
subDescPyromancerBlazingTrail01|Increases the duration of blazing trail.||||||불타는 흔적의 지속 시간을 증가시킵니다.||
subDescPyromancerBlazingTrail02|Increased the damage dealt by blazing trail.||||||불타는 길이 가하는 피해가 증가했습니다.||
subDescPyromancerBlazingTrail03|Increases the area of effect radius of blazing trail.||||||불타는 흔적의 효과 범위를 증가시킵니다.||
subDescPyromancerBlazingTrail04|Increases your movement speed while blazing trail is active.||||||불길이 활성화된 동안 이동 속도가 증가합니다.||
subDescPyromancerBlazingTrail05|Increases damage dealt to burning targets.||||||불타는 대상에게 가하는 피해 증가.||
subDescPyromancerBlazingTrail06|Trails inflict burning on hit.||||||타격 시 화상을 입힙니다.||
subDescPyromancerBlazingTrail07|Trails inflict fire break on hit.||||||공격 시 화염 파괴를 입힙니다.||
subDescPyromancerBlazingTrail08|Trails inflict slow on hit.||||||공격 시 적을 느리게 만듭니다.||
subDescPyromancerBlazingTrail09|Chance of trails to pulsate every second.||||||매 초마다 흔적이 맥동할 확률.||
subDescPyromancerBlazingTrail10|Increases the tick rate of blazing trail.||||||불타는 길의 틱 속도를 증가시킵니다.||
subDescPyromancerBlazingTrail11|Trails have a chance to fork.||||||경로가 분기될 가능성이 있습니다.||
subDescPyromancerBlazingTrail12|You now send trails of fire outwards to all directions.||||||이제 당신은 모든 방향으로 불길을 내보냅니다.||
