[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr
e_skeleton_mage_lightning_2|Thunder Caller|Ukkosen Kutsuja|Conjurador do Trovão|Громовой Призыватель|雷声来电者|サンダーコーラー|천둥 호출자|Donnerrufer|Conjurateur de tonnerre
e_skeleton_mage_lightning_3|Storm Wizard|Myrskyvelho|Mago da Tormenta|Волшебник Бури|风暴精灵|ストームウィザード|폭풍 마법사|Sturm-Zauberer|Sorcier de l'orage
|||||||||
e_scarecrow_1|Scarecrow||Espantalho||||허수아비||
e_scarecrow_2|Scarecrow||Espantalho||||허수아비||
e_scarecrow_3|Undead Harvester||Colhedor Morto-vivo||||||
e_pumpkinMage_1|Pumpkin Wraith||Abóbora Fantasma||||호박 망령||
e_pumpkinMage_2|Pumpkin Wraith||Abóbora Fantasma||||호박 망령||
e_pumpkinMage_3|Hallowing Pumpkin||Abobora Santificada||||할로윈 호박||
|||||||||
e_maggot_1|Blood Maggot|Verimato|Larva de Sangue|Кровавый Опарыш|嗜血蠕虫|血ウジ|피 구더기|Blutmadde|Asticot de sang
e_maggot_2|Corpse Maggot|Ruumismato|Larva de Cadáveres|Трупный Опарыш|食尸蠕虫|死体ウジ|시체 구더기|Leichenmade|Asticot de cadavre
e_maggot_3|Devouring Worm|Ahmijamato|Verme Devorador|Пожирающий Червь|毁灭蠕虫|パクパク・ワーム|포식 벌레|Verschlingender Wurm|Ver dévorant
|||||||||
|||||||||
e_wendigo_1|Wendigo Scavenger|Wendigo raadonsyöjä|Wendigo Carniceiro|Мусорщик Вендиго|清道食尸鬼|ウェンディゴ・スカベンジャー|웬디고|Wendigo-Aasfresser|Wendigo Charognard
e_wendigo_2|Throngcroft|Throngcroft|Throngcroft|Тронгкрофт|园地食尸群|スロンクロフト|쓰롱크로프트|Throngcroft|Throngcroft
e_wendigo_3|Mist Stalker|Sumuvaanija|Perseguidor da Névoa|Сталкер Тумана|迷雾食尸鬼|ミスト・ストーカー|안개 사냥꾼|Nebel-Wandler|Traqueur de brume
|||||||||
|||||||||
e_undying_1|Undying|Epäkuolevainen|Imortal|Бессмертный|不死族|不滅のモノ|불사자|Unsterblicher|Immortel
e_undying_2|Faceless Horror|Kasvoton hirviö|Horror sem Rosto|Безликий Ужас|无脸恐怖|フェースレス・ホラー|얼굴없는 공포|Gesichtsloser Horror|Horreur sans visage
e_undying_3|Unknown|Tuntematon|Desconhecido|Неизвестный|未知恐怖|未知のモノ|미지|Unbekannter|Inconnu
|||||||||
|||||||||
e_ent_1|Ent Sapling|Enttitaimi|Ent Jovem|Лор - Саженец|树苗树精|エントの苗木|어린 엔트|Ent-Setzling|Pousse d'Ent
e_ent_2|Horror Branch|Oksakammotus|Galho do Horror|Ветвь Ужасов|恐怖树精|ホラー・ブランチ|공포의 나무가지|Horror-Zweig|Branche de l'horreur
e_ent_3|Deadwood|Kuolon puu|Árvore Morta|Сухостой|不死树精|デッド・ウッド|죽은 나무|Totholz|Bois mort
|||||||||
e_ent_valhalla_1|Ent Sapling|Enttitaimi|Ent Jovem|Лор - Саженец|树苗树精|エントの苗木|어린 엔트|Ent-Setzling|Pousse d'Ent
e_ent_valhalla_2|Horror Branch|Oksakammotus|Galho do Horror|Ветвь Ужасов|恐怖树精|ホラー・ブランチ|공포의 나무가지|Horror-Zweig|Branche de l'horreur
e_ent_valhalla_3|Deadwood|Kuolon puu|Árvore Morta|Сухостой|不死树精|デッド・ウッド|죽은 나무|Totholz|Bois mort
|||||||||
e_goblin_1|Goblin Captain|Peikkokapteeni|Capitão Goblin|Капитан Гоблинов|妖精船长|ゴブリンのキャプテン|대장 고블린|Goblinkapitän|Capitaine gobelin
e_goblin_2|Tinker|Näpertelijä|Funileiro|Повозиться|淘气树精|ティンカー|땜장이|Pfuscher|Bricoleur
e_goblin_3|Da Bling|Blingi|Da Bling|Да Побрякушки|妖精王|ダ・ブリング|다 블링|Der Bling|Bling-bling
|||||||||
|||||||||
e_imp_1|Nether Imp|Pikku pirulainen|Diabinho|Нижний Бес|地狱小鬼|冥土の小悪魔|지옥의 임프|Unterweltler|Diablotin du Néant
e_imp_2|Devil Breed|Pirulaispentu|Raça Demoníaca|Дьявольская порода|地狱鬼窝|悪魔の繁殖|소악마|Teufelsbrut|Lignée démoniaque
e_imp_3|Arch Demon|Arkkidemoni|Arquidemônio|Архидемон|恶魔王|アーチ・デーモン|대악마|Schelmischer Dämon|Archi-démon
|||||||||
|||||||||
e_dragon_whelp_1|Dragon Whelp|Lohikäärmeen pentu|Filhote de Dragão|Драконий Щенок|龙崽|ドラゴンの子|새끼 용|Drachenwelpe|Petit Dragon
e_dragon_whelp_2|Red Drake|Punainen lohikäärme|Dragão Vermelho|Красный Селезень|红色德雷克|レッド・ドレイク|적룡|Roter Drache|Drake rouge
e_dragon_whelp_3|Pinky|Pinky|Rosado|Мизинец|粉色龙|ピンキー|핑키|Pinkie|Pinkie
|||||||||
|||||||||
e_yeti_1|Tundra Yeti|Tundra Jeti|Iéti da Tundra|Тундровый йети|苔原雪人|ツンドラ・イエティ|툰드라 예티|Tundra Yeti|Yéti de la toundra
e_yeti_2|Gargantuan Beast|Jättiläispeto|Besta Gigantesca|Гигантский Зверь|巨大雪怪|巨獣|거수|Gigantisches Biest|Bête gargantuesque
e_yeti_3|Mountain Monstrosity|Vuorenhirviö|Monstruosidade da Montanha|Горное Чудовище|山峰超级雪怪|マウンテン・モンスターシティー|산더미 거수|Berg-Monstrosität|Monstruosité des montagnes
|||||||||
|||||||||
e_nautilus_1|Nautilus|Nautilus|Náutilo|Наутилус|鹦鹉螺|ノーチラス|노틸러스|Nautilus|Nautile
e_nautilus_2|Sea Hunter|Merimetsästäjä|Caçador do Mar|Морской Охотник|海上猎手|シー・ハンター|바다 사냥꾼|Meeresjäger|Chasseur de mer
e_nautilus_3|Colossal Nautilus|Jättiläis-Nautilus|Náutilo Colossal|Колоссальный Наутилус|巨型鹦鹉螺|巨大ノーチラス|거대 노틸러스|Kolossaler Nautilus|Nautile colossal
|||||||||
|||||||||
e_horror_1|Sleeping Horror|Nukkuva kauhu|Horror Dormente|Спящий Ужас|沉睡恐怖|スリーピング・ホラー|수면의 공포|Schlafender Horror|Horreur nocturne
e_horror_2|Slumbering Demon|Uinuva demoni|Demônio Adormecido|Дремлющий Демон|酣睡恶魔|熟睡している悪魔|수면 악마|Schlummernder Dämon|Démon somnolant
e_horror_3|Master of Limbo|Limbon mestari|Mestre do Limbo|Мастер Лимбо|地狱恶魔|リムボーのマスター|연옥의 주인|Meister der Vorhölle|Maître des limbes
|||||||||
|||||||||
e_chilling_head_1|Chilling Head|Kylmä pää|Cabeça Congelante|Леденящая Голову|颤栗头颅|チリング・ヘッド|차디찬 머리|Eisiger Kopf|Tête glaçante
e_chilling_head_2|Frozen Curse|Jäätynyt kirous|Maldição Congelada|Замороженное Проклятие|冰冻诅咒|凍結の呪い|혹한의 저주|Gefrorener Fluch|Malédiction gelée
e_chilling_head_3|Ancient Apparition|Muinainen ilmestys|Aparição Anciã|Древнее Видение|远古幻影|古代の鬼魅|고대의 발현|Antike Apparation|Ancienne Apparition
|||||||||
|||||||||
e_jormungar_1|Ravenous Jormungar|Ahnas Jormungar|Jormungar Esfomeado|Голодный Йормунгар|贪婪的乔芒格龙|卑劣なヨルンガル|탐욕의 요르문간드|Gefräßiger Jormungar|Jormungar vorace
e_jormungar_2|Tundra Crawler|Tundraryömijä|Rastejador da Tundra|Тундровый Краулер|苔原爬行龙|ツンドラ・クローラー|툰드라 애벌레|Tundra-Kriecher|Rampant de la toundra
e_jormungar_3|Burrowing Ambusher|Hautautuva väijyttäjä|Emboscador Entocado|Роющий Засаду|掘穴龙|潜伏している伏兵|천공 매복자|Grabenbrecher|Boyeur embusqué
|||||||||
|||||||||
e_bride_1|Dead Bride|Kuollut morsian|Noiva Morta|Мертвая Невеста|不死新娘|死んだ花嫁|죽은 신부|Tote Braut|Mariée assassinée
e_bride_2|Ghost Spouse|Haamupuoliso|Cônjuge Fantasma|Призрачный Супруг|幽灵配偶|幽霊配偶者|유령 신부|Geister-Gatte|Époux fantôme
e_bride_3|Widow Anomaly|Leskikummajainen|Anomalia Viúva|Аномалия Вдовы|不死寡妇|寡婦の異常|뒤틀린 과부|Witwenanomalie|Anomalie de la veuve
|||||||||
|||||||||
e_fetish_doll_1|Fetish Doll|Taikanukke|Boneca Enfeitiçada|Фетишистская Кукла|娃娃偶像|フェチ人形|주술 인형|Fetisch Puppe|Poupée fétiche
e_fetish_doll_2|Fetish Shaman|Taikashamaani|Xamã Enfeitiçado|Фетиш- Шаман|娃娃巫师|フェチシャーマン|주술사의 인형|Fetisch Schamane|Chamane fétiche
e_fetish_doll_3|Cursed Doll|Kirottu nukke|Boneca Amaldiçoada|Проклятая Кукла|被诅咒的娃娃|呪われた人形|저주 인형|Verfluchte Puppe|Poupée maudite
|||||||||
|||||||||
e_parasect_1|Parasect|Parasekti|Parasita|Паразитировать|帕拉斯特怪|パラセクト|기생충|Parasekt|Parasect
e_parasect_2|Hellspawn Abomination|Helvetin inhokki|Abominação Nascida no Inferno|Исчадие Ада , Мерзость|地狱之命的憎恶|フェイスボール・スケアモンスター|지옥에서 태어난 기형충|Höllengeborene Monstrosität|Abomination de l'engeance
e_parasect_3|Colossal Parasect|Jättiläis parasekti|Parasita Colossal|Колоссальный Паразит|巨型帕拉斯特怪|巨大なパラセクト|거대 기생충|Kolossales Parasekt|Parasect colossal
|||||||||
|||||||||
e_fungus_monster_1|Fungus Monster|Sienihirviö|Fungo Monstruoso|Грибной Монстр|蘑菇怪|真菌モンスター|버섯 괴물|Pilzmonster|Monstre fongique
e_fungus_monster_2|Faceless Mushroom|Kasvoton sieni|Cogumelo sem Rosto|Безликий Гриб|无面蘑菇|顔なしキノコ|얼굴없는 버섯|Gesichtsloser Pilz|Champignon sans visage
e_fungus_monster_3|Caclauschex|Caclauschex|Caclauschex|Каклаушекс|无敌蘑菇怪|巨大真菌体|거대 균체|Caclauschex|Caclauschex
|||||||||
|||||||||
e_desert_skeleton_1|Desert Legion|Aavikkolegioonalainen|Legião do Deserto|Пустынный легион|沙漠军团|砂漠軍団|사막의 군단병|Wüstenlegionär|Légionnaire du désert
e_desert_skeleton_2|Legion Captain|Legioonalaiskapteeni|Capitão da Legião|Капитан легиона|军团队长|軍団長|군단장|Legionskapitän|Capitaine de la légion
e_desert_skeleton_3|Desert Commander|Aavikkokomentaja|Comandante do Deserto|Командующий Пустыней|沙漠指挥官|砂漠のコマンダー|사막의 지휘관|Wüstenkommandant|Commandant du désert
|||||||||
|||||||||
e_burning_legion_1|Burning Legion|Palava legioonalainen|Legião Ardente|Пылающий Легион|燃烧军团|燃焼軍団|화마의 군단병|Brennende Legion|Légionnaire ardent
e_burning_legion_2|Risen Archer|Noussut jousimies|Arqueiro Ressuscitado|Восставший Лучник|复活射手|蘇ったアーチャー|되살아난 궁수|Auferstandener Bogenschütze|Archer ressuscité
e_burning_legion_3|Fallen Legion|Kaatunut legioonalainen|Legião Caída|Павший Легион|堕落军团|死者軍団|전사한 군단병|Gefallener Legionär|Légionnaire déchu
|||||||||
|||||||||
e_mummy_1|Mummy|Muumio|Múmia|Мамочка|木乃伊|ミイラ|미라|Mumie|Momie
e_mummy_2|Deceased Demon|Demonivainaja|Demônio Falecido|Умерший Демон|死亡恶魔|死去した悪魔|죽은 악마|Verstorbener Dämon|Démon trépassé
e_mummy_3|Embalmed King|Palsamoitu kuningas|Rei Embalsamado|Забальзамированный Король|木乃伊王|エンバアルド・キング|미라가 된 왕|Einbalsamierter König|Roi embaumé
|||||||||
|||||||||
e_desert_beast_1|Desert Beast|Aavikkopeto|Besta do Deserto|Пустынный Зверь|沙怪|砂漠の獣|사막 괴수|Wüstenbestie|Bête du désert
e_desert_beast_2|Sand Goliath|Hiekkagoljatti|Golias de Areia|Песчаный Голиаф|沙漠巨人|サンドゴリアテ|모래 골리앗|Sand-Goliath|Goliath des sables
e_desert_beast_3|Colossal Behemoth|Jättiläis Behemoth|Mastodonte Colossal|Колоссальный Бегемот|巨型沙怪|巨大なビヒモス|거대 베히모스|Kolossaler Behemoth|Béhémoth colossal
|||||||||
|||||||||
e_earth_elemental_1|Earth Elemental|Maaelementaali|Elemental de Terra|Элементаль Земли|地球元素|アース・エレメンタル|대지의 정령|Erdelementar|Élémentaire de terre
e_earth_elemental_2|Monument of Stone|Kivimonumentti|Monumento de Pedra|Памятник из камня|石碑|石のモニュメント|모뉴먼트|Denkmal aus Stein|Monument de pierre
e_earth_elemental_3|Avalachion|Maanvyöryttäjä|Avalachion|Авалахион|阿瓦拉奇翁|アバランチオン|아발라치언|Avalanchion|Avalachion
|||||||||
|||||||||
e_sand_wasp_1|Sand Wasp|Hiekka-ampiainen|Vespa da Areia|Песчаная Оса|沙漠黄蜂|砂のスズメバチ|모래 말벌|Sand-Wespe|Guêpe des sables
e_sand_wasp_2|Desert Bee|Aavikkomehiläinen|Abelha do Deserto|Пустынная Пчела|沙漠蜜蜂|砂漠の蜂|사막 벌|Wüsten-Biene|Abeille du désert
e_sand_wasp_3|Wasp Queen|Ampiaiskuningatar|Vespa Rainha|Королева ос|黄蜂蜂后|スズメバチの女王|여왕 말벌|Wespenkönigin|Reine des guêpes
|||||||||
|||||||||
e_dust_feeder_1|Dust Feeder|Tomunsyöjä|Comedor de Poeira|Пылеуловитель|吸尘怪|ダスト・フィーダー|먼지 흡입자|Staubschlinger|Cracheur de poussière
e_dust_feeder_2|Devourer|Ahmija|Devorador|Пожиратель|吞噬吸尘怪|デバウアー|포식귀|Verschlinger|Dévoreur
e_dust_feeder_3|Colossal Devourer|Jättiläisahmija|Devorador Colossal|Колоссальный Пожиратель|巨型吸尘怪|巨大なデバウアー|거대 포식귀|Kolossaler Verschlinger|Dévoreur colossal
|||||||||
|||||||||
e_karp_1|Karp|Karppi|Carpa|Карп|卡普怪|カープ|잉어|Karpfen|Carpe commune
e_karp_2|Frenzied Karp|Kiivastunut Karppi|Carpa Frenética|Взбешенный Карп|狂热的卡普怪|狂暴なカープ|발광 잉어|Rasender Karpfen|Carpe furieuse
e_karp_3|Karpoga|Karppinen|Karpoga|Карпога|超级卡普怪|カルポガ|잉오가|Karpoga|Carpoga
|||||||||
e_forest_wasp_1|Forest Wasp||Vespa da Floresta|Лесная Оса|||숲 말벌||Guêpe forestière
e_forest_wasp_2|Toxic Stinger||Picada Venenosa|Ядовитое Жало|||||Dard toxique
e_forest_wasp_3|Furious Killerfly||Abelha Furiosa Assassina|Разъяренная Муха - Убийца|||분노한 킬러플라이||Tétranyque furieux
|||||||||
e_mimic_1|Mimic|Matkija|Mímico|Имитировать|小丑|擬態魔|의태 괴물|Mimik|Mimique
e_mimic_2|Flesh Eater|Lihansyöjä|Comedor de Carne|Пожиратель Плоти|食人小丑|血肉喰い|생살 포식자|Fleischfresser|Mangeur de chair
e_mimic_3|I AM ERROR|MINÄ OLEN VIRHE|EU SOU ERRO|Я - ОШИБКА|疯狂小丑|我はエラーである|나는 오류다|ICH BIN EIN FEHLER|JE SUIS L'ERREUR
|||||||||
|||||||||
e_treasure_goblin_1|Treasure Goblin|Aarrepeikko|Goblin do Tesouro|Гоблин с Сокровищами|宝藏妖精|トレジャー・ゴブリン|보물 고블린|Schatzgoblin|Gobelin au trésor
e_treasure_goblin_2|Treasure Hoarder|Aarrehamstraaja|Colecionador de Tesouros|Кладоискатель сокровищ|宝藏囤积者|トレジャー・マスター|보물 찾기의 대가|Schatzhüter|Gardien du trésor
e_treasure_goblin_3|Treasure Master|Aarremestari|Mestre de Tesouros|Мастер Сокровищ|宝藏大师|トレジャー・ホーダー|보물 싹쓸이꾼|Schatzmeister|Argentier
e_goblinRune_1|Rune Goblin||Goblin de Runas||||룬 고블린||
e_goblinRune_2|Rune Goblin||Goblin de Runas||||룬 고블린||
e_goblinRune_3|Rune Fiddler||Violinista de Runas||||룬 바이올리니스트||
e_goblinShadow_1|Shadow Goblin||Goblin das Sombras||||그림자 고블린||
e_goblinShadow_2|Shadow Goblin||Goblin das Sombras||||그림자 고블린||
e_goblinShadow_3|Shadow Hoarder||Acumulador das Sombras||||그림자 수집가||
|||||||||
e_blackPlague_3|Black Plague||Peste Negra||||흑사병||
e_roninMarksman_3|Ronin Marksman||Atirador Ronin||||로닌 저격수||
e_karpSpawn_3|Karpspawn||Karpspawn||||||
e_bloodSeeker_3|Bloodseeker||Caçador Sanguinário||||블러드시커||
e_damnedCommander_3|Damned Commander||Comandante Maldito||||저주받은 사령관||
e_clampingDistortion_3|Clamping Distortion||Distorção Travada||||왜곡 고정||
e_reakingAgony_3|Reaking Agony||Agonia Fedida||||끔찍한 고통||
e_theGrandButler_3|The Grand Butler||O Grande Mordomo||||그랜드 집사||
e_ancientRonin_3|Ancient Ronin||Ronin Ancião||||||
|||||||||
|||||||||
e_fly_1|Fly|Kärpänen|Mosca|Летать|苍蝇|ハエ|파리|Fliege|Mouche
e_fly_2|Frenzied Fly|Seonnut kärpänen|Mosca Frenética|Бешеная Муха|疯狂的苍蝇|狂暴なハエ|발광 파리|Rasende Fliege|Mouche frénétique
e_fly_3|Diseased Mosquito|Tautinen sääski|Mosquito Doente|Больной Комар|瘟疫蚊子|病気にかかった蚊|질병 모기|Kranker Moskito|Moustique porteur de maladie
|||||||||
|||||||||
e_sheep_1|Sheep|Lammas|Ovelhas|Овцы|羊|シープ|양|Schaf|Mouton
e_sheep_2|Chaos Mutton|Lammasmestari|Campeão das Ovelhas|Чемпион Овец|绵羊冠军|シープ・チャンピオン|챔피언 양|Schaf Champion|Mouton champion
e_sheep_3|Demonhorn Enforcer|Demonisarven Pakottaja|VExecutor do Chifre Demoníaco|Демонический Рог Инфорсер |变异羊|シープ・エラー|양ㅇ1Lㅔ0ㅣEㅓ|Dämonenhorn-Vollstrecker |Exécuteur de la Corne du Démon 
|||||||||
|||||||||
e_cursed_doll_1|Cursed Doll|Kirottu Nukke|Boneca Amaldiçoada|Проклятая Кукла|被诅咒的娃娃|呪われた人形|재앙 인형|Verfluchte Puppe|Poupée maudite
e_cursed_doll_2|Fetish Voodoo Doll|Voodoo nukke|Boneca Voodoo Enfeitiçada|Фетишистская Кукла Вуду|巫毒娃娃偶像|フェチ・ブードゥー・ドール|부두 인형|Fetisch-Voodoo-Puppe|Poupée fétiche vaudou
e_cursed_doll_3|Stygian Puppet|Synkkä Nukke|Marionete do Estígio|Стигийская Марионетка|地狱木偶|地獄の操り人形|지옥의 꼭두각시|Schauerliche Marionette|Marionnette effrayante
|||||||||
|||||||||
e_hollow_stump_1|Hollow Stump|Ontto kanto|Toco Vazio|Полый Обрубок|空心树桩|中空の切り株|공허 그루터기|Ausgehöhlter Stumpf|Souche creuse
e_hollow_stump_2|Hollow Terror|Ontto kauhu|Terror Vazio|Пустой Ужас|空心恐怖|中空テロ|헛된 공포|Ausgehöhlter Terror|Terreur évidée
e_hollow_stump_3|Deepwood Horror|Syvän metsän kammotus|Árvore do Horror Profundo|Ужас Темнолесья|深林恐怖|ディープ・ウッド・ホラー|깊은 숲의 공포|Das Grauen aus Wald|Horreur de la forêt
|||||||||
|||||||||
e_damned_legion_1|Damned Legion|Kirottu legioonalainen|Legião Maldita|Проклятый Легион|被诅咒的军团|呪われた軍団|저주받은 군단병|Verfluchter Legionär|Légionnaire damné
e_damned_legion_2|Forsaken Soldier|Unohdettu sotilas|Soldado Abandonado|Покинутый Солдат|被遗弃的士兵|見捨てられたソルジャー|버려진 병사|Verlassener Soldat|Soldat abandonné
e_damned_legion_3|Satanic Commander|Saatanallinen komentaja|Comandante Satânico|Сатанинский Командир|撒旦指挥官|魔王のコマンダー|사탄 지휘관|Satanischer Kommandant|Commandant satanique
|||||||||
|||||||||
e_levitating_horror_1|Levitating Horror|Levitoiva kauhu|Horror Levitante|Парящий Ужас|悬浮恐怖|浮遊するホラー|부유 공포|Schwebender Horror|Horreur volante
e_levitating_horror_2|Soul Horror|Sielukauhu|Horror da Alma|Ужас Души|灵魂恐怖|ソウル・ホラー|영혼 공포|Seelen-Horror|Horreur de l'âme
e_levitating_horror_3|Soul Cancer|Sielusyöpä|Câncer da Alma|Рак Души|灵魂癌症|ソウル・キャンサー|영혼 암|Seelenkrebs|Cancer de l'âme
|||||||||
|||||||||
e_goblin_cannoneer_1|Goblin Cannoneer|Peikkopommittaja|Goblin Artilheiro|Канонир - Гоблин|妖精炮手|ゴブリン砲手|고블린 포병|Goblin-Kanonier|Canonnier gobelin
e_goblin_cannoneer_2|Crazy Bombardier|Hullu pommittaja|Bombardeiro Louco|Сумасшедший Бомбардир|疯狂的投弹手|クレイジー・ボンバルディア|광분 포격수|Verrückter Bombenschütze|Bombardier fou
e_goblin_cannoneer_3|Explosion Expert|Räjähde-ekspertti|Especialista em Explosão|Эксперт по взрывам|轰炸专家|爆発エキスパート|폭발 전문가|Explosionsexperte|Expert en explosions
|||||||||
|||||||||
e_ghost_skeleton_archer_1|Archer Anomaly|Jousimieskummajainen|Arqueiro da Anomalia|Аномалия Лучника|恐怖射手|アーチャーの異常|뒤틀린 궁수|Bogenschützen-Anomalie|Anomalie de l'archer
e_ghost_skeleton_archer_2|Lost Ghost|Kadonnut haamu|Fantasma Perdido|Потерянный Призрак|失落的幽灵|ロスト・ゴースト|길 잃은 유령|Verlorener Geist|Esprit perdu
e_ghost_skeleton_archer_3|Awaken Horror|Herännyt kauhu|Horror Despertado|Пробудить Ужас|复活的骷髅|アウェイク・ホラー|깨어난 공포|Erwachen Horror|Horreur éveillée
|||||||||
|||||||||
e_ghost_skeleton_1|Skeletal Ghost|Luurankohaamu|Fantasma Esquelético|Призрак - Скелет|骷髅幽灵|スケルトン・ゴースト|해골 유령|Skelett-Geist|Fantôme squelettique
e_ghost_skeleton_2|Wandering Soul|Vaeltava sielu|Alma Errante|Блуждающая Душа|流浪的灵魂|放浪魂|방랑 영혼|Wandernde Seele|Âme errante
e_ghost_skeleton_3|Lost Anomaly|Kadonnut kummajainen|Anomalia Perdida|Потерянная Аномалия|恐怖失落|失われた異常|뒤틀린 망령|Verlorene Anomalie|Anomalie perdue
|||||||||
|||||||||
e_frost_dragon_1|Frozen Whelpling|Jäinen pentu|Dragãozinho Congelado|Замороженный Щенок|冰封的龙崽|凍結の竜の子|새끼 빙룡|Gefrorenes Rädchen|Rouet congelé
e_frost_dragon_2|Chilling Drake|Hyytävä lohikäärme|Dragão Congelado|Леденящий душу Дрейк|颤栗的德雷克|チリング・ドレーク|빙룡|Eisiger Drache|Drake glacial
e_frost_dragon_3|Awoken Frostburn||Queima-Frio Despertado|Разбуженный Фростберн|||각성한 프로스트번||Brûlure de givre
|||||||||
|||||||||
e_frost_goblin_1|Tundra Goblin|Tundrapeikko|Goblin da Tundra|Тундровый Гоблин|苔原妖精|ツンドラ・ゴブリン|툰드라 고블린|Tundra-Goblin|Gobelin de la toundra
e_frost_goblin_2|Chilling Tinker|Hyinen näpertelijä|Funileiro Congelado|Леденящий Душу Тинкер|冰霜妖精|チリング・ティンカー|혹한의 땜장이|Eisiger Tüftler|Penseur glacial
