[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr
ns_store_connecting|Connecting to the Nintendo eShop.|Yhdistetään Nintendo eShop:iin.|Conectando-se à Nintendo eShop.|Подключение к Nintendo eShop.|连接到 Nintendo eShop。|ニンテンドーeショップ に接続しています。|Nintendo eShop 에 연결|Verbindung zum Nintendo eShop wird hergestellt.|Se connecter au Nintendo eShop.
ns_store_unavailable|The item you tried to access is not available.|Valitsemasi tuote ei ole saatavilla.|O item que você tentou acessar não está disponível.|Объект, к которому вы пытались получить доступ, недоступен.|你要访问的物品已不存在。|アクセス しよう と した アイテム は 利用 できません。|이 아이템은 이용할 수 없습니다.|Der Gegenstand, auf den du zugreifen wolltest, ist nicht verfügbar.|L'élément auquel vous avez essayé d'accéder n'est pas disponible.
ns_store_error|Error loading Nintendo eShop.|Virhe ladattaessa Nintendo eShop:iin.|Erro ao carregar o Nintendo eShop.|Ошибка загрузки Nintendo eShop.|加载 Nintendo eShop 时出错。|ニンテンドーeショップ の読み込み中にエラーが発生しました。|Nintendo eShop 불러 오기 오류.|Fehler beim Laden vom Nintendo eShop.|Erreur de chargement du Nintendo eShop.
ns_store_account_error|The current user account cannot access this feature.|Nykyinen käyttäjä ei voi käyttää tätä ominaisuutta.|A atual conta de usuário não pode acessar esse recurso.|Текущая учетная запись пользователя не имеет доступа к этой функции.|当前用户账号无法访问此功能。|現在 の ユーザーアカウントで は この 機能 にアクセスできません。|현재 사용자 계정은 이 기능을 이용할 수 없습니다.|Das aktuelle Benutzerkonto kann auf diese Funktion nicht zugreifen.|Le compte utilisateur actuel ne peut pas accéder à cette fonction.
ns_store_timeout|Connecting to the Nintendo eShop took too long.|Nintendo eShop:iin yhdistäminen kesti liian kauan.|A conexão com o Nintendo eShop demorou muito.|Подключение к Nintendo eShop заняло слишком много времени.|连接到 Nintendo eShop 花费的时间太长。|ニンテンドーeショップ への接続に時間がかかりすぎました。|Nintendo eShop 에 연결하는 데 시간이 오래 걸렸습니다.|Die Verbindung zum Nintendo eShop hat zu lange gedauert.|La connexion au Nintendo eShop prend trop de temps.
ns_store_warning|Connecting to the Nintendo eShop will disconnect you from the current game.|Yhdistäminen Nintendo eShop:iin katkaisee yhteytesi nykyisestä pelistä.|Conectar-se ao Nintendo eShop o desconectará do jogo atual.|Подключение к Nintendo eShop отключит вас от текущей игры.|连接到Nintendo eShop会使您与当前游戏断开连接。|Nintendo eShop に接続すると、現在のゲームから切断されます。|Nintendo eShop에 연결하면 현재 게임에서 연결이 끊어집니다.|Wenn Sie eine Verbindung zum Nintendo eShop herstellen, werden Sie vom aktuellen Spiel getrennt.|La connexion au Nintendo eShop vous déconnectera du jeu en cours.
ns_eshop|Nintendo eShop|Nintendo eShop|Nintendo eShop|Интернет-магазин Nintendo|Nintendo eShop|Nintendo eShop|닌텐도 e샵|Nintendo eShop|Nintendo eShop
try_again_later|Try again later.|Yritä myöhemmin uudelleen.|Tente novamente mais tarde.|Попробуйте позже.|稍后再试。|後で もう一度 試して みて ください。|나중에 다시 시도하세요.|Versuche es später erneut.|Réessayez plus tard.
try_again_account|Try again with another account.|Yritä uudelleen toisella käyttäjällä.|Tente novamente com outra conta.|Попробуйте еще раз с другой учетной записью.|请使用其他账号再试一次。|別 の アカウント で もう一度 試して みて ください。|다른 계정으로 다시 시도하세요.|Versuche es mit einem anderen Konto erneut.|Réessayez avec un autre compte.
connection_lost|Connection to the network was lost.|Verkkoyhteys katkesi.|A conexão com a rede foi perdida.|Соединение с сетью было потеряно.|网络连接已中断。|ネットワーク 接続 が 遮断 さ れました。|네트워크 연결이 끊어졌습니다.|Die Verbindung zum Netzwerk wurde unterbrochen.|La connexion au réseau a été perdue.
controller|Controller|Ohjain|Controle|Контроллер|游戏控制器|コントローラー|컨트롤러|Controller|Manette
connected|connected|yhdistetty|conectado|связанный|已连接|接続済み|연결됨|verbunden|connectée
prompt_exit|Are you sure you want to exit?|Oletko varma, että haluat poistua?|Tem certeza de que deseja sair?|Вы уверены, что хотите выйти?|你确定要退出吗？|本当に終了してもいいですか？|정말로 나가시겠습니까?|Bist du sicher, dass du gehen möchtest?|Êtes-vous sûr de vouloir quitter ?
controller_connected|Connected|Yhdistetty|Conectado|Связанный|已连接|接続済み|연결됨|Verbunden|Connecté
controller_disconnected|Disconnected|Irroitettu|Desconectado|Отключено|断开|切断|분리|Getrennt|Déconnecté
controller_press|Press|Paina|Pressione|Нажимать|按|押し|프레스|Drücke|Appuyer sur
controller_quit|to quit.|lopettaaksesi.|para sair.|бросить.|退出。|終了します。|종료합니다.|zu beenden.|pour quitter.
controllers|Controllers|Ohjaimet|Controles|Контроллеры|控制器|コントローラ|컨트롤러|Controller|Manettes
steam_cloud|STEAM Cloud|STEAM Cloud|STEAM Cloud|STEAM Облако|STEAM Cloud|STEAM Cloud|STEAM 클라우드|STEAM Cloud|Steam Cloud
steam_cloud_data|Current Cloud data|Nykyiset pilvitiedot|Dados atuais da nuvem|Текущие данные облака|当前云数据|現在のクラウドデータ|현재 클라우드 데이터|Aktuelle Cloud-Daten|Données actuelles du Cloud
save|Save|Tallenna|Salvar|Сохранять|保存|保存する|저장|Speichern|Sauvegarder
load|Load|Lataa|Carregar|Нагрузка|加载|負荷|하중|Laden|Charger
account_id|Account ID|Tilin Tunnus|ID da conta|Идентификатор аккаунта|帐户ID|アカウントID|계정 ID|Konto ID|ID du compte
unranked|Unranked|Sijoittamaton|Não classificado|Без рейтинга|未排名|ランクなし|랭킹|Ranglos|Non classé
caps_lock_enabled|Caps Lock Enabled|Caps Lock käytössä|Caps Lock ativado|Caps Lock включен|大写锁定已启用|CapsLockが有効|Caps Lock 사용|Feststelltaste aktiviert|Verrouillage des majuscules activé
profile_private|This profile is hidden|Tämä profiili on piilotettu|Este perfil está escondido|Этот профиль скрыт|此个人资料已隐藏|このプロファイルは非表示です|이 프로필은 숨겨져 있습니다.|Dieses Profil ist ausgeblendet|Ce profil est masqué
profile_text_blocked|You have blocked this user from interactions and social features.||Você bloqueou este usuário de interações e recursos sociais.|Вы заблокировали этому пользователю доступ к взаимодействиям и социальным функциям.|您已阻止此用户参与互动和使用社交功能。|このユーザーを交流やソーシャル機能からブロックしました。|이 사용자를 상호작용 및 소셜 기능에서 차단했습니다.|Sie haben diesen Benutzer für Interaktionen und soziale Funktionen gesperrt.|Vous avez bloqué les interactions et les fonctionnalités sociales de cet utilisateur.
profile_text_edit|New profile text:||Novo texto de perfil:|Новый текст профиля:|新个人资料文本：|新しいプロフィール テキスト:|새 프로필 텍스트:|Neuer Profiltext:|Nouveau texte de profil :
blocked_players|Blocked players||Jogadores bloqueados |Заблокированные игроки |已阻止玩家 |ブロックされたプレイヤー |차단된 플레이어 |Gesperrte Spieler |Joueurs bloqués 
email_not_verified|Email is not verified!|Sähköposti ei ole vahvistettu!|Email não está verificado!|Адрес эл. почты не подтвержден!|邮件未验证！|メールは検証されていない！|이메일이 확인되지 않았습니다!|E-Mail ist nicht verifiziert!|L'email n'est pas vérifié !
sign_in_failed|Sign in failed. Try again.|Kirjautuminen epäonnistui. Yritä uudelleen.|Falha no login. Tente novamente.|Не удалось войти. Попробуйте еще раз.|登录失败。请重试。|サインインに失敗しました。もう一度お試しください。|로그인에 실패했습니다. 다시 시도하세요.|Anmeldung fehlgeschlagen. Versuchen Sie es erneut.|Échec de la connexion. Réessayez.
invalid_name|That name is unavailable. Please try again.|That name is unavailable. Please try again.|Este nome está indisponível. Por favor tente novamente.|Это имя недоступно. Попробуйте еще раз.|该名称不可用。请重试。|その名前は使用できません。もう一度お試しください。|해당 이름은 사용할 수 없습니다. 다시 시도하세요.|Dieser Name ist nicht verfügbar. Bitte versuchen Sie es erneut.|Ce nom n'est pas disponible. Veuillez réessayer.
show_exp_gain|Show Experience Gain|Näytä kokemuspistesaannit|Mostrar Ganho de Experiência|Показать получение опыта|显示经验值|経験値獲得を表示|경험치 획득 표시|Erfahrungsgewinn anzeigen|Afficher le gain d'expérience
loading_critical_error|Character slot loading failed.|Hahmon lataaminen epäonnistui.|Carregamento do Espaço de Personagem falhou.|Загрузка слота персонажа не удалась.|角色槽加载失败。|キャラクタースロットの読み込みに失敗しました。|캐릭터 슬롯 로딩에 실패했습니다.|Laden des Charakterplatzes fehlgeschlagen.|Le chargement de l'emplacement de personnage a échoué.
retired|Retired|Eläkkeellä|Aposentado|Устаревшие|已退役|廃止|은퇴|Ausrangiert|Retiré
character_skins|Character Skins|Hahmon Ulkoasut|Skins de Personagem|Облики персонажей|角色皮肤|キャラクター スキン|캐릭터 스킨|Charakter-Skins|Skins de personnages
login_remember_info|Remember login info (username and temporary password) on this device for 30 days|Muista kirjautumistiedot (käyttäjänimi ja väliaikainen salasana) tällä laitteella 30 päivää|Lembrar informações de login (Nome de usuário e senha temporária) neste dispositivo por 30 dias.|Запомнить данные для входа (имя пользователя и временный пароль) на этом устройстве на 30 дней|在此设备上记住登录信息（用户名和临时密码）30天|このデバイスにログイン情報 (ユーザー名と一時パスワード) を 30 日間記憶する|30일 동안 이 기기의 로그인 정보(사용자 이름 및 임시 비밀번호) 기억|Anmeldeinformationen (Benutzername und temporäres Passwort) auf diesem Gerät 30 Tage lang speichern|Mémoriser les informations de connexion (nom d'utilisateur et mot de passe temporaire) sur cet appareil pendant 30 jours
link_main_account|Link Main Account|Yhdistä päätili|Vincular a Conta Principal|Связать основную учетную запись|链接主帐户|メイン アカウントをリンク|주 계정 연결|Hauptkonto verknüpfen|Associer le compte principal
account_settings|Account Settings|Tiliasetukset|Configurações da Conta|Настройки учетной записи|帐户设置|アカウント設定|계정 설정|Kontoeinstellungen|Paramètres du compte
initial_migration_prompt|We have scaled up the [c_yellow]Panicnet network[c_reset] to bring you a smoother and more stable online experience.[nl]Your data is currently stored in [c_aqua]Europe[c_reset].[nl]We are offering you one [c_yellow]free migration[c_reset] in case you want to change server to a closer location.[nl][c_lime]Leaderboards, Marketplace and Multiplayer are shared across all regions.[c_reset][nl][nl]Choose a region closest to you:||Aumentamos a escala da [c_yellow]Panicnet network[c_reset] para proporcionar a você uma experiência on-line mais suave e estável.[nl]Seus dados estão atualmente armazenados na [c_aqua]Europa[c_reset].[nl]Estamos oferecendo a você uma [c_yellow]migração gratuita[c_reset] caso você queira mudar o servidor parra um local mais próximo.[nl][c_lime]O placar de líderes, o mercado e o modo multijogador são compartilhados entre todas as regiões.[c_reset][nl][nl]Escolha a região mais próxima de você:|Мы расширили [c_yellow]сеть Panicnet[c_reset], чтобы обеспечить вам более плавный и стабильный опыт работы в сети.[nl]Ваши данные в настоящее время хранятся в [c_aqua]Европе[c_reset].[nl]Мы предлагаем вам одну [c_yellow]бесплатную миграцию[c_reset], если вы захотите сменить сервер на более близкий.[nl][c_lime]Таблицы лидеров, Торговая площадка и Мультиплеер доступны во всех регионах.[c_reset][nl][nl]Выберите ближайший к вам регион:|我们已扩大[c_yellow]Panicnet网络[c_reset]的规模，为您带来更流畅、更稳定的在线体验。[nl]您的数据目前存储在[c_aqua]欧洲[c_reset]。[nl]如果您想将服务器更改为更近的位置，我们将为您提供一次[c_yellow]免费迁移[c_reset]。[nl][c_lime]排行榜、市场和多人游戏在所有地区共享。[c_reset][nl][nl]选择离您最近的地区：|よりスムーズで安定したオンライン エクスペリエンスを提供するために、[c_yellow]Panicnet ネットワーク[c_reset] を拡大しました。[nl]現在、お客様のデータは [c_aqua]ヨーロッパ[c_reset] に保存されています。[nl]サーバーを近い場所に変更したい場合に備えて、[c_yellow]無料移行[c_reset] を 1 回提供しています。[nl][c_lime]リーダーボード、マーケットプレイス、マルチプレイヤーはすべての地域で共有されています。[c_reset][nl][nl]最も近い地域を選択してください:|더욱 원활하고 안정적인 온라인 경험을 제공하기 위해 [c_yellow]Panicnet 네트워크[c_reset]를 확장했습니다.[nl]귀하의 데이터는 현재 [c_aqua]유럽[c_reset]에 저장되어 있습니다.[nl]더 가까운 위치로 서버를 변경하려는 경우 [c_yellow]무료 마이그레이션[c_reset]을 한 번 제공합니다.[nl][c_lime]리더보드, 마켓플레이스 및 멀티플레이어는 모든 지역에서 공유됩니다.[c_reset][nl][nl]가장 가까운 지역을 선택하세요:|Wir haben das [c_yellow]Panicnet-Netzwerk[c_reset] hochskaliert, um Ihnen ein reibungsloseres und stabileres Online-Erlebnis zu bieten.[nl]Ihre Daten werden derzeit in [c_aqua]Europa[c_reset] gespeichert.[nl]Wir bieten Ihnen eine [c_yellow]kostenlose Migration[c_reset] an, falls Sie den Server an einen näheren Standort verlegen möchten.[nl][c_lime]Bestenlisten, Marktplatz und Multiplayer werden von allen Regionen gemeinsam genutzt.[c_reset][nl][nl]Wählen Sie eine Region in Ihrer Nähe:|Nous avons étendu le [c_yellow]réseau Panicnet[c_reset] pour vous offrir une expérience en ligne plus fluide et plus stable.[nl]Vos données sont actuellement stockées en [c_aqua]Europe[c_reset].[nl]Nous vous offrons une [c_yellow]migration gratuite[c_reset] au cas où vous souhaiteriez changer de serveur vers un emplacement plus proche.[nl][c_lime]Les classements, la place de marché et le multijoueur sont partagés dans toutes les régions.[c_reset][nl][nl]Choisissez la région la plus proche de chez vous :
beta_migration_prompt|We have scaled up the [c_yellow]Panicnet network[c_reset] to bring you a smoother and more stable online experience.[nl][nl]Your data is currently stored in [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]During Open Beta we encourage you to try migrating your account and data to another region.[c_reset][nl][nl][c_lime]Leaderboards, Marketplace and Multiplayer are shared across all regions.[c_reset][nl][nl]Choose a region to migrate to:||Aumentamos a escala da [c_yellow]Panicnet network[c_reset] para proporcionar a você uma experiência on-line mais suave e estável.[nl][nl]Seus dados estão atualmente armazenados em [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Durante o beta aberto nós encorajamos você a tentar migrar sua conta e dados para outra região.[c_reset][nl][nl][c_lime]O placar de líderes, mercado e o modo multijogador são compartilhados entre todas as regiões.[c_reset][nl][nl]Escolha a região que queira migrar:|Мы расширили [c_yellow]сеть Panicnet[c_reset], чтобы обеспечить вам более плавный и стабильный опыт работы в сети.[nl][nl]Ваши данные в настоящее время хранятся в [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Во время открытого бета-тестирования мы рекомендуем вам попробовать перенести свою учетную запись и данные в другой регион.[c_reset][nl][nl][c_lime]Таблицы лидеров, Торговая площадка и Многопользовательский режим являются общими для всех регионов.[c_reset][nl][nl]Выберите регион для миграции:|我们已扩大[c_yellow]Panicnet网络[c_reset]的规模，为您带来更流畅、更稳定的在线体验。[nl][nl]您的数据目前存储在[c_aqua][var,regionName][c_reset].[nl][nl][c_pink]在公开测试期间，我们鼓励您尝试将您的帐户和数据迁移到另一个地区。[c_reset][nl][nl][c_lime]排行榜、市场和多人游戏在所有地区共享。[c_reset][nl][nl]选择要迁移到的地区：|よりスムーズで安定したオンライン エクスペリエンスを提供するために、[c_yellow]Panicnet ネットワーク[c_reset] を拡大しました。[nl][nl]現在、お客様のデータは[c_aqua][var,regionName][c_reset].[nl][nl][c_pink]オープンベータ期間中は、アカウントとデータを別の地域に移行することをお勧めします。[c_reset][nl][nl][c_lime]リーダーボード、マーケットプレイス、マルチプレイヤーはすべての地域で共有されます。[c_reset][nl][nl]移行先の地域を選択してください:|더욱 원활하고 안정적인 온라인 경험을 제공하기 위해 [c_yellow]Panicnet 네트워크[c_reset]를 확장했습니다.[nl][nl]귀하의 데이터는 현재 [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]오픈 베타 기간 동안 계정과 데이터를 다른 지역으로 마이그레이션해 보시기 바랍니다.[c_reset][nl][nl][c_lime]리더보드, 마켓플레이스, 멀티플레이어는 모든 지역에서 공유됩니다.[c_reset][nl][nl]이전할 지역을 선택하세요:|Wir haben das [c_yellow]Panicnet-Netzwerk[c_reset] hochskaliert, um Ihnen ein reibungsloseres und stabileres Online-Erlebnis zu bieten.[nl][nl]Ihre Daten werden derzeit in [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Während der offenen Beta empfehlen wir Ihnen, Ihr Konto und Ihre Daten in eine andere Region zu migrieren.[c_reset][nl][nl][c_lime]Bestenlisten, Marktplatz und Multiplayer werden von allen Regionen gemeinsam genutzt.[c_reset][nl][nl]Wählen Sie eine Region aus, in die Sie migrieren möchten:|Nous avons étendu le [c_yellow]réseau Panicnet[c_reset] pour vous offrir une expérience en ligne plus fluide et plus stable.[nl][nl]Vos données sont actuellement stockées en [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Pendant la bêta ouverte, nous vous encourageons à essayer de migrer votre compte et vos données vers une autre région.[c_reset][nl][nl][c_lime]Les classements, la place de marché et le mode multijoueur sont partagés entre toutes les régions.[c_reset][nl][nl]Choisissez une région vers laquelle migrer :
stay_on_europe|Stay on Europe|Pysy Euroopassa|Continuar na Europa|Оставаться в Европе|留在欧洲|ヨーロッパに留まる|유럽에 머무르기|Bleiben Sie bei Europa|Rester en Europe
login_region|Login Region|Kirjautumisalue|Região de login|Регион входа|登录地区|ログイン地域|로그인 지역|Anmelderegion|Se connecter à la région
server_region|Server Region||||||서버 지역||
chat_region|Chat Region||||||채팅 지역||
decay_in|Decay in: |Hajoaminen:|Decadência em:|Упадет через: |衰减时间：|減衰: |감소: |Verfall in: |Déclin en : 
decay_days| Days.| Päivässä| Dias.|Дней.|天。|日。|일.|Tagen.|Jours.
requires_level|Requires Level|Vaatii tason|Requer Nível|Требуется уровень |要求等级|レベルが必要です|레벨 필요|Erfordert Level |Nécessite un niveau 
has_been_created|has been created!|on luotu!|foi criado!|был создан!|已创建！|が作成されました!|가 생성되었습니다!|wurde erstellt!|a été créé !
guild_create_failed|Guild creation failed.|Killan luominen epäonnistui.|A criação da Guilda falhou.|Не удалось создать гильдию. |公会创建失败。 |ギルドの作成に失敗しました。 |길드 생성에 실패했습니다. |Gildenerstellung fehlgeschlagen. |La création de la guilde a échoué. 
guild_name_taken|Guild name has already been taken.|Killan nimi on jo varattu.|O nome da guilda já foi escolhido.|Название гильдии уже занято.|公会名称已被占用。|ギルド名はすでに使用されています。|길드 이름이 이미 사용되었습니다.|Gildenname ist bereits vergeben.|Le nom de la guilde a déjà été pris.
guild_tag_taken|Guild tag has already been taken.|Kiltatunniste on jo varattu.|A tag da guilda já foi escolhida. |Тег гильдии уже занят.|公会标签已被占用。|ギルドタグはすでに使用されています。|길드 태그가 이미 사용되었습니다.|Gildentag ist bereits vergeben.|Le tag de la guilde a déjà été pris. 
guild_tag_changed|Guild tag has been changed!|Killan tunniste on vaihdettu!|A tag da Guilda foi alterada!|Тег гильдии был изменен!|公会标签已更改！|ギルドタグが変更されました!|길드 태그가 변경되었습니다!|Gildentag wurde geändert!|Le tag de la guilde a été modifié !
guild_tag_failed|Guild tag change failed…|Kiltatunnisteen vaihto epäonnistui… |Falha na alteração da tag da Guilda…|Не удалось изменить тег гильдии…|公会标签更改失败…|ギルドタグの変更に失敗しました…|길드 태그 변경에 실패했습니다...|Änderung des Gildentags fehlgeschlagen …|Échec du changement de tag de guilde
guild_delete|Are you sure you want to delete the Guild?|Oletko varma että haluat poistaa tämän killan?|Tem certeza que quer deletar a Guilda?|Вы уверены, что хотите удалить гильдию?|您确定要删除公会吗？|ギルドを削除してもよろしいですか?|길드를 삭제하시겠습니까?|Möchten Sie die Gilde wirklich löschen?|Êtes-vous sûr de vouloir supprimer la guilde ?
guild_send_invite|Send Guild Invite|Lähetä kiltakutsu|Enviar convite para Guilda.|Отправить приглашение в гильдию|发送公会邀请|ギルド招待を送信|길드 초대 보내기|Gildeneinladung senden|Envoyer invitation de guilde
connection_failed|Connection failed.|Yhteys epäonnistui.|Falha na conexão.|Ошибка подключения.|连接失败。|接続に失敗しました。|연결에 실패했습니다.|Verbindung fehlgeschlagen.|Échec de connexion
message_invite_error|Is not available. Please check that your season and hardcore status match.|ei ole saatavilla. Varmista että kausi ja kuolevaisuustilasi täsmää.|Não está disponível. Verifique se o status de temporada e hardcore correspondem.|Недоступно. Проверьте, совпадают ли ваш сезон и статус хардкора.|不可用。请检查您的赛季和硬核状态是否匹配。|利用できません。シーズンとハードコアステータスが一致していることを確認してください。|사용할 수 없습니다. 시즌과 하드코어 상태가 일치하는지 확인하세요.|Ist nicht verfügbar. Bitte überprüfen Sie, ob Ihre Saison und Ihr Hardcore-Status übereinstimmen.|Ceci n'est pas disponible. Veuillez vérifier que votre saison et votre statut hardcore correspondent.
difficulty_not_unlocked|Difficulty not unlocked!|Vaikeustaso lukossa!|Dificuldade não desbloqueada!|Сложность не разблокирована!|难度未解锁！|難易度がロック解除されていません!|난이도가 잠금 해제되지 않았습니다!|Schwierigkeitsgrad nicht freigeschaltet!|Difficulté non débloquée !
hold_button|Hold|Paina pohjassa|Segure|Удерживайте|按住|スキップするには|건너뛰려면 누르세요|Halten|Maintenez
to_skip|to skip|ohittaaksesi|para pular|для пропуска|跳过|を押し続けます|방금 발견|zum Überspringen gedrückt|pour passer
just_found|Just found|Löysi|Encontrou|Только что найдено|刚刚在 BETA 中找到|ベータ版で見つかりました|베타에서|Gerade gefunden|en bêta
in_beta|in BETA|BETASSA|no BETA|в БЕТА-версии|已领取的物品|アイテムを取得しました|아이템 획득|in BETA|Objet récupéré
items_claimed|Items claimed|esineitä lunastettu|Itens reivindicados|Предметы получены|欢迎来到南极！这个地方甚至对怪物来说都太冷了，但对企鹅来说却不是！找到会说话的企鹅继续！|南極へようこそ! ここはモンスターにとっても寒すぎますが、ペンギンにとってはそうではありません! 先に進むには話すペンギンを見つけてください!|남극에 오신 것을 환영합니다! 이곳은 몬스터에게는 너무 춥지만 펭귄에게는 그렇지 않습니다! 계속하려면 말하는 펭귄을 찾으세요!|Gegenstände beansprucht|Bienvenue au Pôle Sud ! Cet endroit est trop froid même pour les monstres, mais pas pour les pingouins ! Trouve seule le pingouin qui parle pour continuer !
south_pole|Welcome to the South Pole! This place is too cold even for monsters, but not for penguins! Find the talking penguin to proceed!|Tervetuloa etelänavalle! Tämä paikka on liian kylmä jopa hirviöille, mutta ei pingviineille! Löydä puhuva pingviini jatkaaksesi!|Bem-vindo ao Polo Sul! Este lugar é muito frio até para monstros, mas não para pinguins! Encontre o pinguim falante para prosseguir!|Добро пожаловать на Южный полюс! Это место слишком холодно даже для монстров, но не для пингвинов! Найдите говорящего пингвина, чтобы продолжить!|市场购买限额已达到。请等待，然后再购买更多！|市場の購入制限に達しました。さらに購入する前にお待ちください!|마켓에서 구매 한도에 도달했습니다. 더 구매하기 전에 잠시 기다려 주세요!|Willkommen am Südpol! Dieser Ort ist selbst für Monster zu kalt, aber nicht für Pinguine! Finden Sie den sprechenden Pinguin, um fortzufahren!|Limite d'achat sur le marché atteinte. Veuillez patienter avant d'en acheter d'autres !
market_limit|Market buy limit reached. Please wait before buying more!||O limite de compra do mercado foi atingido. Por favor, aguarde antes de comprar mais!|Лимит покупок на рынке достигнут. Пожалуйста, подождите, прежде чем покупать еще!|[shake_letter][c_red]小心脆弱的冰！[shake_reset]|[shake_letter][c_red]弱い氷にご注意ください![shake_reset]|[shake_letter][c_red]약한 얼음에 주의하세요![shake_reset]|Marktkauflimit erreicht. Bitte warten Sie, bevor Sie mehr kaufen!|Êtes-vous sûr de vouloir acheter ?
xmas_ice_warning|[shake_letter][c_red]BEWARE OF THE WEAK ICE![shake_reset]||[shake_letter][c_red]CUIDADO COM O GELO FRÁGIL[shake_reset]|[shake_letter][c_red]ОСТЕРЕГАЙТЕСЬ СЛАБОГО ЛЬДА![shake_reset]|您确定要购买吗？|購入してもよろしいですか?|구매하시겠습니까?|[shake_letter][c_red]HÜTEN SIE SICH VOR DEM SCHWACHEN EIS![shake_reset]|
buy_item_confirm|Are you sure you want to buy?|Oletko varma että haluat ostaa?|Tem certeza de que quer comprar?|Вы уверены, что хотите купить?|主要|メイン|메인|Möchten Sie wirklich kaufen?|Paramètres
inventory_main|Main|Oletus|Principal|Main|额外|エクストラ|추가|Haupt|Principal
