[npc]|en|fi|pt|ru|zh|ja|ko|de|fr
nobunaga|Welcome to Shujo Retreat! Its time our clan takes back the control of Karponia!|Tervetuloa Shujo Retreat! Klaanimme on aika ottaa Karponia takaisin!|Bem-vindo ao Retiro de Shujo! É hora do nosso clã retomar o controle de Karponia!|Добро пожаловать в Shujo Retreat! Пришло время нашему клану вернуть контроль над Карпонией!|欢迎来到 Shujo 撤退!现在是我们氏族夺回卡尔波尼亚控制权的时候了!|シュジョリトリートへようこそ！ 我々一族がカルポニアの支配権を取り戻す時だ！|슈호 리트리트에 오신 것을 환영합니다! 우리 씨족이 카포니아의 지배에서 벗어날 시간입니다!|Willkommen in Shujo Retreat! Es ist an der Zeit, dass unser Clan die Kontrolle über Karponia zurückerobert!|Bienvenue à [c_aqua]Retraite de Shujo[c_reset] ! Il est temps que notre clan reprenne le contrôle de la [c_aqua]Mer de Karponia[c_reset] !
abaddon|Hello stranger. Welcome to Dawn's Chapel, may God's grace be upon you.|Tervehdys muukalainen. Tervetuloa Aamun kappeliin, jumala sinua siunatkoon.|Olá estranho. Bem-vindo à Capela de Dawn, que a graça de Deus esteja com você.|Привет, незнакомец. Добро пожаловать в часовню Рассвета, да пребудет с вами Божья благодать.|你好陌生人。 欢迎来到黎明的城堡， 愿上帝的恩典临到你。|こんにちは。 夜明けのシャペルへようこそ、 神の恵みがあなたにありますように。|안녕하세요, 이방인.새벽의 예배당에 오신 것을 환영합니다. 하나님의 축복이 함께하시길.|Hallo Fremder. Willkommen in Dawns Chappel, möge Gottes Gnade mit dir sein.|Bonjour, étranger. Bienvenue à la [c_aqua]Chapelle de l'Aube[c_reset], que la grâce de Dieu soit sur vous.
kujala|Time of great despair is upon us...||Estamos em um momento de grande desespero...|Настало время великого отчаяния...|||우리는 큰 절망의 시대에 있다...||L'heure du grand désespoir a sonné....
sarcaster_club|Hello Hero! My name is Sarcaster and I am the towns coffee addict! Would you like to join my Coffee Club?|Hei sankari! Nimeni on Sarcaster ja minä olen kylän kahviaddikti! Haluaisitko liittyä kahvikerhooni?|Olá, herói! Meu nome é Sarcaster e eu sou o viciado em café da cidade! Gostaria de se juntar ao meu Clube do Café?|Привет, Герой! Меня зовут Саркастер, и я городской кофеман! Хочешь присоединиться к моему кофейному клубу?|你好， 英雄！ 我是瑟卡斯特， 这个镇上的咖啡爱好者！ 你想要加入我的咖啡俱乐部吗？|ヒーローよ、 こんにちは！ サーカスターと申します。 この町のコーヒーマニアです！ 私のコーヒークラブに参加しますか？|안녕! 난 사캐스터라고 하고, 우리 마을의 커피 중독자야! 우리 커피 클럽에 가입할래?|Hallo Held! Mein Name ist Sarcaster und ich bin der Kaffeesüchtige der Stadt! Möchten Sie meinem Coffee Club beitreten?|Bonjour Hero ! Je m'appelle [c_lime]Sarcaster[c_reset] et je suis le professionnel du café de la ville ! Voulez-vous rejoindre le club des accros de café ?
sarcaster|Hello Hero! My name is Sarcaster and I am the towns coffee addict!|Hei sankari! Nimeni on Sarcaster ja minä olen kylän kahviaddikti!|Olá, herói! Meu nome é Sarcaster e eu sou o viciado em café da cidade!|Привет, Герой! Меня зовут Саркастер, и я городской кофеман!|你好， 英雄！ 我是瑟卡斯特， 这个镇上的咖啡爱好者！|ヒーローよ、 こんにちは！ サーカスターと申します。 この町のコーヒーマニアです！ |안녕하세요, 영웅님! 제 이름은 사카스터이고, 저는 마을의 커피 중독자입니다!|Hallo Held! Mein Name ist Sarcaster und ich bin der Kaffeesüchtige der Stadt!|Bonjour Hero ! Je m'appelle [c_lime]Sarcaster[c_reset] et je suis le professionnel du café de la ville !
garnor|Damien's minions grow stronger every day. Use the combat dummies to maintain your speed and power!|Damienin kätyrit kasvavat voimakkaammiksi päivä päivältä. Käytä harjoitusnukkeja ylläpitääksesi voimaasi ja nopeuttasi!|Os lacaios de Damien ficam mais fortes a cada dia. Use os bonecos de combate para manter sua velocidade e poder.|Приспешники Дэмиена становятся сильнее с каждым днем. Используйте боевые манекены, чтобы поддерживать свою скорость и мощь!|达米安的奴仆每天都在变强， 用这些战斗训练人偶来增强你的速度和力量吧！|ダミアン の ミニオン達 は 毎日 強く なって います。 これら の 戦闘 ダミー を 使って あなた の スピード と パワー を 維持 しましょう！|데미언의 부하들이 하루가 다르게 강해지고 있어. 저기에 있는 모형으로 훈련해봐!|Damiens Gefolgsleute werden von Tag zu Tag stärker. Benutze die Kampfpuppen, um deine Schnelligkeit und Kraft zu messen!|Les sbires de [c_red]Damien[c_reset] sont de plus en plus forts. Utilisez les mannequins de combat pour vous entrainer !
join_coffee_club|Join Coffee Club.|Liity Kahvikerhoon.|Junte-se ao Clube do Café.|Присоединяйтесь к Кофейному клубу.|加入咖啡俱乐部。|コーヒークラブに参加します。|커피 클럽에 가입하기.|Werden Sie Mitglied im Coffee Club.|Rejoindre le club des accros de café.
jack_the_ripper|How can I help you today?|Miten voin auttaa sinua tänään?|Como posso te ajudar hoje?|Чем я могу помочь вам сегодня?|请问我今天有什么可以帮您？|今日は何のご用ですか？|오늘은 내가 뭘 해줬으면 좋겠나?|Wie kann ich Ihnen heute helfen?|Comment puis-je vous aider aujourd'hui ?
gar_nor_test_dps|Test damage per second.|Testaa vahinko per sekunti.|Testar dano por segundo.|Проверяйте урон в секунду.|测试每秒造成的伤害。|1秒あたりのダメージをテストします。|초당 피해 테스트.|Testschaden pro Sekunde.|Test de dégâts par seconde.
gar_nor_lock_exp|Lock / Unlock experience.|Lukitse / avaa kokemuspisteet.|Travar / Destravar a experiência.|Опыт блокировки / разблокировки.|锁定/解锁经验。|経験値をロック/ロック解除します。|경험치 잠금 / 해제.|Erfahrung sammeln sperren / entsperren.|Verrouillage / déverrouillage d'expérience.
um|I can show you the future if you have the key... Would you like to see?||Posso lhe mostrar o futuro se você tiver a chave... Gostaria de ver?|Я могу показать тебе будущее, если у тебя есть ключ... Хочешь посмотреть?|||열쇠가 있다면 미래를 보여줄 수 있어요... 보고 싶나요?||Je peux vous montrer l'avenir si vous avez la clé... Voulez-vous voir ?
dr_tinker_dink|Would you like to open a wormhole?|Haluaisitko avata madonreiän? Sinulla on|Gostaria de abrir um buraco de minhoca?|Хотели бы вы открыть червоточину?|你想打开一个虫洞吗？ 你有|ワームホールを開きますか？あなたが持っている|웜홀을 열고 싶어? 네가 가진 'item'로 열 수 있어.|Möchtest du ein Wurmloch öffnen? Du hast.|Voulez-vous ouvrir un vortex ?
wormhole_reset|Are you sure you want to reset your wormhole level?|Oletko varma että haluat palauttaa madonreikäsi tason?|Tem certeza que quer reiniciar seu nível do buraco de minhoca?|Вы уверены, что хотите сбросить уровень своей червоточины?|您确定要重置您的虫洞等级吗？|ワームホールのレベルをリセットしてもよろしいですか？|웜홀 레벨을 초기화하시겠습니까?|Bist du sicher, dass du dein Wurmloch-Level zurücksetzen willst?|Êtes-vous sûr de vouloir réinitialiser le niveau de votre vortex ?
relic_reset|Are you sure you want to reset your relics?|Oletko varma että haluat poistaa kaikki aarteet?|Tem certeza que quer reiniciar suas relíquias?|Вы уверены, что хотите сбросить свои реликвии?|您确定要重置您的遗物吗？|本当にレリックをリセットしますか？|정말로 유물을 초기화하시겠습니까?|Sind Sie sicher, dass Sie Ihre Relikte zurücksetzen möchten?|Êtes-vous sûr de vouloir réinitialiser vos reliques ?
requires_max_level_inferno|Access requires level 80+ & Hell difficulty|Vaatii tason 80+ & Helvetti vaikeusasteen|O acesso requer nível 80+ e dificuldade Inferno|Для доступа требуется уровень 80+ и адская сложность|访问需要 80+ 级和地狱难度|アクセスにはレベル80以上と地獄の難易度が必要です|액세스하려면 레벨 80 이상 및 지옥 난이도가 필요합니다.|Der Zugang erfordert Level 80+ & Schwierigkeitsgrad Hölle|L'accès nécessite le niveau 80 minimum et la difficulté Enfer
requires_max_level|Requires level 100|Vaatii tason 100|Requer nível 100|Требуется 100-й уровень|需要等级100|レベル100が必要|레벨 100이 필요합니다.|Benötigt Level 100|Niveau 100 requis
tinker_chappel|This place is not as holy as it seems...|Tämä paikka ei ole niin pyhä kuin luulisi...|Esse lugar não é tão sagrado quanto parece...|Это место не такое святое, как кажется...|这个地方并不像看起来那么神圣...|この場所は見かけほど神聖ではありません･･･|여긴 보이는 것처럼 성스럽지 않아요...|Dieser Ort ist nicht so heilig wie er scheint...|Cet endroit n'est pas aussi saint qu'il y paraît...
tinker_normal|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...|E aí! Volte mais tarde e eu vou mostrar pra você minha última invenção...|Привет! Приходи позже, и я покажу тебе свое последнее изобретение...|Heya! Come back later and I'll show you my latest invention...|Heya! Come back later and I'll show you my latest invention...|안녕! 나중에 다시 오면 내 최신 발명품을 보여줄게...|Heya! Come back later and I'll show you my latest invention...|Hé, hé ! Revenez plus tard et je vous montrerai ma dernière invention...
um_regular|Open your mind and see the universe...|Avaa mielesi ja näe universumi...|Abra sua mente e veja o universo...|Открой свой разум и посмотри на вселенную...|敞开你的心扉，看看这个世界...|心を開いて、世界を感じてごらん･･･|마음을 열고 우주를 봐요...|Öffne deinen Geist und sieh das Universum...|Ouvrez votre esprit et voyez l'univers...
yogvan|Would ye like to learn the noble art of mining?|Haluaisitko oppia louhimisen jalon taidon?|Gostaria de aprender a nobre arte da mineração?|Хотели бы вы научиться благородному искусству добычи полезных ископаемых?|你想学习高贵的采矿艺术吗?|採掘のこつを学ばないか？|고귀한 광업을 배워볼래요?|Würdest du mehr über die noble Kunst des Bergbaus lernen?|Voulez-vous apprendre le noble art de l'exploitation minière ?
yogvan_meet|Oi! Get back t' me when you've gotten familiar with the town and I'll show ye how to mine like a dwarf!|Oi! Tule takaisin kun olet tutustunut kylään niin opetan sinut louhimaan kuin kääpiö!|Ei! Volte para mim quando se familiarizar com a cidade e eu te mostrarei como minerar como um anão!|Эй! Вернись ко мне, когда освоишься с городом, и я покажу тебе, как добывать добычу, как гном!|Oi! 等你们熟悉了这个城镇再来找我， 我要让你们看看如何像个小矮人一样开采!|おい！ この町に慣れてきたら戻って来い。 ドワーフみたいな採掘方法を教えたろ！|마을에 익숙해지면 나한테 알려줘요. 내가 난쟁이처럼 채굴하는 법을 보여줄게요!|Oi! Komm zurück zu mir, wenn du dich mit der Stadt vertraut gemacht hast, und ich zeige dir, wie man wie ein Zwerg Bergbau betreibt!|Oi ! Revenez me voir quand vous vous serez familiarisé avec la ville et je vous montrerai comment miner comme un nain !
yogvan_learn|Ye still got a lot ta learn! Get back when you've gotten yer hands dirty.|Sinulla on vielä paljon opittavaa! Tule takaisin kun olet saanut kätesi likaisiksi.|Tu ainda tem muito o que aprender! Volte quando estiver com as mãos sujas.|Тебе еще многому предстоит научиться! Возвращайся, когда запачкаешь руки.|你还有很多要学的!把你的手弄脏了再回来。|たくさん習得したな！手が汚れたら戻って来い。|아직 배울 게 많네요! 손이 더러워지면 돌아와요.|Du musst noch viel lernen! Komm zurück zu mir, wenn du deine Hände schmutzig gemacht hast.|Vous avez encore beaucoup à apprendre ! Revenez quand vous aurez mis la main à la pâte.
yogvan_got_it|Ye've got it now... See if you can get dat lad Torstein ta help ye with yer ores!|Nyt sinä osaat... Koitappa jos saisit tuon Torstein-tyypin auttamaan sinua malmiesi kanssa!|Tu conseguiu agora... Veja se consegue o rapaz Torstein pra te ajudar com teus minérios!|Теперь у тебя это есть... Посмотри, сможешь ли ты попросить этого парня Торстейна помочь тебе с твоими рудами!|你现在明白了。。。 看看你能不能找到那个托斯泰因小伙子帮你拿矿石!|もう 教える こと はない。。。 あんた が 鉱石 を とる の を トルシュタイン が 手伝える か どう か 見てくれ！|이제 됐네요... 저 소년 토르스타인의 도움을 받아 광석을 얻을 수 있는지 확인해 봐요!|Du hast es... Sieh zu, ob du diesen Kerl Torstein dazu kriegen kannst, dir mit deinen Erzen zu helfen!|C'est fait maintenant... Voyez si vous pouvez demander à [c_lime]Torstein[c_reset] de vous aider avec vos minerais !
kleiton_learn|Come back to me once you have prospected the ores!||Volte até mim quando tiver inspecionado os minérios!|Возвращайся ко мне, как только разведаешь руды!|||광석을 탐사한 후에 나에게 돌아와!||Revenez me voir quand vous aurez raffiné du minerai !
kleiton_got_it|Great! Now you know how to prospect and get materials that you can use to craft shiny things!||Muito bom! Agora você sabe como inspecionar e obter materials que podem ser usados parar criar coisas brilhantes!|Отлично! Теперь вы знаете, как искать и добывать материалы, которые можно использовать для изготовления блестящих вещей!|||좋아요! 이제 재료를 탐사하고 반짝이는 물건을 만들 수 있는 재료를 얻는 방법을 알게 되었어요!||Génial ! Maintenant, vous savez comment raffiner et obtenir des matériaux qui vous permettront de fabriquer tout un tas de trucs brillants !
kleiton_quest|Hey! You look like you'd appreciate some quality jewels. How about I teach you how to make some?||Ei! Você parece gostar de joias de qualidade. Que tal se eu lhe ensinasse a fazer algumas?|Эй! Похоже, тебе понравились бы качественные драгоценности. Как насчет того, чтобы я научил тебя их делать?|||안녕! 너는 고급 보석을 좋아할 것 같아 보이는데, 내가 몇 가지 만드는 법을 가르쳐 줄까?||Hé ! Tu as l'air d'apprécier les bijoux de qualité. Et si je vous apprenais à en fabriquer ?
kleiton_greet|If I socket this here, I can... Oh, hello!||||||여기에 소켓을 끼우면, 내가... 오, 안녕!||
|||||||||
tristan_npc|Tristan Lee-Johnson||Tristan Lee-Johnson|Тристан Ли-Джонсон|||트리스탄 리-존슨||Tristan Lee-Johnson
tristan_quip_0|Greetings Sir!||Saudações, Senhor!|Приветствую вас, сэр!|||안녕하세요, 기사님!||Salutations mon brave !
