[quest]|en|fi|pt|ru|zh|ja|ko|de|fr
quest_name_19|Chaos Tower|Kaaositorni|Torre do Caos|Башня Хаоса|混沌塔|カオスタワー|카오스 타워|Chaosturm|A l'assaut de la Tour du chaos
quest_description_19|Solve the mystery of the Chaos Tower.|Ratkaise kaaostornin mysteeri.|Resolva o mistério da Torre do Caos.|Разгадайте тайну Башни Хаоса.|解决混沌塔的奥秘。|カオスタワーの謎を解き明かそう。|카오스 타워의 수수께끼를 풀어보세요.|Löse das Geheimnis des Chaosturms.|Résolvez le mystère de la Tour du chaos.
quest_objective_19_1|Towers cleared|Tornia läpäisty|Torres limpas|Башни очищены|清除塔楼|タワーがクリアされました|타워가 삭제되었습니다.|Türme geräumt|Tours nettoyées
quest_objective_19_2|King Rakhul slain|Kuningas Rakhul tapettu|Rei Rakhul morto |Король Рахул убит |拉胡尔国王 消灭 |ラクフル王が殺害される |왕 라쿨 처치 |König Rakhul getötet |Roi Rakhul tué 
quest_objective_19_3|Find Kukkonen|Löydä Kukkonen|Encontre Kukkonen|Найди Кукконена|寻找库科宁|クッコネンを探す|Kukkonen 찾기|Finde Kukkonen|Trouver Kukkonen
|||||||||
quest_name_20|Learn Jewelcrafting||Aprenda Joalheria|Научитесь Изготовлять Ювелирные Изделия|||보석 세공 배우기||Apprendre la joaillerie
quest_description_20|Prospect copper ore||Inspecione minério de cobre|Перспективная медная руда|||구리 광석 탐사||Raffiner du minerai de cuivre
quest_objective_20_1|Copper Ore prospected||Minério de Cobre inspecionado|Разведанная медная руда|||구리 광석 조사됨||Minerai de cuivre raffiné
|||||||||
quest_name_21|Fortune told|Ennustettu|Sorte Contada|Предсказанная судьба|Fortune told|Fortune told||Fortune told|La bonne aventure
quest_description_21|Prophet Luna has shown you a glimpse into the future...[nl][c_heroic]([fortune_item_name])[c_reset][nl]Now the question is when?|Profeetta Luna on näyttänyt sinulle silmäyksen tulevaan... Nyt kysymys kuuluu, milloin?|A Profeta Luna lhe mostrou um vislumbre do futuro...[nl][c_heroic]([fortune_item_name])[c_reset][nl]Agora a pergunta é quando?|Пророк Луна показала вам проблеск будущего... Теперь вопрос в том, когда?|Prophet Luna has shown you a glimpse into the future... Now the question is when?|Prophet Luna has shown you a glimpse into the future... Now the question is when?|예언자 루나가 당신에게 미래를 엿보게 해주었습니다...[nl][c_heroic]([fortune_item_name])[c_reset][nl]이제 문제는 '언제'입니다?|Prophet Luna has shown you a glimpse into the future... Now the question is when?|La prophétesse Luna vous a donné un aperçu de l'avenir... La question est maintenant de savoir quand cela va se produire ?
quest_objective_21_1|Fortune fulfilled|Ennustus täytetty|Fortuna realizada|Счастье исполнилось|Fortune fulfilled|Fortune fulfilled|운명이 완성되었다|Fortune fulfilled|Aventure accomplie
quest_objective_21_2|Enemies killed|Enemies killed|Inimigos Mortos|Убитые враги|Enemies killed|Enemies killed|적 처치|Enemies killed|Ennemis tués
|||||||||
|||||||||
[HALLOWEEN EVENT]|||||||||
quest_name_100|Trick or Treat!|Karkki tai kepponen!|Doçuras ou Travessuras!|Кошелек или жизнь!|不给糖果就捣蛋！|トリック・オア・トリート！|먹을 걸 안 주면 장난칠 거야!|Suesses oder Saures!|Des bonbons ou des sorts !
quest_description_100|You must collect a lot of candy in Act 1. A. Lot.|Kerää karkkia. Paljon. Karkkia.|Você deve coletar muitos doces. Muito.|Вы должны собрать много конфет. A. Много.|你得找一大堆糖。一 大 堆。|あなたはキャンディをたくさん集めなければなりません。たーくーさーん。|사탕을 많이 모으십시오. 무조건. 많이.|Sammle Suessigkeiten. Viele. Suessigkeiten.|Tu dois collecter beaucoup de bonbons. Vraiment. Beaucoup.
quest_objective_100_1|Candy collected|Karkkia kerätty.|Doces coletados|Собранные конфеты|已收集糖果。|キャンディーが集められました。|모은 사탕.|Suessigkeiten gesammelt.|Bonbons collectés
|||||||||
quest_name_101|Find the Candy Apples!|Etsi karkkiomenat!|Encontre as maçãs de doce!|Найди Сладкие яблоки!|找到苹果糖！|リンゴのキャンディーを見つけよう！|사과 사탕을 찾아라!|Suche nach kandierten aepfeln!|Trouvez les pommes d'amour !
quest_description_101|Find a Candy Apple in each Act.|Löydä karkkiomena jokaisesta tasosta.|Encontre uma Maçã Doce em cada ATO.|Найдите Конфетное Яблоко в каждом Действии.|在每个章节找到苹果糖。|各幕のリンゴキャンディーを見つけましょう。|모든 액트에 숨겨져 있는 사과 사탕을 찾으십시오.|Finde einen kandierten Apfel in jedem Akt.|Trouvez une pomme d'amour dans chaque acte.
quest_objective_101_1|Act I Apple found|Taso I omena löydetty.|Maçã do ATO I encontrada.|Акт I Яблоко найдено|章节 I的苹果糖找到了。|幕 I のリンゴキャンディーが見つかりました。|발견한 액트 I 사과.|Akt I: Apfel gefunden.|Acte I - Pomme trouvée
quest_objective_101_2|Act II Apple found|Taso II omena löydetty.|Maçã do ATO II encontrada.|Акт II Яблоко найдено|章节II的苹果糖找到了。|幕 II のリンゴキャンディーが見つかりました。|발견한 액트 II 사과.|Akt II: Apfel gefunden.|Acte II - Pomme trouvée
quest_objective_101_3|Act III Apple found|Taso III omena löydetty.|Maçã do ATO III encontrada.|Акт III Яблоко найдено|章节III的苹果糖找到了。|幕 III のリンゴキャンディーが見つかりました。|발견한 액트 III 사과.|Akt III: Apfel gefunden.|Acte III - Pomme trouvée
quest_objective_101_4|Act IV Apple found|Taso IV omena löydetty.|Maçã do ATO IV encontrada.|Акт IV Яблоко найдено|章节IV的苹果糖找到了。|幕 IV のリンゴキャンディーが見つかりました。|발견한 액트 IV 사과.|Akt IV: Apfel gefunden.|Acte IV - Pomme trouvée
|||||||||
quest_name_102|Trick them all!|Keppostelua!|Engane todos eles!|Обмани их всех!|骗过他们！|奴らを騙せ！|모두 속여주지!|Streiche spielen!|Trompez-les tous !
quest_description_102|Use the Candy Basket to trick enemies.|Käytä karkkikoreja houkutellaksesi vihollisia.|Utilizar a cesta de doces para enganar os inimigos.|Используйте корзину для конфет, чтобы обмануть врагов.|用糖果篮欺骗敌人。|キャンディバスケットを使って敵を騙しましょう。|사탕 바구니로 적들을 속이십시오.|Verwende Suessigkeiten, um Gegner anzulocken.|Utilisez le panier de bonbons pour tromper les ennemis.
quest_objective_102_1|Enemies lured into baskets|Vihollista houkuteltu koreihin.|Inimigos atraídos para cestas|Врагов заманивали в корзины|上钩的敌人。|敵が小箱に誘い込まれました。|유인당한 적.|Gegner in Koerbe gelockt.|Ennemis attirés dans les paniers
|||||||||
quest_name_103|Death has the answer|Kuolemalla on vastaus|A morte tem a resposta|У смерти есть ответ|死亡就是答案|死は答えである|죽음에는 답이 있다|Der Tod hat die Antwort|La réponse est dans la Mort
quest_description_103|Kill Candy Grim Reaper in Act II.|Surmaa Karkkiviikatemies tasossa II.|Mate o Ceifador de Doces no ATO II.|Убейте Кэнди Мрачный Жнец во ВТОРОМ акте.|杀死在章节II的糖果死神。|幕 II でキャンディ・グリム・リーパーを殺してください。|액트 II에서 사탕 사신을 죽이십시오.|Besiegt den kandierten Gevatter Tod in Akt II.|Tuez la Faucheuse de bonbons dans l'Acte II.
quest_objective_103_1|Candy Grim Reaper killed|Karkkiviikatemies surmattu.|Ceifador de Doces morto|Кэнди Убит Мрачный Жнец|已杀死糖果死神。|キャンディー・グリム・リーパーが殺されました。|처치한 사탕 사신.|Kandierter Gevatter Tod getoetet.|Faucheuse de bonbons tuée
|||||||||
quest_name_104|Kill the Pumpkin King|Surmaa Kurpitsakuningas|Mate o Rei Abóbora|Убей Тыквенного Короля|杀死南瓜国王|パンプキン・キングを殺す|호박 왕 죽이기|Toete den Kuerbiskoenig|Tuer le roi des citrouilles
quest_description_104|Kill Damien the Pumpkin King in Act IV.|Surmaa Kurpitsakuningas Damien tasossa IV.|Mate Damien, o Rei Abóbora, no ATO IV.|Убейте Дэмиена, Тыквенного Короля, в акте IV.|杀死章节IV的南瓜国王达米安|幕 IV でパンプキン・キングのダミアンを殺してください。|액트 IV에서 호박 왕 데미언을 죽이십시오.|Toete Damien den Kuerbiskoenig im Akt IV.|Tuez Damien, le roi des citrouilles, dans l'Acte IV.
quest_objective_104_1|Damien the Pumpkin King killed|Kurpitsakuningas Damien surmattu.|Damien, o Rei Abóbora morto.|Дэмиен , Тыквенный Король , убит|已杀死南瓜国王达米安。|パンプキン・キングのダミアンが殺されました。|처치한 호박 왕 데미언.|Damien der Kuerbiskoenig getoetet.|Damien, le roi des citrouilles tué
|||||||||
quest_name_110|Lost Skull|Kadonnut kallo|Caveira Perdida|Потерянный Череп|骷髅头|失われた頭蓋骨|잃어버린 해골|Verlorener Schaedel|Crâne perdu
quest_description_110|Take this snoring skull back to Town of Inoya and hang it somewhere.|Vie kuorsaava kallo Inoyan kylään ja ripusta se jonnekin.|Leve esse crânio roncador de volta para a Cidade de Inoya e pendure-o em algum lugar.|Отнесите этот храпящий череп обратно в город Иноя и повесьте его где-нибудь.|将这个打头骨的 骷髅带回到伊诺亚镇， 并将其挂在某个地方。|このいびきを かく頭蓋骨をイ ノヤの町に戻し、 どこかに掛 けてください。|이 코골이 두개골을 이노 야 마을로 가져가 어딘가에 매달 아라.|Bring diesen Schnarchschaedel zurueck zur Stadt von Inoya und haeng ihn irgendwo auf.|Ramenez ce crâne ronfleur à la ville d'Inoya et accrochez-le quelque part.
quest_objective_110_1|Skull hanged|Kallo ripustettu.|Caveira enforcada|Череп повешен|骷髅吊死。|頭蓋骨が絞首刑に。|해골 교수형.|Schaedel aufgehaengt.|Crâne suspendu
|||||||||
quest_name_111|Hanging Straight|Roiku suorassa|Pendurado Reto|Висит Прямо|直吊|まっすぐぶら下げ|똑바로 매달려|Gerade gehaengt|Se tenir bien droit
quest_description_111|Find the skeleton's spine and pelvis from any Ancient Skeleton.|Löydä luurangon selkäranka ja lantio miltä tahansa pomolta.|Encontre a coluna e a pélvis do esqueleto de qualquer chefe.|Найдите позвоночник и таз скелета у любого босса.|从任何老板那里 找到骨骼的脊椎和骨盆。|ボスからスケル トンの脊椎と骨 盤を見つけます。|보스로부터 골격의 척추와 골반을 찾으십시오.|Finde das Rueckgrat und Becken von jedem Boss.|Trouvez la colonne vertébrale et le bassin du squelette sur n'importe quel boss.
quest_objective_111_1|Spine found|Selkäranka löydetty.|Coluna encontrada.|Найден позвоночник|发现脊椎。|脊椎が見つかりました。|척추 발견.|Vollstaendige Wirbelsaeule gefunden.|Colonne vertébrale trouvée
|||||||||
quest_name_112|Main Hand|Oikea käsi|Mão Principal|Главная Рука|主手|利き手|주요 손|Die Rechte Hand|Première main
quest_description_112|Collect the skeleton's right hand from any Ancient Skeleton.|Löydä luurangon oikea käsi miltä tahansa pomolta.|Colete a mão direita do esqueleto de qualquer chefe.|Соберите правую руку скелета у любого босса.|从任何老板那里 收集骷髅的右手。|ボスからスケルト ンの右手を集める。|보스로부터 해골의 오른손을 모으십시오.|Sammle die rechte Hand von jedem Boss.|Récupérez la main droite du squelette sur n'importe quel boss.
quest_objective_112_1|Hand found|Käsi löydetty.|Mão encontrada.|Найденная рука|发现手。|手が見つかりました。|손을 찾았습니다.|Rechte Hand gefunden.|Main trouvée
|||||||||
quest_name_113|Secondary Hand|Vasen käsi|Mão Secundária|Вторичная Рука|次要手|セカンダリーハンド|이차 손|Die Linke Hand|Seconde main
quest_description_113|Collect the skeleton's left hand from any Ancient Skeleton.|Löydä luurangon vasen käsi miltä tahansa pomolta.|Colete a mão esquerda do esqueleto de qualquer chefe.|Заберите левую руку скелета у любого босса.|从任何老板那里 收集骷髅的左手。|ボスからスケルト ンの左手を集めてください。|보스로부터 해골의 왼손을 수집하십시오.|Sammle die linke Hand von jedem Boss.|Récupérez la main gauche du squelette sur n'importe quel boss.
quest_objective_113_1|Hand found|Käsi löydetty.|Mão encontrada.|Найденная рука|发现手。|手が見つかりました。|손을 찾았습니다.|Linke Hand gefunden.|Main trouvée
|||||||||
quest_name_114|Footwork|Jalkatyötä|Trabalho de Pés|Работа ногами|步法|フットワーク|발놀림|Fussarbeit|Jeu de jambes
quest_description_114|Collect the skeleton's right foot from any Ancient Skeleton.|Löydä luurangon oikea jalka miltä tahansa pomolta.|Colete o pé direito do esqueleto de qualquer chefe.|Соберите правую ногу скелета у любого босса.|从任何老板那里 收集骨骼的右脚。|ボスからスケルト ンの右足を集めます。|보스로부터 해골의 오른발을 모으십시오.|Sammle den rechten Fuss von jedem Boss.|Récupérez le pied droit du squelette sur n'importe quel boss.
quest_objective_114_1|Leg found|Jalka löydetty.|Perna encontrada.|Найденная нога|找到腿。|足が見つかりました。|다리 발견.|Rechten Fuss gefunden.|Pied trouvé
|||||||||
quest_name_115|Happy Feet|Iloiset jalat|Pés Felizes|Счастливые Ноги|快乐的脚|ハッピーフィート|해피 피트|Glueckliche Fuesse|Se lever du bon pied
quest_description_115|Collect the skeleton's left foot from any Ancient Skeleton.|Löydä luurangon vasen jalka miltä tahansa pomolta.|Colete o pé esquerdo do esqueleto de qualquer chefe.|Соберите левую ногу скелета у любого босса.|从任何老板那里 收集骷髅的左脚。|ボスからスケルト ンの左足を集めます。|보스로부터 해골의 왼발을 모으십시오.|Sammle den linken Fuss von jedem Boss.|Récupérez le pied gauche du squelette sur n'importe quel boss.
quest_objective_115_1|Leg found|Jalka löydetty.|Perna encontrada.|Найденная нога|找到腿。|足が見つかりました。|다리 발견.|Linken Fuss gefunden.|Pied trouvé
[Halloween dailies]|||||||||
quest_name_120|Fill the Pot|Pata täyteen|Encha a Panela|Наполните кастрюлю|加满锅|ポットを埋める|냄비를 채우십시오|Fülle den Topf|Un pot bien rempli
quest_description_120|Collect ingredients in Act I.|Kerää aineksia tasossa I.|Colete ingredientes no ATO I.|Соберите ингредиенты для Первого акта .|在第一幕中收集成分。|幕 Iで成分を収集します。|법 I에서 재료를 수집하십시오.|Sammle Zutaten in Akt I.|Collecter les ingrédients dans l'Acte I.
quest_objective_120_1|Spider legs|Hämähäkin jalat|Pernas de aranha|Паучьи лапки|蜘蛛腿|クモの足|거미 다리|Spinnenbeine|Pattes d'araignée
quest_objective_120_2|Maggot's slime|Tuokan lima|Gosma de larva|Слизь личинки|蛆粘液|ウジのスライム|구더기 점액|Madenschleim|Bave d'asticot
quest_objective_120_3|Pumpkin juice|Kurpitsamehu|Suco de abóbora|Тыквенный сок|南瓜汁|かぼちゃジュース|호박 쥬스|Kürbissaft|Jus de citrouille
quest_objective_120_4|Rat ears|Rotan korvat|Orelhas de rato|Крысиные уши|老鼠的耳朵|ラットの耳|쥐 귀|Rattenohren|Oreilles de rat
|||||||||
quest_name_121|Kill Gurag|Surmaa Gurag|Mate Gurag|Убить Гурага|杀死古拉格|グラグを殺す|구라 그 처치|Töte Gurag|Tuer Gurag
quest_description_121|Collect Gurag's spirit by using the Soul Box.|Kerää Guragin sielu Sielulaatikon avulla.|Colete o espírito de Gurag usando a Caixa da Alma.|Соберите дух Гурага, используя Шкатулку с Душами.|使用灵魂盒子收 集古拉格的精神。|ソウルボックス を使用して、 グラッグの精神 を収集します。|영혼 상자 유물을 사용하여 구라 그의 영혼을 모으십시오.|Sammle Gurags Geist mit der Seelenbox.|Récupérez l'esprit de Gurag en utilisant la boîte à âme.
quest_objective_121_1|Gurag's spirit|Guragin sielu|Espírito de Gurag|Дух Гурага|古拉格精神|グラッグの精神|구라 그의 정신|Gurags Geist|Esprit de Gurag
|||||||||
quest_name_122|Feather party!|Höyhenjuhlat!|Festa de penas!|Вечеринка с перьями!|羽毛派对！|フェザーパーティ！|깃털 파티!|Federparty!|Fête des plumes !
quest_description_122|Find chickens in Act II and collect their feathers.|Löydä kanoja tasosta II ja kerää niiden höyheniä.|Encontre galinhas no ATO II e colete suas penas.|Найдите цыплят во втором акте и соберите их перья.|在第二幕中找到鸡并收集羽毛。|幕 IIでニワトリを見つけ、羽を集めます。|행위 II에서 닭을 찾아서 깃털을 모으십시오.|Finde Hühner in Akt II und sammle ihre Federn ein.|Trouvez des poulets dans l'Acte II et ramassez leurs plumes.
quest_objective_122_1|Feathers|Höyheniä|Penas|Перья|羽毛|羽毛|깃털|Gefieder|Plumes
|||||||||
quest_name_123|Embarrass Death|Nöyryytä Kuolemaa|Morte Constrangida|Опозорить Смерть|尴尬死亡|恥ずかしい死|난처한 죽음|Peinlicher Tod|Embarrasser la Mort
quest_description_123|During the fight throw the chicken mask at the Grim Reaper and kill him.|Tappelun aikana, heitä Kananaamari Viikatemiestä päin ja surmaa hänet.|Durante a luta, jogue a máscara de galinha no Ceifador e mate-o.|Во время боя бросьте куриную маску в Мрачного Жнеца и убейте его.|在战斗中， 将鸡面具扔向死神， 并杀死他。|戦いの最中に、 死神にチキ ンマスクを 投げて殺し てください。|전투 중에 그림 리퍼에 치킨 마스크를 던져 죽입니다.|Während des Kampfes wirf die Hühnermaske auf Sensenmann und töte ihn.|Pendant le combat, lancez le masque de poulet sur la Faucheuse et tuez-la.
quest_objective_123_1|Death embarrassed|Kuolema nöyryytetty|Morte envergonhada|Смерть смущена|死亡尴尬|死神は恥ずかしい|부끄러운 죽음|Der Tod ist verlegen|Mort embarrassée
|||||||||
quest_name_124|Gathering ingredients|Kerää aineksia|Recolhendo ingredientes|Сбор ингредиентов|收集成分|材料を集める|재료 수집|Zutaten sammeln|Collecte d'ingrédients
quest_description_124|Collect the following ingredients in Act III.|Kerää seuraavat ainekset tasosta III.|Colete os seguintes ingredientes no ATO III.|В третьем действии соберите следующие ингредиенты.|在第三幕中 收集以下成分。|幕 IIIで次の成分を収集します。|법 III에서 다음 재료를 수집하십시오.|Sammeln Sie die folgenden Zutaten in Akt III.|Récupérez les ingrédients suivants dans l'Acte III.
quest_objective_124_1|Ghost skulls|Haamukallot|Caveiras fantasmas|Призрачные черепа|鬼头骨|ゴーストスカル|유령 두개골|Geisterschädel|Crânes de fantômes
quest_objective_124_2|Dust feeder teeth|Tomunsyöjän hampaat|Dentes do alimentador de poeira|Зубья пылеуловителя|除尘器齿|ダストフィーダー歯|먼지 피더 이빨|Staubzufuhrzähne|Dents de cracheur de poussière
quest_objective_124_3|Mummy bandages|Muumion siteet|Curativos de múmia|Бинты для мумий|木乃伊绷带|ミイラ包帯|미라 붕대|Mumienbinden|Bandages de momie
quest_objective_124_4|Spellbook|Loitsukirja|Livro de feitiços|Книга Заклинаний|拼写书|魔法書|마법서|Zauberbuch|Livre de sorts
|||||||||
quest_name_125|Anubis' Own Medicine|Anubiksen omaa lääkettä|Remédio Próprio de Anubis|Собственное Лекарство Анубиса|阿努比斯自己的药|アヌビス自身の薬|아누비스의 약|Anubis 'eigene Medizin|Remède personnel d'Anubis
quest_description_125|Curse Anubis with the Cursed Book.|Viimeistele Anubis Kirotulla Kirjalla.|Finalize Anubis com o Livro Amaldiçoado.|Прикончи Анубиса с помощью Проклятой Книги.|用 《被诅咒的书》 结束阿努比斯。|呪われた本でア ヌビスを締めく くってください。|저주받은 책으로 아누비스를 마무리하십시오.|Beende Anubis mit dem verfluchten Buch.|Achevez Anubis avec le Livre maudit.
quest_objective_125_1|Anubis cursed|Anubis surmattu|Anúbis morto|Анубис убит|阿努比斯被杀|アヌビス殺害|아누비스|Anubis getötet|Anubis tué
|||||||||
quest_name_126|Suck it!|Imuroi!|Chupe!|Соси это!|吸！|吸いなさい！|빨다!|Saugen Sie es!|Aspirez ça !
quest_description_126|Suck in 30 Damien's heads using the head extractor.|Imuroi 30 Damienin päätä Päänkeräimellä.|Chupe 30 cabeças de Damien usando o extrator de cabeça.|Отсосите 30 голов Дэмиена с помощью насадки для извлечения голов.|使用洗头机吸取 30 个达米恩头。|ヘッドエク ストラクタ を使用して 30 のダミアン ヘッドを吸 い込みます。|헤드 추출기를 사용하여 30 개의 데미언 헤드를 빨아들입니다.|Saugen Sie 30 Damien-Köpfe mit dem Kopfextraktor ein.|Aspirez 30 têtes de Damien à l'aide de l'extracteur de têtes.
quest_objective_126_1|Heads extracted|Päätä kerätty|Cabeças extraídas|Извлеченные головы|抽头|抽出された頭|추출 된 헤드|Köpfe extrahiert|Têtes extraites
|||||||||
[XMAS EVENT]|||||||||
quest_name_200|Sweet annihilation|Ihana tuho|Aniquilação Adocicada|Сладкое уничтожение|甜蜜的毁灭|甘美な消滅|달콤한 전멸|Suesse Vernichtung|Anéantissement des sucreries
quest_description_200|Collect candy canes in Act I.|Kerää karkkitankoja tasossa I.|Colete bengalas doces no ATO I.|Собирайте леденцы в Первом акте .|在章节I收集拐杖糖。|幕 I のケーンのキャンデーを集めてください。|액트 I에서 지팡이 사탕을 모으십시오.|Sammle Zuckerstangen in Akt I.|Collectez des sucres d'orge dans l'acte I.
quest_objective_200_1|Candy canes collected|Karkkitankoa kerätty.|Bengalas Doces coletadas|Собранные леденцовые трости|已收集拐杖糖。|ケーンのキャンディーが集められました。|모은 지팡이 사탕.|Zuckerstangen gesammelt.|Sucres d'orge collectées
|||||||||
quest_name_201|My Grandma made those!|Ne ovat mummoni tekemät!|Minha avó fez isso!|Это сделала моя бабушка!|这些是我奶奶做的！|私のおばあちゃんが作った！|우리 할머니가 만들어 준 거라구!|Meine Oma hat die gemacht!|C'est ma grand-mère qui les a faits !
quest_description_201|Retrieve the Christmas stockings from Gurag in Act I.|Hae joulusukat Guragilta tasossa I.|Recupere as meias de Natal de Gurag no ATO I.|Заберите рождественские чулки у Гурага в акте I.|从章节I的古拉格收集圣诞袜。|幕 I のグラゴからのクリスマス・ストッキングを取り戻してください。|액트 I에서 구라그에게 빼앗긴 크리스마스 양말을 되찾아오십시오.|Hole die Weihnachtsstruempfe von Gurag im ersten Akt.|Récupérez les chaussettes de Noël de Gurag à l'acte I.
quest_objective_201_1|Christmas stockings retrieved|Joulusukat haettu.|Meias de Natal recuperadas|Извлеченные рождественские чулки|已收集圣诞袜。|クリスマス・ストッキングが取り戻されました。|되찾은 크리스마스 양말.|Weihnachtsstruempfe gefunden.|Chaussettes de Noël récupérés
|||||||||
quest_name_202|Building a Snowman|Lumiukkoa rakentamassa|Construindo um boneco de neve|Лепим Снеговика|造雪人|雪だるまを作る|눈사람 만들기|Schneemann bauen|Fabriquer un bonhomme de neige
quest_description_202|Collect snowballs by killing enemies in Act II.|Kerää lumipalloja surmaamalla vihollisia tasossa II.|Colete bolas de neve matando inimigos no ATO II.|Собирайте снежки, убивая врагов во ВТОРОМ акте.|通过杀死章节II的敌人收集雪球。|幕 II で敵を殺すことによってスノーボールを集めてください。|액트 II에서 적을 죽여 눈덩이를 모으십시오.|Sammle Schneebaelle durch Toeten von Gegnern in Akt II.|Récupérez des boules de neige en tuant des ennemis dans l'Acte II.
quest_objective_202_1|Snowballs collected|Lumipalloa kerätty.|Bolas de neve coletadas|Собранные снежки|已收集雪球。|スノーボールが集められました。|모은 눈덩이.|Schneebaelle gesammelt.|Boules de neige collectées
|||||||||
quest_name_203|Find my head!|Etsi pääni!|Encontre minha cabeça!|Найди мою голову!|找到我的头！|私の頭を見つけ！|내 머리를 찾아줘!|Finde meinen Kopf!|Trouvez ma tête !
quest_description_203|Retrieve Snowman's head from Grim Reaper in Act II.|Hae lumiukon pää Viikatemieheltä tasossa II.|Recupere a cabeça de Boneco de Neve do Ceifador no ATO II.|"Достаньте голову Снеговика из ""Мрачного жнеца"" во ВТОРОМ акте."|从章节II的死神收集雪人的头。|幕 II のグリム・リーパーから雪だるまの頭を取り戻してください。|액트 II에서 사신에게 빼앗긴 눈사람 머리를 되찾아오십시오.|Hole im zweiten Akt den Kopf des Schneemanns vom Sensenmann.|Récupérez la tête du Bonhomme de neige auprès du Faucheur sinistre dans l'Acte II.
quest_objective_203_1|Snowman's head retrieved|Lumiukon pää haettu.|Cabeça do boneco de neve recuperada|Извлечена голова Снеговика|已收集雪人的头。|雪だるまの頭が取り戻されました。|되찾은 눈사람 머리.|Schneemanns Kopf gefunden.|Tête du bonhomme de neige récupérée
|||||||||
