[Video]|[en]|[fi]|pt|ru|zh|ja|ko|de|fr
options_kb_use_potion_4|Key bind for using a potion in slot 4||Keybind para usar uma poção no slot 4|Привязка клавиш для использования зелья в слоте 4|||4번 슬롯에 있는 포션 사용 키 바인드||Raccourci clavier pour boire la potion stockée dans le 4ème emplacement.
|||||||||
options_kb_use_skill_1|Key bind for using skill 1 if assigned.||Keybind para usar a skill 1 se atribuído.|Привязка клавиш для использования навыка 1, если он назначен.|||스킬 1을 사용하기 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 1ère compétence si elle est attribuée.
options_kb_use_skill_2|Key bind for using skill 2 if assigned.||Keybind para usar a skill 2 se atribuído.|Привязка клавиш для использования навыка 2, если он назначен.|||스킬 2 사용 키 바인딩 (지정된 경우).||Raccourci clavier pour l'utilisation de la 2ème compétence si elle est attribuée.
options_kb_use_skill_3|Key bind for using skill 3 if assigned.||Keybind para usar a skill 3 se atribuído.|Привязка клавиш для использования навыка 3, если он назначен.|||스킬 3을(를) 사용하기 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 3ème compétence si elle est attribuée.
options_kb_use_skill_4|Key bind for using skill 4 if assigned.||Keybind para usar a skill 4 se atribuído.|Привязка клавиш для использования навыка 4, если он назначен.|||스킬 4를 사용하기 위한 키 바인딩 (지정된 경우).||Raccourci clavier pour l'utilisation de la 4ème compétence si elle est attribuée.
options_kb_use_skill_5|Key bind for using skill 5 if assigned.||Keybind para usar a skill 5 se atribuído.|Привязка клавиш для использования навыка 5, если он назначен.|||스킬 5 사용을 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 5ème compétence si elle est attribuée.
options_kb_use_skill_6|Key bind for using skill 6 if assigned.||Keybind para usar a skill 6 se atribuído.|Привязка клавиш для использования навыка 6, если он назначен.|||스킬 6을 사용하기 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 6ème compétence si elle est attribuée.
options_kb_use_skill_7|Key bind for using skill 7 if assigned.||Keybind para usar a skill 7 se atribuído.|Привязка клавиш для использования навыка 7, если он назначен.|||스킬 7을(를) 사용하기 위한 키 바인드 (지정된 경우).||Raccourci clavier pour l'utilisation de la 7ème compétence si elle est attribuée.
options_kb_use_skill_8|Key bind for using skill 8 if assigned.||Keybind para usar a skill 8 se atribuído.|Привязка клавиш для использования навыка 8, если он назначен.|||스킬 8을(를) 사용하기 위한 키 바인딩 (할당된 경우).||Raccourci clavier pour l'utilisation de la 8ème compétence si elle est attribuée.
options_kb_use_skill_9|Key bind for using skill 9 if assigned.||Keybind para usar a skill 9 se atribuído.|Привязка клавиш для использования навыка 9, если он назначен.|||스킬 9 사용 키 바인드 (지정된 경우).||
options_kb_use_skill_10|Key bind for using skill 10 if assigned.||Keybind para usar a skill 10 se atribuído.|Привязка клавиш для использования навыка 10, если он назначен.|||스킬 10을 사용하기 위한 키 바인드 (할당된 경우).||
options_kb_use_skill_11|Key bind for using skill 11 if assigned.||Keybind para usar a skill 11 se atribuído.|Привязка клавиш для использования навыка 11, если он назначен.|||스킬 11을 사용하기 위한 키 바인딩 (지정된 경우).||
options_kb_use_skill_12|Key bind for using skill 12 if assigned.||Keybind para usar a skill 12 se atribuído.|Привязка клавиш для использования навыка 12, если он назначен.|||스킬 12를 사용할 키 바인드 (지정된 경우).||
|||||||||
|||||||||
|||||||||
|||||||||
|||||||||
options_kb_move_up|Key bind for moving up.||Keybind para mover para cima.|Привязка клавиш для перемещения вверх.|||위로 이동 키 바인딩.||Raccourci clavier pour le déplacement vers le haut.
options_kb_move_left|Key bind for moving left.||Keybind para mover para esquerda.|Привязка клавиш для перемещения влево.|||왼쪽으로 이동 키 설정.||Raccourci clavier pour se déplacer vers la gauche.
options_kb_move_right|Key bind for moving right.||Keybind para mover para direita.|Привязка клавиш для движения вправо.|||오른쪽으로 이동하기 위한 키 바인드.||Raccourci clavier pour se déplacer vers la droite.
options_kb_move_down|Key bind for moving down.||Keybind para mover para baixo.|Привязка клавиш для движения вниз.|||이동 키 설정: 아래로||Raccourci clavier pour le déplacement vers le bas
|||||||||
options_kb_toggle_minimap|Key bind for toggling Minimap.||Keybind para habilitar o minimapa.|Привязка клавиш для переключения миникарты.|||미니맵 전환 키 바인드.||Raccourci clavier pour alterner la mini-carte.
options_kb_show_map|Key bind for showing the minimap in the middle of your screen.||Keybind para mostrar o minimapa no meio da sua tela.|Привязка клавиш для отображения мини-карты в центре экрана.|||화면 중앙에 미니맵을 표시하는 키 바인드.||Raccourci clavier pour afficher la mini-carte au milieu de l'écran.
options_kb_playerlist|Key bind for opening the playerlist.||Keybind para mostrar a lista de jogadores.|Привязка клавиш для открытия списка игроков.|||플레이어 목록을 여는 키 바인드.||Raccourci clavier pour ouvrir la liste des joueurs.
options_kb_show_loot_names|Key bind for showing loot names on ground.||Keybind para mostrar o nome de loot no chão.|Привязка клавиш для отображения названий добычи на земле.|||지상에 있는 전리품 이름 표시 키 바인딩.||Raccourci clavier pour afficher les noms des butins sur le sol.
options_kb_weapon_swap|Key bind for swapping weapon / shield slot.||Keybind para trocar o slot de arma/escudo|Привязка клавиш для смены слота оружия/щита.|||무기/방패 슬롯 교체 키 바인드.||Raccourci clavier pour changer de pré-équipement.
options_kb_emote_menu|Key bind for Emote menu.||Keybind para o menu de Emotes|Привязка клавиш для меню эмоций.|||이모트 메뉴의 키 바인드.||Raccourci clavier pour ouvrir le menu Emote.
options_kb_cast_town_portal|Key bind for casting Town Portal.||Keybind para conjurar o portal da cidade.|Привязка клавиш для использования Town Portal.|||마을 포탈을 시전하는 키 바인드.||Raccourci clavier pour lancer le portail de la ville.
options_kb_force_stop|Key bind for force stop. You can force stop movement and your left ability attack/cast.||Keybind para forçar parada. Você pode forçar parada e o ataque/habilidade da esquerda.|Привязка клавиш для принудительной остановки. Вы можете принудительно остановить движение и атаковать/применить левую способность.|||강제 정지 키 바인드. 움직임과 왼쪽 능력 공격/시전을 강제로 멈출 수 있습니다.||Raccourci clavier d'arrêt forcé. Vous pouvez forcer l'arrêt du mouvement et de votre capacité assignée au clic-gauche attaque/lancer.
options_kb_force_move|Key bind for force move. You can force movement ignoring your left ability from triggering.||Keybind para forçar movimento. Você pode forçar movimento ignorando a sua habilidade da esquerda de ativar.|Привязка клавиш для принудительного перемещения. Вы можете заставить движение двигаться, игнорируя срабатывание левой способности.|||이동 강제 키 바인드. 왼쪽 능력을 무시하고 이동을 강제할 수 있습니다.||Raccourci clavier pour forcer le mouvement. Vous pouvez forcer le mouvement en ignorant le déclenchement de votre capacité assignée au clic-gauche.
options_kb_pickup_use|Key bind for picking up loot and talking to NPC etc.||Keybind para pegar loot e falar com NPC etc.|Привязка клавиш для сбора добычи, разговора с NPC и т. д.|||전리품을 줍고 NPC와 대화하는 등의 키 바인딩||Raccourci clavier pour ramasser le butin et parler aux NPC, etc.
options_kb_jump|Key bind for Jumping.||Keybind para pular.|Привязка клавиш для прыжков.|||점프 키 바인딩.||Raccourci clavier pour sauter.
options_kb_inventory_mercenary|Key bind for opening mercenary inventory.||Keybind para abrir o inventário do mercenário.|Привязка клавиши для открытия инвентаря наемника.|||용병 인벤토리를 여는 키 바인드.||Raccourci clavier pour ouvrir l'inventaire du mercenaire.
|||||||||
options_kb_guild_tab|Key bind for opening guild menu.||Keybind para abrir o menu da guilda.|Привязка клавиш для открытия меню гильдии.|||길드 메뉴를 여는 키 바인드.||Raccourci clavier pour ouvrir le menu de guilde. 
options_kb_skill_menu|Key bind for opening skill menu.||Keybind para abrir o menu de habilidades.|Привязка клавиш для открытия меню навыков.|||스킬 메뉴 열기 키 바인드.||Raccourci clavier pour ouvrir le menu des compétences.
options_kb_inventory|Key bind for opening inventory.||Keybind para abrir o inventário|Привязка клавиш для открытия инвентаря.|||인벤토리 열기 키 설정||Raccourci clavier pour ouvrir l'inventaire.
options_kb_chat|Key bind for opening ingame chat.||Keybind para abrir o chat de dentro do jogo;||||게임 내 채팅 열기 키 바인딩||
options_kb_cutscene_skip|Key bind for skipping cutscenes.||Keybind para pular cutscenes.||||컷신 건너뛰기 키 바인드.||
options_disable_mouse_move|Disable Mouse Movement||Desabilita o movimento com o mouse.|Откл. движение мышью|||마우스 이동 비활성화||Désactiver le déplacement à la souris.
options_kb_ping|Key Bind for pinging on map||Keybind para pingar no mapa||||지도에서 핑을 찍기 위한 키 바인드||
|||||||||
[Gamepad]|||||||||
options_gp_use_potion_1|Button for using a potion in slot 1||Botão para usar a poção no slot 1|Кнопка использования зелья в слоте 1|||1번 슬롯의 포션 사용 버튼||Touche pour boire la potion stockée dans le 1er emplacement.
options_gp_use_potion_2|Button for using a potion in slot 2||Botão para usar a poção no slot 2|Кнопка использования зелья в слоте 2|||2번 슬롯에서 물약 사용 버튼||Touche pour boire la potion stockée dans le 2ème emplacement.
options_gp_use_potion_3|Button for using a potion in slot 3||Botão para usar a poção no slot 3|Кнопка использования зелья в слоте 3|||3번 슬롯에서 포션 사용 버튼||Touche pour boire la potion stockée dans le 3ème emplacement.
options_gp_use_potion_4|Button for using a potion in slot 4||Botão para usar a poção no slot 4|Кнопка использования зелья в слоте 4|||4번 슬롯에서 포션 사용 버튼||Touche pour boire la potion stockée dans le 4ème emplacement.
|||||||||
options_gp_use_skill_1|Button for using skill 1 if assigned.||Botão para usar a skill 1 se atribuída.|Кнопка использования навыка 1, если она назначена.|||스킬 1을 사용하려면 버튼을 누르세요 (할당된 경우).||Touche pour l'utilisation de la 1ère compétence si elle est attribuée.
