[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr
stat_slow_target|Slows target by|Hidastaa tavoitetta|Desacelera o alvo em |Замедляет цель на|减缓目标|対象を減速|대상 감속|Verlangsamt das Ziel um|Ralentit la cible de
stat_prevent_monster_heal|Prevent Monster Heal|Estä Monster Heal |Impede a Cura de Monstros|Предотвратить исцеление монстров|阻止怪物回复生命|モンスターヒールを防ぐ|몬스터 회복 방지|Verhindert Monsterheilung|Empêche les monstres de guérir
stat_strength|to Strength|vahvuuteen|para Força|к силе|对力量|力へ|힘에 대해|auf Stärke|en force
stat_dexterity|to Dexterity|Kevyydelle|para Destreza|к ловкости|对敏捷|器用さへ|민첩성에 대해|auf Geschicklichkeit|en dextérité
stat_intelligence|to Intelligence|älykkyyteen|para Inteligência|к интелекту|走向情报 |インテリジェンスへ |지능으로 |auf Intelligenz |en intelligence
stat_energy|to Energy|Energialle|para Energia|к энергии|对能量|エネルギーへ|에너지에 대해|auf Energie|en énergie
stat_armor|to Armor|panssariin|para Armadura|к броне|对护甲|アーマーへ|방어력에 대해|auf Rüstung|d'armure
stat_vitality|to Vitality|elinvoimaisuuteen|para Vitalidade|к живучести|对体力|体力へ|활력에 대해|auf Vitalität|en vitalité
stat_pointsLeft|Points Left|Pisteitä jäljellä|Pontos Restantes|Осталось очков|剩余点数|残されたポイント|남은 포인트|Verbleibende Punkte|Point(s) restant(s)
stat_all_stats|to All Attributes|kaikkiin määritteisiin|para Todos os Atributos|ко всем атрибутам|对所有属性|全ての属性へ|모든 속성에 대해|auf alle Attribute|à toutes les statistiques
stat_physical_damage|to Physical Damage|fyysiselle vahingolle|para Dano Físico Aditivo|к дополнительному физическому урону|附加物理伤害|付加的な物理的ダメージへの影響|추가 물리적 손상|auf zusätzlichem physischen Schaden|aux dégâts physique infusés
stat_magic_damage|to Additive Arcane Damage|Additive Arcane Damage|para Dano Arcano Aditivo|к дополнительному урону от тайной магии|附加奥术伤害 |追加の秘術ダメージ |부가적인 비전 피해에 |zu additivem Arkanschaden |aux dégâts d'arcane infusés
stat_lightning_damage|to Additive Lightning Damage|lisäaineisiin salamavaurioihin|para Dano de Raios Aditivo|к дополнительному урону от молнии|对附加闪电伤害|加算雷撃ダメージへ|추가 번개 데미지에 대해|auf zusätzlichen Blitzschaden|aux dégâts de foudre infusés
stat_fire_damage|to Additive Fire Damage|lisäainepalovaurioille|para Dano de Fogo Aditivo|к дополнительному урону от огня|对附加火焰伤害|加算火災ダメージへ|추가 화염 데미지에 대해|auf zusätzlichen Feuerschaden|aux dégâts de feu infusés
stat_cold_damage|to Additive Cold Damage|lisäainekylmävaurioille|para Dano de Gelo Aditivo|к дополнительному урону от холода|对附加寒冷伤害|加算冷気ダメージへ|추가 냉기 데미지에 대해|auf zusätzlichen Kälteschaden|aux dégâts de froid infusés
stat_poison_damage|to Additive Poison Damage|lisäainemyrkkyvaurioille|para Dano de Veneno Aditivo|к дополнительному урону ядом|对附加毒素伤害|加算毒ダメージへ|추가 독 데미지에 대해|auf zusätzlichen Giftschaden|aux dégâts de poison infusés
stat_spell_magic_damage|to Arcane Skill Damage|Arcane Skill Damageen|para Dano de Habilidade Mágica|к урону от навыка Тайная магия|奥术技能伤害|秘術スキルのダメージ|비전 스킬 피해|zu arkanem Fertigkeitsschaden|aux dégâts des compétences arcaniques
stat_spell_lightning_damage|to Lightning Skill Damage|salaman taitovaurioon|para Dano de Habilidade de Raios|к урону от навыка Молния|闪电技能伤害|雷スキルのダメージ|번개 스킬 피해|zu Blitz-Fertigkeitsschaden|aux dégâts des compétences de foudre
stat_spell_fire_damage|to Fire Skill Damage|palotaitojen vaurioihin|para Dano de Habilidade de Fogo|к урону от навыка Огонь|火焰技能伤害|火スキルのダメージ|화염 스킬 피해|zu Feuer-Fertigkeitsschaden|aux dégâts des compétences de feu
stat_spell_cold_damage|to Cold Skill Damage|kylmään taitovaurioon|para Dano de Habilidade de Gelo|к урону от навыка Холод|冰冷技能伤害|冷気スキルのダメージ|냉기 스킬 피해|zu Kälte-Fertigkeitsschaden|aux dégâts des compétences de froid
stat_spell_poison_damage|to Poison Skill Damage|Poison Skill Damage|para Dano de Habilidade de Veneno|к урону от навыка Яд|毒药技能伤害 |毒スキルのダメージ |독 스킬 피해 |zu Gift-Fertigkeitsschaden |aux dégâts des compétences de poison 
stat_fire_damage_p|Fire Skill Damage increased by|Fire Skill Damage kasvoi|Dano de Habilidade de Fogo aumentado em|Урон от навыка огня увеличен на|对火焰技能伤害增加|火焔スキルダメージ増加|불스킬 데미지 증가|Feuerfertigkeitsschaden erhöht um|Dégâts des compétences de feu augmentés de 
stat_cold_damage_p|Cold Skill Damage increased by|Kylmän taitovauriot lisääntyivät|Dano de Habilidade de Gelo aumentado em|Урон от умения холода увеличен на|对寒冷技能伤害增加|冷気スキルダメージ増加|냉기스킬 데미지 증가|Kältetechnik-Schaden erhöht um|Dégâts des compétences de froid augmentés de 
stat_magic_damage_p|Arcane Skill Damage increased by|Arcane Skill Damage lisääntyi|Dano de Habilidade Arcana aumentado em|Урон от тайной магии увеличен на|奥术技能伤害增加 |アーケインスキルのダメージが増加 |비전 스킬 데미지가 증가했습니다. |Arkaner Fertigkeitsschaden erhöht um |Dégâts des compétences d'arcane augmentés de 
stat_poison_damage_p|Poison Skill Damage increased by|Poison Skill Damage lisääntynyt|Dano de Habilidade de Veneno aumentado em|Урон от яда увеличен на|对毒素技能伤害增加|毒スキルダメージ増加|독스킬 데미지 증가|Giftfertigkeitsschaden erhöht um|Dégâts des compétences de poison augmentés de 
stat_lightning_damage_p|Lightning Skill Damage increased by|Lightning Skill Damage lisääntynyt|Dano de Habilidade de Raios aumentado em|Урон от молнии увеличен на|对闪电技能伤害增加|雷撃スキルダメージ増加|번개스킬 데미지 증가|Blitzfertigkeitsschaden erhöht um|Dégâts des compétences de foudre augmentés de 
stat_physical_damage_p|Attack Damage increased by|Attack Damage kasvoi|Dano de Ataque aumentado em|Урон от атаки увеличен на|对攻击伤害增加|攻撃ダメージ増加|공격 데미지 증가|Angriffsschaden erhöht um|Dégâts d'attaque augmentés de 
stat_ranged_damage_p|Ranged Attack Damage increased by|Kantaman hyökkäysvahinko kasvoi|Dano de Ataque a Distância aumentado em|Урон от дальних атак увеличен на|远程攻击伤害增加|遠距離攻撃ダメージが増加|원거리 공격 피해가|Fernangriffsschaden erhöht um|Les dégâts des attaques à distance ont augmenté de
stat_melee_damage_p|Melee Attack Damage increased by|Lähitaistelu Attack Damage kasvoi|Dano de Ataque Corpo a Corpo aumentado em|Урон от ближних атак увеличен на|近战攻击伤害增加|近接攻撃ダメージが増加|근접 공격 피해가|Nahkampfangriffsschaden erhöht um|Les dégâts des attaques au corps à corps ont augmenté de
stat_explosion_damage|Explosion Damage increased by|Räjähdysvauriot lisääntyivät|Dano de Explosão aumentado em|Урон от взрывов увеличен на|爆炸伤害增加|爆発ダメージが増加|폭발 피해가|Explosionsschaden erhöht um|Les dégâts des explosions ont augmenté de
stat_explosion_skills|to Explosion Skills|räjähdystaitoon|para Habilidades de Explosão|навыки взрывов |爆炸技能 |爆発スキル |폭발 기술로 증가 |für Explosionsfertigkeiten |aux compétences d'explosion 
stat_cold_skills|to Cold Skills|Cold Skillsiin|para Habilidades de Gelo|к навыкам холода|对冰霜技能|冷気スキルへ|냉기 스킬에 대해|auf Kältefertigkeiten|aux compétences de froid
stat_lightning_skills|to Lightning Skills|Lightning Skillsiin|para Habilidades de Raios|к навыкам молнии|对闪电技能|雷撃スキルへ|번개 스킬에 대해|auf Blitzfertigkeiten|aux compétences de foudre
stat_fire_skills|to Fire Skills|tulitaitoihin|para Habilidades de Fogo|к навыкам стрельбы|对火焰技能|火焔スキルへ|불 스킬에 대해|auf Feuerfertigkeiten|aux compétences de feu
stat_poison_skills|to Poison Skills|Poison Skillsiin|para Habilidades de Veneno|к навыкам отравления|对毒素技能|毒スキルへ|독 스킬에 대해|auf Giftfertigkeiten|aux compétences de poison
stat_magic_skills|to Arcane Skills|Arcane Skillsiin|para Habilidades Arcanas|к навыкам тайной магии|奥术技能 |秘術スキル |비전 기술로 |auf arkanen Fertigkeiten |aux compétences d'arcane
stat_physical_skills|to Physical Skills|Fyysisiin taitoihin|para Habilidades Físicas|к физическим навыкам|对物理技能|物理スキルへ|물리 스킬에 대해|auf physische Fertigkeiten|aux compétences physique
stat_elemental_skills|to Magic Skills|Magic Skillsiin|para Habilidades Mágicas|к магическим навыкам |魔法技能 |魔法のスキルへ |마법 스킬까지 |auf magischen Fähigkeiten |aux compétences magiques 
stat_ignore_cold_resist|to Enemy Cold Resistance|vihollisen kylmävastustukseen|para Resistência ao Gelo do Inimigo|к пробитию вражеского сопр. холоду|对敌人冰霜抗性|敵の冷気抵抗へ|적의 냉기 저항에 대해|auf Kälteresistenz des Gegners|à la résistance au froid de l'ennemi
stat_ignore_fire_resist|to Enemy Fire Resistance|vihollisen tulenvastustukseen|para Resistência ao Fogo do Inimigo|к пробитию вражеского сопр. огня|对敌人火焰抗性|敵の火焔抵抗へ|적의 화염 저항에 대해|auf Feuerresistenz des Gegners|à la résistance au feu de l'ennemi
stat_ignore_poison_resist|to Enemy Poison Resistance|vihollisen myrkytysresistanssiin|para Resistência ao Veneno do Inimigo|к пробитию вражеского сопр. яда|对敌人毒素抗性|敵の毒抵抗へ|적의 독 저항에 대해|auf Giftresistenz des Gegners|à la résistance au poison de l'ennemi
stat_ignore_lightning_resist|to Enemy Lightning Resistance|vihollisen salaman vastustuskykyyn|para Resistência a Raios do Inimigo|к пробитию вражеского сопр. молнии|对敌人闪电抗性|敵の雷撃抵抗へ|적의 번개 저항에 대해|auf Blitzresistenz des Gegners|à la résistance à la foudre de l'ennemi
stat_ignore_magic_resist|to Enemy Arcane Resistance|Enemy Arcane Resistancelle|para Resistência Arcana do Inimigo|к пробитию вражеского сопр. тайной магии|敌人奥术抗性|敵のアーケイン耐性|적의 비전 저항|gegen arkanen Widerstand des Feindes|à la résistance à l'arcane de l'ennemi
stat_ignore_all_resist|to All Enemy Resistances|Kaikille vihollisen vastarintamaille|para Todas as Resistências do Inimigo|всем вражеским сопротивлениям |所有敌人抗性 |すべての敵の耐性 |모든 적의 저항 |gegen alle Widerstände des Feindes |à toutes les résistances ennemies 
stat_jump_power|Increased Jumping Power|Lisääntynyt hyppyvoima|Aumento do Poder de Salto|Увеличение силы прыжка|跳跃能力增加|ジャンプ力増加|점프 파워 증가|Erhöhte Sprungkraft|Augmentation de la puissance du saut
stat_hp_rep|Replenish Life|Täydennä elämää |Regeneração de Vida|Восполнение жизни|恢复生命|生命力の回復|생명력 회복|Leben wiederhergestellt|Régénération de vie 
stat_mana_rep|Replenish Mana|Täydennä Manaa|Regeneração de Mana|Восполнение маны|恢复法力|マナの回復|마나 회복|Mana wiederhergestellt|Régénération du mana 
stat_life|to Life|Elämään|para Vida|к макс. жизни|对生命|生命力へ|생명력에 대해|auf Leben|à la vie
stat_mana|to Mana|Manalle|para Mana|к макс. мане|对法力|マナへ|마나에 대해|auf Mana|au mana
stat_faster_hit_recovery|Faster Hit Recovery|Nopeampi osumien palautus|Recuperação Após Golpe Mais Rápida|Восстановление после удара|更快的击中恢复|より速い回復力|빠른 피격 회복|Schnellere Erholung nach Treffern|de récupération rapide après un coup
stat_defense_vs_missile|Defense vs Missiles|Puolustus vs ohjukset|Defesa contra Projéteis|Защита против ракет|对抗导弹的防御|ミサイルに対する防御|미사일에 대한 방어|Verteidigung gegen Geschosse|de défense contre les missiles
stat_hp_kill|Life After each Kill|Elämä jokaisen murhan jälkeen|Vida Após cada Eliminação|Здоровья за убийство|击杀后生命恢复|キル後の生命回復|죽인 후 생명력 회복|Leben nach jedem Kill|de vie après chaque mort
stat_mana_kill|Mana After each Kill|Mana jokaisen tappamisen jälkeen|Mana Após cada Eliminação|Маны за убийство|击杀后法力恢复|キル後のマナ回復|죽인 후 마나 회복|Mana nach jedem Kill|de mana après chaque mort
stat_max_hp|Life Increased by|Elinikä lisääntynyt|Vida Aumentada em|Жизнь увеличена на|生命增加|生命力増加|생명력 증가|Leben erhöht um|Vie augmenté de 
stat_max_mana|Mana Increased by|Mana lisääntynyt|Mana Aumentada em|Мана увеличена на|法力增加|マナ増加|마나 증가|Mana erhöht um|Mana augmenté de 
stat_light_radius|to Light Radius|valonsäteeseen|para Raio de Luz|к Радиусу света|对光照半径|光の半径へ|빛 반경에 대해|auf Lichtradius|au cercle de lumière
stat_damage_return|of Damage Returned to the Attacker|Hyökkääjälle palautetuista vahingoista|do Dano Retornado para o Agressor|отражение урона|伤害返回给攻击者|攻撃者に返されるダメージの割合|공격자에게 반환되는 피해|von zurückgeworfenem Schaden|de dégâts d'épine
stat_damage_taken_mana|of Damage Taken Recouped as Mana|vahingoista, jotka on korvattu manana|do Dano Sofrido vai para Mana|полученного урона, возмещенного как Мана|受到的伤害以法力形式恢复|受けたダメージのマナとして回復|받은 피해의 마나로 회복|des erlittenen Schadens als Mana zurückgewonnen|des dégâts subis récupérés sous forme de mana
stat_damage_taken_life|of Damage Taken Recouped as Life|vahingonkorvaus henkinä|do Dano Sofrido vai para Vida|полученного урона, возмещенного как Жизнь |受到的伤害以生命形式恢复 |受けたダメージのライフとして回復 |받은 피해의 생명력으로 회복 |des erlittenen Schadens als Leben zurückgewonnen |des dégâts subis récupérés sous forme de vie 
stat_damage_reduction|Physical Damage Taken Reduced by|Fyysiset vahingot vähennetty|Dano Físico Sofrido Reduzido em|Полученный физический урон уменьшен на|减少物理伤害承受|物理ダメージ軽減|물리 피해 감소|Reduzierter physischer Schaden|Dégâts physiques subis réduits de 
stat_magic_damage_reduction|Magic Damage Taken Reduced by|Magic Damage Taken Vähentynyt|Dano Mágico Sofrido Reduzido em|Получаемый магический урон уменьшен на|受到的魔法伤害减少|受ける魔法ダメージが軽減|마법 피해 감소|Erlittener magischer Schaden reduziert um|Dégâts magiques subis réduits de 
stat_all_damage_reduction|All Damage Taken Reduced by|Kaikki vahingot vähennetty|Todo Dano Recebido Reduzido em|Весь получаемый урон уменьшен на|受到的所有伤害减少 |受ける全ダメージが軽減 |모든 피해 감소 |Erlittener Gesamtschaden reduziert um |Tous les dégâts subis réduits de 
stat_damage_reduced|Damage Taken Reduced by|Korvattu vaurio vähentynyt|Dano Sofrido Reduzido em|Полученный урон уменьшен на|减少伤害承受|ダメージ軽減|피해 감소|Schaden reduziert um|Dégâts subis réduits de 
stat_mana_per_level|to Mana (Based on Level)|Manaan (tason perusteella)|para Mana (Baseado no Nível)|к мане (в зависимости от уровня)|对法力（基于等级）|レベルに基づくマナへ|레벨에 따른 마나 증가|auf Mana (basierend auf Stufe)|à la mana (basé sur le niv.)
stat_life_per_level|to Life (Based on Level)|elämään (tason perusteella)|para Vida (Baseado no Nível)|к жизни (в зависимости от уровня)|对生命（基于等级）|レベルに基づく生命へ|레벨에 따른 생명력 증가|auf Leben (basierend auf Stufe)|à la vie (basé sur le niv.)
stat_defense_per_level|Defense (Based on Level)|Puolustus (tason perusteella)|Defesa (Baseado no Nível)|Защита (в зависимости от уровня)|防御（基于等级）|レベルに基づく防御力|레벨에 따른 방어력|auf Verteidigung (basierend auf Stufe)|de défense (basé sur le niv.)
stat_magic_find_per_level|Magic Find (Based on Level)|Taikalöytö (tason perusteella)|Magic Find (Baseado no Nível)|Удача (в зависимости от уровня)|魔法发现（基于等级）|レベルに基づくマジックファインド|레벨에 따른 마법 찾기|auf Magie finden (basierend auf Stufe)|De découverte d'objets magiques (basé sur le niv.)
stat_enhanced_defense_per_level|Enhanced Defense (Based on Level)|Tehostettu puolustus (tasoon perustuen)|Defesa Aprimorada (Baseado no Nível)|Улучшенная защита (в зависимости от уровня)|增强防御（基于等级）|レベルに基づく強化防御力|레벨에 따른 증강된 방어력|auf verstärkte Verteidigung (basierend auf Stufe)|de défense (basé sur le niv.)
stat_enhanced_damage_per_level|Enhanced Damage (Based on Level)|Lisääntynyt vahinko (tason perusteella)|Dano Aprimorado (Baseado no Nível)|Повышенный урон (в зависимости от уровня)|增强伤害（基于等级）|レベルに基づく強化ダメージ|레벨에 따른 증강된 데미지|auf verstärkten Schaden (basierend auf Stufe)|de dégâts (basé sur le niv.)
stat_attack_rating_per_level|to Attack Rating (Based on Level)|hyökätä luokitus (tason perusteella)|para Taxa de Ataque (Baseado no Nível)|к рейтингу атаки (на основе уровня) |攻击等级（根据等级） |攻撃力評価（レベルに基づく） |공격 등급(레벨 기반) |zur Angriffswertung (basierend auf dem Level) |pour attaquer le niveau (en fonction du niveau) 
stat_damage_per_level|to Damage (Based on Level)|vaurioitumaan (tason perusteella)|para Dano (Baseado no Nível)|к урону (в зависимости от уровня)|对伤害（基于等级）|ダメージへ（レベルに基づく）|레벨에 따른 피해|auf Schaden (basierend auf Stufe)|aux dégâts d'attaque (basé sur le niv.)
stat_strength_per_level|to Strength (Based on Level)|vahvuuteen (tason perusteella)|para Força (Baseado no Nível)|к силе (в зависимости от уровня)|对力量（基于等级）|力へ（レベルに基づく）|레벨에 따른 힘|auf Stärke (basierend auf Stufe)|en force (basé sur le niv.)
stat_dexterity_per_level|to Dexterity (Based on Level)|näppäryyteen (tason perusteella)|para Destreza (Baseado no Nível)|к ловкости (в зависимости от уровня)|到敏捷度（基于等级）|器用さまで (レベルに基づく)|손재주로 (레벨 기준)|auf Geschicklichkeit (basierend auf der Stufe)|de dextérité (basé sur le niv.)
stat_energy_per_level|to Energy (Based on Level)|energiaan (tason perusteella)|para Energia (Baseado no Nível)|в энергию (в зависимости от уровня)|对能量（基于等级）|エネルギーへ（レベルに基づく）|레벨에 따른 에너지|auf Energie (basierend auf Stufe)|à l'énergie (basé sur le niv.)
stat_intelligence_per_level|to Intelligence (Based on Level)|älykkyyteen (tason perusteella)|para Inteligência (Baseado no Nível)|к интеллекту (на основе уровня) |智力（基于级别） |知能（レベルに基づく） |지능(레벨에 따라) |zur Intelligenz (basierend auf dem Level) |à l'intelligence (en fonction du niveau) 
stat_armor_per_level|to Armor (Based on Level)|panssariin (tason perusteella)|para Armadura (Baseado no Nível)|к броне (в зависимости от уровня)|对护甲（基于等级）|アーマーへ（レベルに基づく）|레벨에 따른 방어력|auf Rüstung (basierend auf Stufe)|d'armure (basé sur le niv.)
stat_vitality_per_level|to Vitality (Based on Level)|elinvoimaisuuteen (tason perusteella)|para Vitalidade (Baseado no Nível)|к живучести (в зависимости от уровня)|对体力（基于等级）|体力へ（レベルに基づく）|레벨에 따른 활력|auf Vitalität (basierend auf Stufe)|en vitalité (basé sur le niv.)
stat_all_resistance|to All Resistances|Kaikille vastustuksille|para Todas as Resistências|ко всем сопротивлениям|对所有抗性|全抵抗力へ|모든 저항에 대해|auf alle Widerstände|à toutes les résistances
stat_magic_resistance|to Arcane Resistance|Arcane Resistancelle|para Resistência Arcana|к сопротивлению тайной магии|对魔法抗性|魔法抵抗力へ|마법 저항에 대해|auf Magiewiderstand|à la résistance à l'arcane 
stat_cold_resistance|to Cold Resistance|kylmänkestävyyteen|para Resistência ao Gelo|к сопротивлению холоду|对寒冷抗性|冷気抵抗力へ|냉기 저항에 대해|auf Kälteresistenz|à la résistance au froid
stat_fire_resistance|to Fire Resistance|tulenkestävyyteen|para Resistência ao Fogo|к сопротивлению огню|对火焰抗性|火焔抵抗力へ|화염 저항에 대해|auf Feuerresistenz|à la résistance au feu
