Unnamed: 0|en|fi|pt|ru|zh|ja|ko|de|fr
talent_name_shockwave|Shockwave|Shockwave|Onda de Choque|ударная волна|冲击波|衝撃波|충격파|Schockwelle|Onde de choc
talent_name_berserk|Berserk|Berserk|Berserker|Берсерк|狂暴|バーサーク|광포|Berserker|Berserk
talent_name_demolishingWinds|Demolishing Winds|Tuhottavat tuulet |Ventos Demolidores|Разрушающие ветры|摧毁之风 |破壊の風 |파괴의 바람 |Zerstörende Winde |Vents destructeurs
|||||||||
talent_desc_weaponMaster|Increases your attack damage and attack rating when you are using weapons without a shield.|Lisää hyökkäysvahinkoasi ja hyökkäysluokitusta, kun käytät aseita ilman kilpeä.|Aumenta o seu Dano de Ataque e Taxa de Ataque enquanto utiliza Armas e sem Escudo.|Увеличивает силу атаки и рейтинг атаки при использовании оружия без щита.|在使用不带盾牌的武器时，增加攻击伤害和攻击等级。|シールドなしで武器を使用しているときに、攻撃ダメージと攻撃レーティングを増加します。|방패 없이 무기를 사용할 때 공격력과 공격력 등급이 증가합니다.|Erhöht deinen Angriffsschaden und deine Angriffswertung, wenn du Waffen ohne Schild verwendest.|Augmente vos dégâts d'attaque et votre niveau d'attaque lorsque vous utilisez des armes sans bouclier.
talent_desc_charge|Charge forward dealing arcane damage and stunning monsters on impact.|Lataa eteenpäin jakele arkaanista vahinkoa ja upeita hirviöitä törmäyksessä.|Avança causando Dano Arcano e atordoa inimigos no impacto.|Рвитесь вперед, нанося урон от тайной магии и оглушая врагов при ударе.|向前冲锋，造成奥术伤害并在撞击时击晕怪物。|前方に突進してアーケイン ダメージを与え、着地時にモンスターをスタンさせます。|앞으로 돌진하여 비전 피해를 입히고 충격 시 몬스터를 기절시킵니다.|Stürme nach vorne, verursache arkanen Schaden und betäubt Monster beim Aufprall.|Chargez face à vous en infligeant des dégâts et en étourdissant les ennemis au moment de l'impact.
talent_desc_devastatingCharge|When hitting monsters with Charge release a pulse dealing additional arcane damage and decreasing monster attack rating.|Kun lyöt hirviöitä Chargella, vapauta pulssi, joka tuottaa ylimääräistä arkaanista vahinkoa ja laskee hirviöhyökkäysarvoa.|Ao atingir inimigos com a Carga, libera um pulso que causa Dano Arcano e diminui a Taxa de Ataque do inimigo.|При попадании по врагу с помощью «Рывака» высвобождается импульс, наносящий дополнительный урон от тайной магии и снижающий рейтинг атаки врага.|使用冲锋攻击怪物时，释放脉冲，造成额外奥术伤害并降低怪物攻击等级。|チャージでモンスターを攻撃すると、パルスを放出して追加のアーケイン ダメージを与え、モンスターの攻撃レーティングを低下させます。|돌진으로 몬스터를 공격할 때 펄스를 방출하여 추가 비전 피해를 입히고 몬스터의 공격력 등급을 감소시킵니다.|Wenn du Monster mit „Sturmangriff“ triffst, wird ein Impuls freigesetzt, der zusätzlichen arkanen Schaden verursacht und die Angriffswertung der Monster verringert.|Lorsque vous touchez des ennemis avec Charge, vous libérez une impulsion qui inflige des dégâts supplémentaires et diminue le niveau d'attaque de l'ennemi.
talent_desc_shieldMaster|Increases your attack damage and attack rating when using a Shield.|Kasvata hyökkäysvahinkoasi ja hyökkäysluokitusta, kun käytät Shieldia.|Aumenta o seu Dano de Ataque e Taxa de Ataque enquanto utiliza um Escudo.|Увеличивает силу атаки и рейтинг атаки при использовании щита.|使用盾牌时，增加攻击伤害和攻击等级。|シールドを使用しているときに、攻撃ダメージと攻撃レーティングを増加します。|방패를 사용할 때 공격력과 공격력 등급이 증가합니다.|Erhöht deinen Angriffsschaden und deine Angriffswertung, wenn du einen Schild verwendest.|Augmente vos dégâts d'attaque et votre niveau d'attaque lorsque vous utilisez un bouclier.
talent_desc_stoneskin|Increases your defense rating.|Nostaa puolustustasosi.|Aumenta a sua Taxa de Defesa.|Повышает ваш рейтинг защиты.|增加防御等级。|防御レーティングを増加します。|방어력이 증가합니다.|Erhöht deine Verteidigungswertung.|Augmente de façon passive votre défense.
talent_desc_norseResistance|Increases all of your resistances.|Lisää kaikkia vastustuskykyäsi.|Aumenta todas as suas Resistências.|Увеличивает все ваши сопротивления.|增加所有抵抗力。|すべての耐性を増加します。|모든 저항력이 증가합니다.|Erhöht alle deine Resistenzen.|Augmente de façon passive toutes vos résistances.
talent_desc_defensiveShout|Powerful warcry which buffs your and your party members defense rating.|Voimakas sotaharjoitus, joka vahvistaa sinun ja puolueesi jäsenten puolustusluokitusta.|Poderoso grito de guerra que aumenta a sua Defesa e a dos membros do seu grupo.|Мощный боевой клич, повышающий рейтинг защиты вас и членов вашей группы.|强大的战吼，增强你和你队友的防御等级。|強力なウォークライで、自分とパーティー メンバーの防御レーティングを強化します。|자신과 파티원의 방어력을 강화하는 강력한 전투 함성.|Mächtiger Kriegsschrei, der deine Verteidigungswertung und die deiner Gruppenmitglieder steigert.|Puissant cri de guerre qui augmente votre défense et celle des membres de votre groupe.
talent_desc_odinsFury|Powerful warcry which deals arcane damage and stuns monsters around you.|Tehokas sotajoukko, joka tekee salaperäisiä vahinkoja ja tainnuttaa ympärilläsi olevat hirviöt.|Poderoso grito de guerra que causa Dano Arcano e atordoa inimigos a sua volta.|Мощный боевой клич, наносящий урон от тайной магии и оглушающий врагов вокруг вас.|强大的战吼，造成奥术伤害并击晕你周围的怪物。|強力なウォークライで、アーケイン ダメージを与え、周囲のモンスターをスタンさせます。|주변의 몬스터를 비전 피해와 기절시키는 강력한 전투 함성.|Mächtiger Kriegsschrei, der arkanen Schaden verursacht und Monster um dich herum betäubt.|Puissant cri de guerre qui inflige des dégâts et étourdit les ennemis autour de vous.
talent_desc_battleAgility|Increases your movement speed.|Lisää liikenopeuttasi.|Aumenta sua Velocidade de Movimento.|Увеличивает вашу скорость передвижения.|增加你的移动速度。|移動速度を増加します。|이동 속도가 증가합니다.|Erhöht deine Bewegungsgeschwindigkeit.|Augmente passivement votre vitesse de marche/course.
talent_desc_combatOrders|Powerful warcry which buffs your and your party members maximum life and mana.|Tehokas sotaharjoitus, joka piristää sinun ja puolueesi jäseniä maksimaalisen elämän ja manaan.|Poderoso grito de guerra que aumenta sua Vida e Mana Máxima e a dos membros do seu grupo.|Мощный боевой клич, который увеличивает максимальное количество здоровья и маны для вас и членов вашей группы.|强大的战吼，增强你和你队友的最大生命值和法力值。|強力なウォークライで、自分とパーティー メンバーの最大ライフとマナを強化します。|자신과 파티원의 최대 생명력과 마나를 강화하는 강력한 전투 함성.|Mächtiger Kriegsschrei, der dein maximales Leben und Mana und das deiner Gruppenmitglieder steigert.|Puissant cri de guerre qui augmente vos points de vie et de mana ainsi que ceux des membres de votre groupe.
talent_desc_seismicSlam|Smash monsters in front of you dealing damage and knocking them up and stunning them.|Murskaa hirviöitä edessäsi tekemällä vahinkoa ja lyömällä ne ylös ja hämmästyttäen ne.|Esmaga os inimigos à tua frente, causando-lhes dano e derrubando-os.|Разбивайте врагов перед собой, нанося им урон и подбрасывая их с ног.|粉碎你面前的怪物，造成伤害，将其击飞并击晕。|目の前のモンスターを叩きつけてダメージを与え、ノックアップしてスタンさせます。|앞에 있는 몬스터를 박살내어 피해를 입히고 공중에 띄우고 기절시킵니다.|Schmettere Monster vor dir, füge Schaden zu, schleudere sie hoch und betäube sie.|Frappez les ennemis devant vous en leur infligeant des dégâts et en les étourdissant.
talent_desc_bruteForce|Increases your chance of critical strike and critical strike damage.|Lisää kriittisten iskujen ja kriittisten iskuvaurioiden mahdollisuutta.|Aumenta a sua chance de Acerto Crítico e Dano de Acerto Crítico.|Увеличивает ваш шанс критического удара и урон от критического удара.|增加致命一击的几率和致命一击伤害。|クリティカル ストライクとクリティカル ストライク ダメージの確率を増加します。|치명타와 치명타 피해의 확률이 증가합니다.|Erhöht deine Chance auf einen kritischen Treffer und kritischen Trefferschaden.|Augmente de façon passive vos chances de coup critique et les dégâts des coups critiques.
talent_desc_zeal|Strike three fast and powerful attacks with increased attack rating.|Iske kolme nopeaa ja tehokasta hyökkäystä parannetulla hyökkäysluokituksella.|Desfere três ataques rápidos e poderosos com Taxa de Ataque aumentada.|Нанесите три быстрых и мощных удара с повышенным рейтингом атаки.|发动三次快速而强大的攻击，增加攻击等级。|攻撃レーティングを増加した高速で強力な攻撃を 3 回行います。|공격력 등급이 증가한 빠르고 강력한 공격을 세 번 가합니다.|Führe drei schnelle und mächtige Angriffe mit erhöhter Angriffswertung aus.|Effectue trois attaques rapides et puissantes.
talent_desc_monsterThrow|Pick up and throw a monster which deals area of effect arcane damage and stuns monsters upon landing.|Poimi ja heitä hirviö, joka tekee vaikutusalueen arkaanista vahinkoa ja tainnuttaa hirviöt laskeutuessaan.|Apanha e arremessa um monstro que causa Dano Arcano em área e atordoa inimigos ao aterrissar.|Поднимите и бросьте монстра, который наносит урон от тайной магии по площади и оглушает врагов при приземлении.|捡起并扔出一个怪物，造成范围奥术伤害并在落地时击晕怪物。|範囲効果のアーケイン ダメージを与え、着地時にモンスターをスタンさせるモンスターを拾って投げます。|몬스터를 집어 올려 던지며, 착지 시 효과 범위 비전 피해를 입히고 몬스터를 기절시킵니다.|Hebe ein Monster auf und wirf es, das arkanen Flächenschaden verursacht und Monster bei der Landung betäubt.|Ramassez et lancez un monstre qui inflige des dégâts de zone et étourdit les autres ennemis lorsqu'il atterrit.
talent_desc_ymirsChampion|Perform a cold enhanced strike with additive cold damage, Increased attack damage and attack rating. Attacks also freeze monsters and summons a spinning axe that deals additional damage.|Suorita tehostettu kylmäisku lisäämällä kylmävaurioita, lisäämällä hyökkäysvahinkoa ja hyökkäysluokitusta. Hyökkäykset myös jäädyttävät hirviöitä ja kutsuvat pyörivän kirveen, joka tekee lisävahinkoa.|Executa um ataque aprimorado de gelo com Dano Adicional de Frio, Dano de Ataque e Taxa de Ataque aumentados. Os ataques também congelam os inimigos e criam um Machado Giratório.|Нанесите атаку, усиленную льдом, которая нанесет дополнительный урон от холода и увеличит урон от атаки. Атаки также замораживают врагов при получении удара и повышают рейтинг атаки.|进行冰冷强化打击，造成附加冰冷伤害，增加攻击伤害和攻击等级。攻击还会冻结怪物并召唤旋转斧头造成额外伤害。|追加の冷気ダメージ、攻撃ダメージと攻撃レーティングの強化された冷気攻撃を実行します。 攻撃はモンスターを凍結させ、追加のダメージを与える回転斧を召喚します。|추가 냉기 피해, 증가된 공격 피해, 명중률으로 냉기 강화 공격을 수행합니다. 공격 시 몬스터를 동결시키고 추가 피해를 입히는 회전 도끼를 소환합니다.|Führe einen verstärkten Kälteschlag mit zusätzlichem Kälteschaden, erhöhtem Angriffsschaden und Angriffswertung aus. Angriffe frieren auch Monster ein und beschwören eine wirbelnde Axt, die zusätzlichen Schaden verursacht.|Attaque gelée infligeant des dégâts de froid supplémentaires et des dégâts d'attaque accrus. Les attaques gèlent également les ennemis touchés et ont un niveau d'attaque augmentée.
talent_desc_whirlwind|Spin your weapons around you dealing damage to monsters struck.|Pyöritä aseitasi ympärilläsi ja vahingoita osumia hirviöitä.|Gira suas armas à sua volta, causando Dano aos inimigos atingidos.|Вращайте свое оружие вокруг себя, нанося урон пораженным врагам.|旋转武器，对被击中的怪物造成伤害。|武器を回転させて攻撃したモンスターにダメージを与えます。|무기를 회전시켜 맞은 몬스터에게 피해를 입힙니다.|Wirbele deine Waffen um dich herum und füge getroffenen Monstern Schaden zu.|Faites tourner vos armes autour de vous en infligeant des dégâts de zone aux ennemis touchés.
talent_desc_shockwave|Smash the ground causing a shockwave that deals area of effect damage and stuns monsters. |Murskaa maata aiheuttaen shokkiaallon, joka vaurioittaa vaikutusaluetta ja tainnuttaa hirviöt. |Atinge o inimigo, causando uma onda de choque que dá Dano em Área e Atordoa os inimigos. (Não pode causar efeitos de ataque)||猛击地面，产生冲击波，造成范围伤害并震慑怪物。|地面を叩きつけて衝撃波を発生させ、範囲ダメージを与えてモンスターをスタンさせます。|땅을 내리쳐 충격파를 일으켜 영역 피해와 몬스터를 기절시킵니다.|Schlage auf den Boden und verursache eine Schockwelle, die Flächenschaden verursacht und Monster betäubt.|
talent_desc_berserk|Every successful hit with berserk increases your attack damage, attack speed and movement speed for berserk stacking up to 8 times.|Jokainen onnistunut isku berserkillä lisää hyökkäysvahinkoasi, hyökkäysnopeutta ja liikkeen nopeutta, jolloin berserk pinoaa jopa 8 kertaa.|Atinge um inimigo e, por cada golpe bem sucedido, aumenta o teu Dano de Ataque para Berserker, a Velocidade de Ataque e a Velocidade de Movimento, acumulando até 8 vezes.|Ударьте врага и с каждым успешным ударом увеличивайте урон от атаки Берсерка, а скорость атаки и скорость передвижения суммируются до 8 раз.|每次成功狂暴攻击都会增加您的攻击伤害、攻击速度和狂暴移动速度，最多可叠加 8 次。|バーサーカーによる攻撃が成功するたびに、バーサーカーの攻撃ダメージ、攻撃速度、移動速度が増加し、最大 8 回までスタックします。|광전사로 적중 시마다 광전사의 공격 피해, 공격 속도, 이동 속도가 증가하며 최대 8회까지 중첩됩니다.|Jeder erfolgreiche Treffer mit Berserker erhöht deinen Angriffsschaden, deine Angriffsgeschwindigkeit und deine Bewegungsgeschwindigkeit für Berserker bis zu 8-mal.|Chaque coup réussi augmente votre vitesse d'attaque et votre vitesse de marche/course, cumulables jusqu'à 8 fois.
talent_desc_demolishingWinds|Whirlwind now unleashes tornadoes dealing portion of the Whirlwinds damage to monsters struck.|Whirlwind päästää nyt valloilleen tornadot, jotka aiheuttavat osan Whirlwindin aiheuttamista vahingoista iskuille hirviöille. |O Redemoinho agora solta tornados que causam uma parte do Dano do Redemoinho nos inimigos atingidos.|«Вихрь» теперь выпускает торнадо, наносящие часть урона «Вихря» пораженным врагам.|旋风现在会释放龙卷风，对被击中的怪物造成旋风伤害的一部分。 |旋風は竜巻を解き放ち、攻撃したモンスターに旋風のダメージの一部を与えます。 |회오리바람은 이제 회오리바람 피해의 일부를 맞은 몬스터에게 입히는 토네이도를 방출합니다. |Wirbelwind entfesselt jetzt Tornados, die getroffenen Monstern einen Teil des Wirbelwindschadens zufügen. |Tourbillon déclenche désormais des tornades qui infligent des dégâts d’arcane aux ennemis touchés.
|||||||||
talent_name_blazingTrail|Blazing Trail|Loistava polku|Trilho de Fogo|Пылающий след|炽焰轨迹|燃える道|블레이징 트레일 |Flammende Spur|Sentier flamboyant
talent_name_fireEnchant|Fire Enchant|Fire Enchant|Encantamento de Fogo|Огненный чары|火焰附魔|炎のエンチャント|파이어 인챈트|Feuerverzauberung|Enchantement du feu
talent_name_phoenixFlight|Phoenix Flight|Phoenixin lento|Voo da Fênix|Полет Феникса|凤凰飞行|フェニックス フライト|피닉스 플라이트|Phönixflug|Vol du phénix
talent_name_infernoSlash|Inferno Slash|Inferno Slash|Corte Infernal|Инферно Слэш|地狱斩|インフェルノ スラッシュ|인페르노 슬래시|Infernohieb|Taillade infernale
talent_name_ignite|Ignite|Sytyttää|Ignição|Зажечь|点燃|点火|점화|Entzünden|Allumage
talent_name_fireShield|Fire Shield|Palokilpi|Escudo de Fogo|Пожарный щит|火焰护盾|ファイア シールド|파이어 실드|Feuerschild|Bouclier de feu
talent_name_searingChains|Searing Chains|Paahtavat ketjut|Correntes Abrasadoras|Обжигающие цепи|灼热锁链|焼け付く鎖|써링 체인|Sengende Ketten|Chaînes incandescentes
talent_name_livingBomb|Living Bomb|Elävä pommi|Bomba Viva||活体炸弹|生ける爆弾|리빙 폭탄|Lebende Bombe|
talent_name_fieryPresence|Fiery Presence|Tulinen läsnäolo|Presença Ardente|Огненное присутствие|炽热气息|燃える存在|파이어리 프레젠스|Feurige Präsenz|Présence ardente
talent_name_avatarOfFire|Avatar of Fire|Tulen avatar|Avatar de Fogo|Аватар Огня|火焰化身|火の化身|파이어 아바타|Avatar des Feuers|Avatar de feu
talent_name_fireBall|Fireball|Tulipallo|Bola de Fogo|Огненный шар|火球|火の玉|파이어볼|Feuerball|Boule de feu
talent_name_breathOfFire|Breath of Fire|Tulen henkäys|Sopro de Fogo|Дыхание Огня|火焰气息|火の息吹|브레스 오브 파이어|Feueratem|Souffle de feu
talent_name_meteor|Meteor|Meteori|Meteoro|Метеор|流星|流星|유성|Meteor|Météore
talent_name_scorchingAura|Scorching Aura|Polttava Aura|Aura Escaldante|Опаляющая аура|灼热光环|灼熱のオーラ|스커칭 오라|Sengende Aura|Aura brûlante
talent_name_hydra|Hydra|Hydra|Hidra|Гидра|九头蛇|ヒドラ|히드라|Hydra|Hydre
talent_name_comet|Comet|Komeetta|Cometa|Комета|彗星|彗星|혜성|Komet|Comète
talent_name_fireNova|Fire Nova|Tuli Nova|Nova de Fogo|Кольцо Огня|火焰新星|火の新星|파이어 노바|Feuernova|Nova de feu
talent_name_volcano|Volcano|Tulivuori|Vulcão|Вулкан|火山|火山|화산|Vulkan|Volcan
talent_name_armageddon|Armageddon|Harmageddon |Armagedom|Армагеддон|末日决战 |アルマゲドン |아마겟돈 |Armageddon |Armageddon
|||||||||
talent_desc_blazingTrail|Leave behind a trail of fire dealing fire damage to monsters.||Deixa um rastro de fogo que causa Dano de Fogo aos inimigos.|Оставляйте за собой огненный след, наносящий врагам урон от огня.|||불길을 남겨 몬스터에게 화염 피해를 입힙니다.||Laissez derrière vous une traînée de feu qui inflige des dégâts aux ennemis.
talent_desc_fireEnchant|Enchant your attacks with additive fire damage inflicting burning on monsters. Your spells also apply a stack of Ignite. ||Encanta seus ataques com Dano de Fogo Aditivo, Queimando inimigos. Suas habilidades também aplicam um acúmulo de Ignição.|Зачаруйте свои атаки дополнительным уроном от огня и заставьте свои заклинания применять эффект поджога.|||공격에 추가 화염 피해를 부여하여 몬스터를 불태우세요. 주문도 점화 중첩을 적용합니다.||Enchantez vos attaques en y ajoutant des dégâts de feu.
talent_desc_phoenixFlight|Charge forward through the air dealing area of effect fire damage when landing.||Avança para frente através do ar causando Dano de Fogo em área ao aterrissar.|Рвитесь вперед по воздуху, нанося урон от огня по площади при приземлении.|||공중으로 돌진하여 착지 시 범위 화염 피해를 입힙니다.||Chargez dans les airs en infligeant d'énormes dégâts de zone à l'atterrissage.
talent_desc_infernoSlash|Send forward a fire enchanted cleave attack dealing increased damage and additional fire damage.||Lance um Ataque de Corte encantado com fogo causando Dano Aumentado e Dano Adicional de fogo.|Нанесите зачарованную огнём рассекающую атаку, наносящую увеличенный урон и дополнительный урон от огня, оставляя врагов подожжёнными.|||불로 마법이 부여된 공격을 앞으로 보내어 증가된 피해와 추가적인 화염 피해를 입히세요.||Portez une attaque de enchantée par le feu, qui inflige des dégâts de feu supplémentaires et enflamme les ennemis touchés.
talent_desc_ignite|All fire enchanted attacks add a stack of ignite on the monster, causing them to combust at 10 stacks dealing area of effect fire damage.||Todos os ataques com Encantamento de Fogo adicionam um acúmulo de Ignição no inimigo, fazendo com que ele entre em combustão com 10 acúmulos, causando Dano de Fogo em área.|Все атаки, зачарованные огнем, добавляют к противнику стак поджога, который поджигает врага в количестве 10 стаков, нанося урон от огня по площади.|||모든 화염 마법 공격은 몬스터에게 점화 스택을 추가하여, 10 스택이 쌓이면 폭발하여 범위 화염 피해를 입힙니다.||Toutes les attaques enchantées par le feu ajoutent un cumul de combustion sur l'ennemi, qui s'enflamme au bout de 10 cumuls et inflige des dégâts de feu de zone.
talent_desc_fireShield|Cast a shield of fire that increases your damage reduction and deals fire damage to monsters around you. ||Lança um escudo de fogo que aumenta a sua Redução de Dano e Queima os inimigos em sua volta.| Создайте огненный щит, который увеличивает уменьшение урона и сжигает врагов вокруг вас.|||불의 방패를 시전하여 피해 감소를 증가시키고 주변 몬스터에게 화염 피해를 입힙니다.||Lancez un bouclier de feu pour augmenter votre réduction des dégâts et brûler les ennemis autour de vous.
talent_desc_searingChains|When striking a monster unleash a powerful chain attack dealing increased damage, additional fire damage and stunning monsters struck.||Desencadeia um poderoso ataque em cadeia contra o inimigo mais próximo, causando Dano Aumentado e Dano de Fogo Adicional aos inimigos atingidos.|Нанесите мощную цепную атаку на ближайшего врага, нанося увеличенный урон и дополнительный урон от огня, оглушая пораженных врагов.|||몬스터를 공격할 때 강력한 연쇄 공격을 발동하여 증가된 피해와 추가 화염 피해를 입히고, 맞은 몬스터를 기절시킵니다.||Déchaîne une puissante attaque en chaîne sur l'ennemi le plus proche, infligeant des dégâts et étourdissant les ennemis touchés.
talent_desc_livingBomb|Throw a molten bomb which explodes and sticks a ticking bomb on the monsters dealing damage over time and finally exploding. monsters within explosion radius also get the debuff.||Lança uma bomba derretida que explode e cola uma bomba de efeito contínuo nos inimigos, causando dano ao longo do tempo e finalmente explodindo. Os inimigos no raio da explosão também recebem o debuff.||||용암 폭탄을 던져 폭발시키고 몬스터에게 지속적인 피해를 주는 폭탄을 붙입니다. 시간이 지나면 폭발합니다. 폭발 반경 내의 몬스터도 디버프를 받습니다.||
talent_desc_fieryPresence|Increases your fire skill damage.||Aumenta o seu Dano de Habilidade de Fogo.|Увеличивает урон от вашего огненного навыка.|||화염 스킬 피해가 증가합니다.||Augmente de façon passive les dégâts de vos compétences de feu.
talent_desc_avatarOfFire|Temporarily turns you into an avatar of fire; Increasing your attack speed, fire resistance and attack rating.||Transforma-te temporariamente em um avatar de fogo, aumentado a Velocidade de Ataque, Resistência ao Fogo e Taxa de Ataque.|Временно превращает вас в аватар огня; Увеличение скорости атаки, сопротивления огню и рейтинга атаки.|||일시적으로 당신을 불의 아바타로 변신시켜 공격 속도, 화염 저항력, 공격력을 증가시킵니다.||Vous transforme en un avatar de feu ; augmente votre vitesse d'attaque, votre résistance au feu et votre niveau d'attaque.
talent_desc_fireBall|Cast a fireball dealing fire damage to monsters.||Lança uma bola de fogo que causa Dano de Fogo nos inimigos. Receba Área de Efeito e chance de Multilançamento aumentadas por nível.|Вызовите огненный шар, наносящий врагам урон от огня.|||불덩이를 발사하여 몬스터에게 화염 피해를 입힙니다.||Lance une boule de feu qui inflige des dégâts de feu aux ennemis.
talent_desc_breathOfFire|Breathe burning flames dealing fire damage and inflicting burning on hit.||Sopra chamas ardentes, causando Dano de Fogo e incendiando os inimigos atingidos.|Выдыхайте горящее пламя, нанося урон от огня, поджигая врагов, пораженных огнем.|||불타는 화염을 내뱉어 화염 피해를 주고 맞은 적에게 화상을 입힙니다.||Souffle des flammes brûlantes qui brûlent les ennemis touchés.
talent_desc_meteor|Cast a powerful meteor forwards dealing area of effect fire damage on impact.||Lança um poderoso meteoro para a frente, causando Dano de Fogo em área no impacto.|Выбросьте мощный метеор вперед, нанося урон от огня по площади при ударе.|||강력한 유성을 앞으로 던져 충돌 시 범위 화염 피해를 입힙니다.||Lance un puissant météore en avant qui inflige des dégâts de zone à l'impact.
talent_desc_scorchingAura|Scorch monsters around you dealing fire damage.||Queima os inimigos ao seu redor, Incendiando inimigos e reduzindo sua Resistência ao Fogo.|Поджигайте врагов вокруг себя, нанося урон от огня, когда активен.|||주변의 몬스터를 불태워 화염 피해를 입힙니다.||Brûle les ennemis autour de vous lorsqu'il est actif.
talent_desc_hydra|Spawn a fiery hydra that shoots fireballs with area of effect fire damage towards the closest monster.||Faz surgir uma Hidra ardente que dispara Bolas de Fogo com Dano de Fogo aumentado em direção ao alvo mais próximo.||||가장 가까운 몬스터를 향해 화염 피해를 주는 불덩이를 발사하는 불타는 히드라를 소환합니다.||
talent_desc_comet|Call down a huge comet exploding on impact dealing area of effect fire damage.||Invoca um enorme cometa que explode no impacto e causa Dano de Fogo em área.|Вызовите огромную комету, которая взорвется при ударе и нанесет урон от огня по площади.|||거대한 혜성을 소환하여 충돌 시 폭발하고 범위 내에 화염 피해를 입힙니다.||Invoque une énorme comète qui explose à l'impact en infligeant des dégâts de zone.
talent_desc_fireNova|Cast a nova of fire around you dealing fire damage.||Lança uma nova de fogo causando Dano de Fogo e Incendiando os inimigos ao seu redor.|Вызов огненного кольца, нанося урон от огня и поджигая врагов вокруг вас.|||주변에 불의 노바를 발사하여 화염 피해를 줍니다.||Lance une nova de feu qui inflige des dégâts aux ennemis autour de vous.
talent_desc_volcano|Spawn a molten volcano that deals fire damage around it and spews out burning rocks that explode on hit.||Cria um Vulcão derretido que causa Dano de Fogo e expele rochas em chamas que explodem aumentando o Dano de Fogo em área no impacto.||||용암 화산을 생성하여 주변에 화염 피해를 입히고, 맞으면 폭발하는 불타는 바위를 내뿜습니다.||
talent_desc_armageddon|Call down a rain of meteors from the sky dealing area of effect fire damage to monsters struck.||Invoca uma chuva de meteoros do céu, causando Dano de Fogo em área nos inimigos atingidos, incendiando-os.|Вызовите с неба дождь метеоров, наносящих урон от огня по площади пораженным врагам.|||하늘에서 운석 비를 소환하여 맞은 몬스터에게 화염 피해를 입힙니다.||Faites tomber une pluie de météorites du ciel qui infligent des dégâts de zone aux ennemis touchés.
|||||||||
